jobId,arrivalTime,maxStartDelay,urgency,minTimeForHandling,maxTimeForHandling,location,terrain,vehicle,timeOfTheDay,weather,scenarioType
job0_scenario1_0,0,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job1_scenario4_1,1,20,3,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job2_scenario2_3,3,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job3_scenario4_6,6,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job4_scenario1_7,7,20,1,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job5_scenario0_10,10,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario0,
job6_scenario4_14,14,20,5,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job7_scenario0_37,37,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario0,
job8_scenario3_50,50,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario3,
job9_scenario3_58,58,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job10_scenario4_72,72,20,7,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job11_scenario3_105,105,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario3,
job12_scenario2_109,109,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job13_scenario4_121,121,20,5,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job14_scenario3_132,132,20,7,0,0,east,asphalt,sedan,morning,sunshine,scenario3,
job15_scenario2_133,133,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job16_scenario0_144,144,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job17_scenario2_155,155,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job18_scenario1_165,165,20,3,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job19_scenario4_185,185,20,10,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job20_scenario0_189,189,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario0,
job21_scenario2_256,256,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job22_scenario2_261,261,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job23_scenario1_264,264,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job24_scenario4_286,286,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job25_scenario1_310,310,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job26_scenario1_313,313,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job27_scenario1_318,318,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job28_scenario0_328,328,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario0,
job29_scenario4_346,346,20,2,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job30_scenario2_360,360,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job31_scenario3_368,368,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario3,
job32_scenario2_400,400,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job33_scenario4_429,429,20,3,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
