jobId,arrivalTime,maxStartDelay,urgency,minTimeForHandling,maxTimeForHandling,location,terrain,vehicle,timeOfTheDay,weather,scenarioType
job0_scenario1_1,1,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job1_scenario1_2,2,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job2_scenario1_5,5,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job3_scenario1_8,8,20,10,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job4_scenario3_10,10,20,2,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job5_scenario0_11,11,20,2,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job6_scenario1_13,13,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job7_scenario4_17,17,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job8_scenario4_18,18,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job9_scenario1_19,19,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job10_scenario2_21,21,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job11_scenario2_23,23,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job12_scenario0_24,24,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario0,
job13_scenario1_34,34,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job14_scenario2_35,35,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job15_scenario0_37,37,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario0,
job16_scenario1_38,38,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job17_scenario2_42,42,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job18_scenario2_43,43,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job19_scenario1_45,45,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job20_scenario3_47,47,20,10,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job21_scenario3_48,48,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario3,
job22_scenario1_49,49,20,2,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job23_scenario1_51,51,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job24_scenario2_52,52,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job25_scenario1_55,55,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job26_scenario1_56,56,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job27_scenario3_57,57,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job28_scenario3_58,58,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job29_scenario1_60,60,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job30_scenario1_62,62,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job31_scenario1_63,63,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job32_scenario0_64,64,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario0,
job33_scenario4_65,65,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job34_scenario1_68,68,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job35_scenario1_70,70,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job36_scenario4_71,71,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job37_scenario1_77,77,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job38_scenario0_78,78,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job39_scenario3_79,79,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job40_scenario2_81,81,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job41_scenario4_82,82,20,5,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job42_scenario3_83,83,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job43_scenario4_85,85,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job44_scenario1_89,89,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job45_scenario2_90,90,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job46_scenario3_91,91,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job47_scenario3_92,92,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job48_scenario2_94,94,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job49_scenario1_95,95,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job50_scenario2_96,96,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
