job_id,worker_id,expected_time,simulated_time,expected_quality
job0_scenario1_1,in27,13,15,5
job1_scenario1_2,in27,16,16,5
job2_scenario4_3,in27,10,8,5
job3_scenario1_6,in27,14,15,5
job4_scenario4_8,in27,7,7,5
job5_scenario0_14,in27,25,26,5
job6_scenario0_16,in27,24,25,5
job7_scenario1_17,in27,15,13,5
job8_scenario1_20,in27,14,10,5
job9_scenario4_21,in27,1,3,5
job10_scenario3_23,in27,3,4,5
job11_scenario0_24,in27,28,24,5
job12_scenario0_25,in27,26,26,5
job13_scenario2_26,in27,15,13,5
job14_scenario3_27,in27,3,3,5
job15_scenario1_28,in27,10,9,5
job16_scenario4_30,in27,8,7,5
job17_scenario3_31,in27,5,5,5
job18_scenario3_32,in27,4,5,5
job19_scenario2_33,in27,18,18,5
job20_scenario1_34,in27,13,16,5
job21_scenario2_39,in27,16,15,5
job22_scenario0_46,in27,26,22,5
job23_scenario2_48,in27,15,15,5
job24_scenario2_49,in27,9,9,5
job25_scenario1_50,in27,9,11,5
job26_scenario1_51,in27,17,15,5
job27_scenario4_52,in27,11,5,5
job28_scenario1_56,in27,12,14,5
job29_scenario2_59,in27,11,11,5
job30_scenario1_60,in27,14,14,5
job31_scenario4_61,in27,10,12,5
job32_scenario4_64,in27,8,7,5
job33_scenario1_65,in27,10,11,5
job34_scenario1_68,in27,17,14,5
job35_scenario3_73,in27,9,8,5
job36_scenario4_74,in27,12,5,5
job37_scenario3_76,in27,7,9,5
job38_scenario1_77,in27,13,12,5
job39_scenario1_78,in27,9,13,5
job40_scenario2_79,in27,15,14,5
job41_scenario1_81,in27,10,13,5
job42_scenario2_82,in27,11,10,5
job43_scenario0_84,in27,31,27,5
job44_scenario2_85,in27,14,11,5
job45_scenario3_86,in27,7,8,5
job46_scenario1_87,in27,11,14,5
job47_scenario4_88,in27,7,6,5
job48_scenario1_89,in27,16,13,5
job49_scenario0_90,in27,26,26,5
job50_scenario2_91,in27,23,16,5
job51_scenario2_92,in27,14,15,5
job52_scenario3_93,in27,3,7,5
job53_scenario2_95,in27,18,13,5
job54_scenario3_97,in27,7,8,5
job55_scenario1_98,in27,15,12,5
job56_scenario2_99,in27,13,13,5
job57_scenario2_100,in27,11,13,5
job58_scenario4_102,in27,11,10,5
job59_scenario2_103,in27,10,11,5
job60_scenario2_104,in27,13,15,5
job61_scenario2_106,in27,14,14,5
job62_scenario0_107,in27,26,24,5
job63_scenario2_110,in27,7,10,5
job64_scenario1_111,in27,11,8,5
job65_scenario3_112,in27,5,7,5
job66_scenario3_113,in27,7,5,5
job67_scenario0_114,in27,25,26,5
job68_scenario4_118,in27,5,9,5
