RecordTimeStamp,SystemTick,AssignmentTick,JobId,WorkerId,JobArrivalTime,JobTime,FreeWorkersCount
1644400107,1,2,job0_scenario1_1,B54,1,3,9,
1644400108,3,4,job2_scenario4_3,B51,3,3,8,
1644400108,6,7,job3_scenario1_6,os4,6,8,8,
1644400108,6,7,job1_scenario1_2,B54,2,2,7,
1644400108,8,9,job4_scenario4_8,B51,8,3,7,
1644400108,14,15,job5_scenario0_14,B33,14,13,8,
1644400108,16,17,job6_scenario0_16,B51,16,12,8,
1644400108,17,18,job7_scenario1_17,B14,17,10,7,
1644400109,20,21,job8_scenario1_20,B54,20,6,6,
1644400109,21,22,job9_scenario4_21,B11,21,4,5,
1644400109,23,24,job10_scenario3_23,in4,23,2,4,
1644400109,24,25,job11_scenario0_24,os4,24,15,3,
1644400109,27,28,job14_scenario3_27,in4,27,5,5,
1644400109,28,29,job15_scenario1_28,B54,28,6,6,
1644400109,28,29,job12_scenario0_25,B33,25,19,5,
1644400109,28,29,job13_scenario2_26,B14,26,3,4,
1644400109,30,31,job16_scenario4_30,B51,30,6,4,
1644400109,32,33,job18_scenario3_32,in27,32,5,4,
1644400110,33,34,job19_scenario2_33,B14,33,4,4,
1644400110,36,37,job20_scenario1_34,B54,34,4,4,
1644400110,38,39,job17_scenario3_31,B51,31,3,6,
1644400110,41,42,job21_scenario2_39,os4,39,2,7,
1644400110,46,47,job22_scenario0_46,B54,46,15,8,
1644400111,48,49,job23_scenario2_48,B33,48,3,8,
1644400111,50,51,job25_scenario1_50,B11,50,4,7,
1644400111,51,52,job26_scenario1_51,B14,51,5,6,
1644400111,52,53,job27_scenario4_52,os4,52,2,6,
1644400111,52,53,job24_scenario2_49,B33,49,7,5,
1644400111,59,60,job29_scenario2_59,os4,59,3,7,
1644400111,60,61,job30_scenario1_60,B14,60,8,7,
1644400111,61,62,job31_scenario4_61,B51,61,4,6,
1644400111,63,64,job28_scenario1_56,B54,56,2,7,
1644400112,64,65,job32_scenario4_64,in4,64,8,6,
1644400112,67,68,job33_scenario1_65,B54,65,2,7,
1644400112,70,71,job34_scenario1_68,B54,68,7,8,
1644400112,73,74,job35_scenario3_73,in27,73,8,8,
1644400112,74,75,job36_scenario4_74,os4,74,7,7,
1644400112,76,77,job37_scenario3_76,B14,76,4,6,
1644400112,78,79,job38_scenario1_77,B54,77,3,6,
1644400112,79,80,job40_scenario2_79,B33,79,5,5,
1644400112,81,82,job39_scenario1_78,B14,78,4,5,
1644400113,82,83,job41_scenario1_81,B54,81,3,7,
1644400113,84,85,job43_scenario0_84,B51,84,11,6,
1644400113,85,86,job42_scenario2_82,B33,82,5,6,
1644400113,85,86,job44_scenario2_85,os4,85,3,5,
1644400113,86,87,job45_scenario3_86,B11,86,1,6,
1644400113,87,88,job46_scenario1_87,B54,87,9,5,
1644400113,88,89,job47_scenario4_88,B11,88,4,5,
1644400113,89,90,job48_scenario1_89,B14,89,8,5,
1644400113,91,92,job49_scenario0_90,B33,90,12,5,
1644400113,92,93,job51_scenario2_92,os4,92,3,4,
1644400114,93,94,job52_scenario3_93,in4,93,4,4,
1644400114,97,98,job50_scenario2_91,B54,91,4,6,
1644400114,97,98,job54_scenario3_97,B51,97,3,5,
1644400114,98,99,job53_scenario2_95,B14,95,4,6,
1644400114,99,100,job56_scenario2_99,os4,99,1,5,
1644400114,102,103,job58_scenario4_102,B54,102,3,7,
1644400114,102,103,job55_scenario1_98,os4,98,5,6,
1644400114,103,104,job57_scenario2_100,B14,100,3,6,
1644400115,104,105,job60_scenario2_104,B33,104,5,6,
1644400115,107,108,job62_scenario0_107,B51,107,9,7,
1644400115,107,108,job59_scenario2_103,B14,103,3,6,
