RecordTimeStamp,JobId,WorkerId,JobArrivalTick,JobAssignmentTick,JobFetchTick,JobStartByOperatorTime,JobActiveTime,JobRemainingTime,CleanWorkingTime,JobEndByOperatorTime,WorkerFreeAgainTick
1644400108,job0_scenario1_1,B54,1,-1,2,2,3,0,3,5,6,
1644400108,job2_scenario4_3,B51,3,-1,4,4,3,0,3,7,8,
1644400108,job1_scenario1_2,B54,2,-1,7,7,2,0,2,9,10,
1644400108,job4_scenario4_8,B51,8,-1,9,9,3,0,3,12,13,
1644400108,job3_scenario1_6,os4,6,-1,7,7,8,0,8,15,16,
1644400109,job9_scenario4_21,B11,21,-1,22,22,4,0,4,26,27,
1644400109,job10_scenario3_23,in4,23,-1,24,24,2,0,2,26,27,
1644400109,job8_scenario1_20,B54,20,-1,21,21,6,0,6,27,28,
1644400109,job5_scenario0_14,B33,14,-1,15,15,13,0,13,28,29,
1644400109,job7_scenario1_17,B14,17,-1,18,18,10,0,10,28,29,
1644400109,job6_scenario0_16,B51,16,-1,17,17,12,0,12,29,30,
1644400109,job13_scenario2_26,B14,26,-1,29,29,3,0,3,32,33,
1644400109,job14_scenario3_27,in4,27,-1,28,28,5,0,5,33,34,
1644400110,job15_scenario1_28,B54,28,-1,29,29,6,0,6,35,36,
1644400110,job16_scenario4_30,B51,30,-1,31,31,6,0,6,37,38,
1644400110,job18_scenario3_32,in27,32,-1,33,33,5,0,5,38,39,
1644400110,job19_scenario2_33,B14,33,-1,34,34,4,0,4,38,39,
1644400110,job11_scenario0_24,os4,24,-1,25,25,15,0,15,40,41,
1644400110,job20_scenario1_34,B54,34,-1,37,37,4,0,4,41,42,
1644400110,job17_scenario3_31,B51,31,-1,39,39,3,0,3,42,43,
1644400110,job21_scenario2_39,os4,39,-1,42,42,2,0,2,44,45,
1644400111,job12_scenario0_25,B33,25,-1,29,29,19,0,19,48,49,
1644400111,job23_scenario2_48,B33,48,-1,49,49,3,0,3,52,53,
1644400111,job25_scenario1_50,B11,50,-1,51,51,4,0,4,55,56,
1644400111,job27_scenario4_52,os4,52,-1,53,53,2,0,2,55,56,
1644400111,job26_scenario1_51,B14,51,-1,52,52,5,0,5,57,58,
1644400111,job24_scenario2_49,B33,49,-1,53,53,7,0,7,60,61,
1644400111,job22_scenario0_46,B54,46,-1,47,47,15,0,15,62,63,
1644400111,job29_scenario2_59,os4,59,-1,60,60,3,0,3,63,64,
1644400112,job31_scenario4_61,B51,61,-1,62,62,4,0,4,66,67,
1644400112,job28_scenario1_56,B54,56,-1,64,64,2,0,2,66,67,
1644400112,job30_scenario1_60,B14,60,-1,61,61,8,0,8,69,70,
1644400112,job33_scenario1_65,B54,65,-1,68,68,2,0,2,70,71,
1644400112,job32_scenario4_64,in4,64,-1,65,65,8,0,8,73,74,
1644400112,job34_scenario1_68,B54,68,-1,71,71,7,0,7,78,79,
1644400112,job37_scenario3_76,B14,76,-1,77,77,4,0,4,81,82,
1644400112,job35_scenario3_73,in27,73,-1,74,74,8,0,8,82,83,
1644400112,job36_scenario4_74,os4,74,-1,75,75,7,0,7,82,83,
1644400112,job38_scenario1_77,B54,77,-1,79,79,3,0,3,82,83,
1644400113,job40_scenario2_79,B33,79,-1,80,80,5,0,5,85,86,
1644400113,job39_scenario1_78,B14,78,-1,82,82,4,0,4,86,87,
1644400113,job41_scenario1_81,B54,81,-1,83,83,3,0,3,86,87,
1644400113,job45_scenario3_86,B11,86,-1,87,87,1,0,1,88,89,
1644400113,job44_scenario2_85,os4,85,-1,86,86,3,0,3,89,90,
1644400113,job42_scenario2_82,B33,82,-1,86,86,5,0,5,91,92,
1644400113,job47_scenario4_88,B11,88,-1,89,89,4,0,4,93,94,
1644400114,job43_scenario0_84,B51,84,-1,85,85,11,0,11,96,97,
1644400114,job51_scenario2_92,os4,92,-1,93,93,3,0,3,96,97,
1644400114,job46_scenario1_87,B54,87,-1,88,88,9,0,9,97,98,
1644400114,job48_scenario1_89,B14,89,-1,90,90,8,0,8,98,99,
1644400114,job52_scenario3_93,in4,93,-1,94,94,4,0,4,98,99,
1644400114,job54_scenario3_97,B51,97,-1,98,98,3,0,3,101,102,
1644400114,job56_scenario2_99,os4,99,-1,100,100,1,0,1,101,102,
1644400114,job50_scenario2_91,B54,91,-1,98,98,4,0,4,102,103,
1644400114,job53_scenario2_95,B14,95,-1,99,99,4,0,4,103,104,
1644400114,job49_scenario0_90,B33,90,-1,92,92,12,0,12,104,105,
1644400115,job58_scenario4_102,B54,102,-1,103,103,3,0,3,106,107,
1644400115,job57_scenario2_100,B14,100,-1,104,104,3,0,3,107,108,
1644400115,job55_scenario1_98,os4,98,-1,103,103,5,0,5,108,109,
1644400115,job60_scenario2_104,B33,104,-1,105,105,5,0,5,110,111,
1644400115,job59_scenario2_103,B14,103,-1,108,108,3,0,3,111,112,
1644400115,job63_scenario2_110,os4,110,-1,111,111,2,0,2,113,114,
1644400115,job61_scenario2_106,B33,106,-1,111,111,3,0,3,114,115,
1644400115,job64_scenario1_111,B54,111,-1,112,112,4,0,4,116,117,
1644400115,job65_scenario3_112,in4,112,-1,113,113,3,0,3,116,117,
1644400115,job66_scenario3_113,os4,113,-1,114,114,2,0,2,116,117,
1644400115,job62_scenario0_107,B51,107,-1,108,108,9,0,9,117,118,
1644400116,job68_scenario4_118,B11,118,-1,119,119,5,0,5,124,125,
1644400116,job69_scenario2_120,B33,120,-1,121,121,5,0,5,126,127,
1644400116,job67_scenario0_114,B51,114,-1,118,118,13,0,13,131,132,
1644400116,job73_scenario2_128,os4,128,-1,129,129,3,0,3,132,133,
1644400117,job72_scenario0_124,B54,124,-1,125,125,10,0,10,135,136,
1644400117,job75_scenario2_131,os4,131,-1,133,133,2,0,2,135,136,
1644400117,job70_scenario0_121,B33,121,-1,128,128,11,0,11,139,140,
1644400117,job71_scenario0_122,B14,122,-1,123,123,17,0,17,140,141,
1644400117,job74_scenario1_130,B11,130,-1,131,131,9,0,9,140,141,
1644400117,job77_scenario1_135,B54,135,-1,136,136,4,0,4,140,141,
1644400117,job76_scenario1_134,B51,134,-1,136,136,9,0,9,145,146,
1644400118,job79_scenario1_138,B14,138,-1,141,141,6,0,6,147,148,
1644400118,job81_scenario1_140,os4,140,-1,141,141,6,0,6,147,148,
1644400118,job80_scenario1_139,B11,139,-1,141,141,8,0,8,149,150,
1644400118,job78_scenario1_137,B54,137,-1,141,141,8,0,8,149,150,
1644400118,job84_scenario2_143,os4,143,-1,148,148,1,0,1,149,150,
1644400118,job88_scenario2_148,B14,148,-1,149,149,3,0,3,152,153,
1644400118,job87_scenario3_147,os4,147,-1,150,150,3,0,3,153,154,
1644400118,job83_scenario2_142,in4,142,-1,143,143,11,0,11,154,155,
1644400118,job82_scenario0_141,B33,141,-1,142,142,13,0,13,155,156,
1644400118,job90_scenario4_151,B11,151,-1,152,152,5,0,5,157,158,
1644400118,job86_scenario1_146,B54,146,-1,150,150,8,0,8,158,159,
1644400118,job85_scenario0_145,B51,145,-1,146,146,13,0,13,159,160,
