RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644420711,3,job1_scenario1_3,B54,3,3,Zt_prime=0,
1644420711,8,job3_scenario1_8,B54,8,8,Zt_prime=0,
1644420711,14,job5_scenario0_13,sh10,13,14,worker_is_unavailable,
1644420711,17,job6_scenario0_16,sh10,16,17,worker_is_unavailable,
1644420711,19,job7_scenario2_17,in22,17,19,Zt_prime=0,
1644420711,22,job9_scenario4_20,os4,20,22,Zt_prime=0,
1644420712,33,job13_scenario4_30,os4,30,33,other_job_from_Ati_was_chosen,
1644420712,34,job14_scenario4_31,os4,31,34,worker_is_unavailable,
1644420712,45,job18_scenario2_44,in22,44,45,Zt_prime=0,
1644420712,48,job19_scenario0_46,sh10,46,48,Zt_prime=0,
1644420712,50,job23_scenario1_50,B54,50,50,worker_is_unavailable,
1644420712,52,job24_scenario2_51,in22,51,52,Zt_prime=0,
1644420712,53,job25_scenario2_52,in22,52,53,Zt_prime=0,
1644420713,57,job28_scenario2_56,in22,56,57,worker_is_unavailable,
1644420713,71,job33_scenario4_68,os4,68,71,worker_is_unavailable,
1644420713,75,job36_scenario0_73,sh10,73,75,Zt_prime=0,
1644420714,81,job34_scenario1_70,B54,70,81,worker_is_unavailable,
1644420714,81,job40_scenario0_79,sh10,79,81,other_job_from_Ati_was_chosen,
1644420714,91,job45_scenario2_88,in22,88,91,worker_is_unavailable,
1644420714,93,job47_scenario0_91,sh10,91,93,Zt_prime=0,
1644420715,101,job49_scenario3_99,os4,99,101,Zt_prime=0,
1644420715,105,job53_scenario4_105,os4,105,105,worker_is_unavailable,
1644420715,109,job55_scenario2_108,in22,108,109,Zt_prime=0,
1644420715,113,job57_scenario3_110,os4,110,113,Zt_prime=0,
1644420715,114,job58_scenario0_112,sh10,112,114,Zt_prime=0,
1644420715,114,job59_scenario2_113,in22,113,114,Zt_prime=0,
1644420715,116,job60_scenario0_114,sh10,114,116,Zt_prime=0,
1644420716,121,job54_scenario1_106,B54,106,121,worker_is_unavailable,
1644420716,121,job63_scenario0_119,sh10,119,121,worker_is_unavailable,
1644420716,125,job65_scenario3_122,os4,122,125,worker_is_unavailable,
1644420716,126,job66_scenario4_123,os4,123,126,worker_is_unavailable,
1644420716,127,job68_scenario0_125,sh10,125,127,Zt_prime=0,
1644420716,129,job69_scenario0_127,sh10,127,129,Zt_prime=0,
1644420716,132,job72_scenario2_131,in22,131,132,Zt_prime=0,
1644420717,139,job74_scenario0_137,sh10,137,139,Zt_prime=0,
1644420717,150,job79_scenario0_148,sh10,148,150,Zt_prime=0,
1644420718,164,job78_scenario1_144,B54,144,164,worker_is_unavailable,
1644420719,188,job94_scenario3_186,os4,186,188,Zt_prime=0,
1644420719,193,job97_scenario3_191,os4,191,193,Zt_prime=0,
1644420720,200,job89_scenario1_177,B54,177,200,worker_is_unavailable,
1644420720,201,job90_scenario1_178,B54,178,201,worker_is_unavailable,
1644420720,202,job103_scenario3_200,os4,200,202,Zt_prime=0,
1644420720,209,job93_scenario1_185,B54,185,209,worker_is_unavailable,
1644420721,219,job112_scenario0_217,sh10,217,219,worker_is_unavailable,
1644420721,225,job115_scenario2_222,in22,222,225,Zt_prime=0,
1644420721,228,job117_scenario0_226,sh10,226,228,Zt_prime=0,
1644420721,230,job105_scenario1_204,B54,204,230,worker_is_unavailable,
1644420723,243,job125_scenario2_240,in22,240,243,Zt_prime=0,
1644420723,246,job129_scenario0_244,sh10,244,246,worker_is_unavailable,
1644420723,248,job130_scenario3_246,os4,246,248,Zt_prime=0,
1644420723,249,job114_scenario1_221,B54,221,249,worker_is_unavailable,
1644420723,251,job132_scenario0_249,sh10,249,251,worker_is_unavailable,
1644420724,259,job138_scenario2_257,in22,257,259,worker_is_unavailable,
1644420724,262,job140_scenario2_260,in22,260,262,Zt_prime=0,
1644420725,270,job144_scenario3_267,os4,267,270,worker_is_unavailable,
