,job133_scenario3_251,job136_scenario1_255,job137_scenario2_256,
in27,0.819081812130644,0.38215999176788884,0.3532368217367436,
B14,0.28001847306629013,0.0,0.12000912040173939,
B11,0.9390909325323835,0.48710426142748997,0.48710426142748997,
cn12,0.6604383842288646,0.3067905171572687,0.2786525483035188,
B54,0.6604383842288646,0.7973233374105165,0.5186707891069977,
B51,0.8688900973528356,0.4372959762052983,0.34040602215715043,
os4,0.6786801417715485,0.3284608335257105,0.5186707891069977,
in4,0.9390909325323835,0.38215999176788884,0.3172868558035589,
B33,0.9390909325323835,0.34040602215715043,0.5186707891069977,
sh10,0.47022842864757736,0.27020518697760265,0.4871042614274899,
in22,0.7221918580824961,0.6071133818292294,0.6773142170087771,
