RecordTimeStamp,SystemTick,AssignmentTick,JobId,WorkerId,JobArrivalTime,JobTime,FreeWorkersCount
1644420659,0,1,job0_scenario3_0,B51,0,1,11,
1644420659,3,4,job1_scenario1_3,os4,3,3,11,
1644420659,7,8,job2_scenario2_7,B54,7,5,11,
1644420659,8,9,job3_scenario1_8,sh10,8,4,10,
1644420659,11,12,job4_scenario0_11,B51,11,9,9,
1644420660,13,14,job5_scenario0_13,sh10,13,6,10,
1644420660,17,18,job7_scenario2_17,B33,17,4,9,
1644420660,19,20,job8_scenario1_19,B54,19,3,8,
1644420660,20,21,job9_scenario4_20,in22,20,6,8,
1644420660,20,21,job6_scenario0_16,sh10,16,7,7,
1644420660,23,24,job10_scenario1_21,B11,21,9,9,
1644420660,23,24,job11_scenario1_23,B54,23,3,8,
1644420660,29,30,job12_scenario4_29,B14,29,2,10,
1644420660,30,31,job13_scenario4_30,in22,30,5,9,
1644420661,33,34,job14_scenario4_31,B11,31,2,10,
1644420661,35,36,job15_scenario4_35,B54,35,5,9,
1644420661,42,43,job16_scenario1_36,B54,36,3,11,
1644420661,42,43,job17_scenario1_42,sh10,42,4,10,
1644420661,44,45,job18_scenario2_44,B14,44,2,9,
1644420661,47,48,job20_scenario2_47,in22,47,2,11,
1644420661,47,48,job19_scenario0_46,sh10,46,3,10,
1644420661,48,49,job21_scenario1_48,B54,48,3,9,
1644420661,49,50,job22_scenario4_49,B14,49,2,8,
1644420661,50,51,job23_scenario1_50,os4,50,12,8,
1644420662,51,52,job24_scenario2_51,B33,51,1,8,
1644420662,52,53,job25_scenario2_52,in22,52,2,9,
1644420662,53,54,job26_scenario2_53,sh10,53,2,9,
1644420662,56,57,job27_scenario1_54,sh10,54,4,10,
1644420662,56,57,job28_scenario2_56,B54,56,5,9,
1644420662,59,60,job29_scenario0_59,B33,59,14,8,
1644420662,63,64,job30_scenario4_63,os4,63,1,10,
1644420662,64,65,job31_scenario2_64,in22,64,1,9,
1644420662,66,67,job32_scenario3_66,in4,66,1,10,
1644420662,68,69,job33_scenario4_68,sh10,68,5,10,
1644420663,70,71,job34_scenario1_70,B11,70,8,9,
1644420663,72,73,job35_scenario1_72,os4,72,7,8,
1644420663,74,75,job36_scenario0_73,sh10,73,6,9,
1644420663,74,75,job37_scenario1_74,in22,74,9,8,
1644420663,77,78,job38_scenario1_77,B51,77,7,7,
1644420663,79,80,job40_scenario0_79,B33,79,15,7,
1644420663,81,82,job39_scenario0_78,sh10,78,3,8,
1644420663,84,85,job41_scenario3_83,in22,83,4,8,
1644420663,85,86,job42_scenario1_84,sh10,84,3,9,
1644420663,85,86,job43_scenario1_85,os4,85,8,8,
1644420664,87,88,job44_scenario2_87,B14,87,2,7,
1644420664,90,91,job46_scenario4_90,in4,90,6,9,
1644420664,90,91,job45_scenario2_88,sh10,88,2,8,
1644420664,94,95,job47_scenario0_91,sh10,91,5,9,
1644420664,98,99,job48_scenario1_98,os4,98,5,10,
1644420664,99,100,job49_scenario3_99,B54,99,7,9,
1644420664,100,101,job50_scenario3_100,in22,100,6,9,
1644420665,102,103,job51_scenario1_101,B14,101,5,8,
1644420665,102,103,job52_scenario2_102,B33,102,2,7,
1644420665,106,107,job54_scenario1_106,B33,106,8,8,
1644420665,108,109,job55_scenario2_108,os4,108,2,10,
1644420665,108,109,job53_scenario4_105,B54,105,3,9,
1644420665,112,113,job58_scenario0_112,sh10,112,3,10,
1644420665,112,113,job57_scenario3_110,os4,110,2,9,
1644420665,112,113,job56_scenario1_109,B54,109,7,8,
1644420665,114,115,job60_scenario0_114,B51,114,12,7,
1644420666,115,116,job61_scenario2_115,B33,115,2,8,
1644420666,115,116,job59_scenario2_113,os4,113,4,7,
1644420666,118,119,job62_scenario0_118,sh10,118,5,8,
1644420666,119,120,job63_scenario0_119,B33,119,12,7,
1644420666,120,121,job64_scenario3_120,in22,120,3,8,
1644420666,122,123,job65_scenario3_122,cn12,122,6,7,
1644420666,123,124,job66_scenario4_123,B54,123,4,6,
1644420666,124,125,job67_scenario2_124,sh10,124,4,7,
1644420666,127,128,job69_scenario0_127,B51,127,12,7,
1644420667,129,130,job68_scenario0_125,sh10,125,3,9,
1644420667,129,130,job71_scenario1_129,B54,129,4,8,
1644420667,131,132,job72_scenario2_131,in22,131,2,7,
1644420667,133,134,job70_scenario0_128,sh10,128,6,8,
1644420667,134,135,job73_scenario0_134,in22,134,11,9,
1644420667,140,141,job75_scenario1_140,sh10,140,1,10,
1644420667,140,141,job74_scenario0_137,B51,137,13,9,
1644420667,141,142,job76_scenario2_141,os4,141,3,8,
1644420668,142,143,job77_scenario1_142,B54,142,5,8,
1644420668,146,147,job78_scenario1_144,os4,144,8,9,
1644420668,148,149,job79_scenario0_148,sh10,148,4,9,
1644420668,153,154,job80_scenario1_153,B54,153,2,9,
1644420668,157,158,job81_scenario1_157,B54,157,2,11,
1644420669,158,159,job82_scenario1_158,B11,158,8,10,
1644420669,159,160,job83_scenario1_159,B14,159,4,9,
1644420669,165,166,job84_scenario1_165,sh10,165,4,10,
1644420669,171,172,job85_scenario2_166,sh10,166,2,11,
1644420669,171,172,job86_scenario3_171,B51,171,2,10,
1644420669,172,173,job87_scenario2_172,in22,172,5,9,
1644420669,175,176,job88_scenario1_175,B54,175,4,10,
