,job561_scenario1_1128,job562_scenario1_1129,job563_scenario1_1130,job564_scenario1_1131,
in27,0.3228974303125248,0.17557330464768073,0.14420702272391556,0.12770534578654613,
B14,0.36153173781256487,0.2955824250494201,0.1828413302239556,0.23264961544614726,
B11,0.3228974303125248,0.2955824250494201,0.20596049657754706,0.11264049504440782,
cn12,0.19444094858486927,0.12043732021027131,0.0,0.024197902322176112,
B54,0.4429065507142643,0.34539071027161183,0.30285045062569504,0.264216143125655,
B51,0.3228974303125248,0.2569481175493801,0.09878217575540088,0.08595137617580773,
os4,0.27747258334401015,0.34539071027161183,0.11264049504440782,0.09878217575540088,
in4,0.2310262787645353,0.22538158986987233,0.07400618754436777,0.03307864701046115,
B33,0.27747258334401015,0.22538158986987233,0.12770534578654613,0.09878217575540088,
sh10,0.5313491434364959,0.4653998306733511,0.3526587358478866,0.20596049657754706,
in22,0.3846509041661563,0.2115232705808654,0.07400618754436777,0.12770534578654613,
