,job268_scenario2_489,job270_scenario1_491,job271_scenario2_494,
in27,0.10350744346437002,0.10350744346437002,0.04980828522219166,
B14,0.0884425927222317,0.12000912040173944,0.06175347385363156,
B11,0.07458427343322477,0.13825087794442326,0.12000912040173944,
cn12,0.06175347385363161,0.0,0.01824175754268398,
B54,0.3284608335257105,0.18176259425537095,0.20845171312397115,
B51,0.0386343075000401,0.12000912040173944,0.0884425927222317,
os4,0.5186707891069977,0.18176259425537095,0.3986616687052583,
in4,0.12000912040173944,0.06175347385363161,0.0884425927222317,
B33,0.3986616687052583,0.06175347385363161,0.27865254830351893,
sh10,0.3284608335257105,0.27865254830351893,0.27865254830351893,
in22,0.27865254830351893,0.12000912040173944,0.3284608335257105,
