RecordTimeStamp,SystemTick,AssignmentTick,JobId,WorkerId,JobArrivalTime,JobTime,FreeWorkersCount
1644420083,0,1,job0_scenario3_0,in27,0,4,3,
1644420083,3,4,job1_scenario1_3,B14,3,6,2,
1644420083,7,8,job2_scenario2_7,B11,7,11,2,
1644420083,8,9,job3_scenario1_8,in27,8,10,1,
1644420084,11,12,job4_scenario0_11,B14,11,15,1,
1644420084,19,20,job7_scenario2_17,B11,17,10,2,
1644420084,19,20,job5_scenario0_13,in27,13,24,1,
1644420084,27,28,job9_scenario4_20,B14,20,4,1,
1644420084,30,31,job11_scenario1_23,B11,23,6,1,
1644420084,32,33,job8_scenario1_19,B14,19,8,1,
1644420085,37,38,job14_scenario4_31,B11,31,2,1,
1644420085,40,41,job13_scenario4_30,B11,30,4,1,
1644420085,41,42,job12_scenario4_29,B14,29,2,1,
1644420085,44,45,job10_scenario1_21,B14,21,7,2,
1644420085,44,45,job6_scenario0_16,in27,16,24,1,
1644420085,45,46,job15_scenario4_35,B11,35,6,1,
1644420086,52,53,job18_scenario2_44,B14,44,2,2,
1644420086,52,53,job17_scenario1_42,B11,42,8,1,
1644420086,55,56,job16_scenario1_36,B14,36,9,1,
1644420087,61,62,job20_scenario2_47,B11,47,9,1,
1644420087,65,66,job22_scenario4_49,B14,49,2,1,
1644420087,68,69,job25_scenario2_52,B14,52,4,1,
1644420087,69,70,job30_scenario4_63,in27,63,9,1,
1644420087,71,72,job32_scenario3_66,B11,66,1,1,
1644420088,73,74,job21_scenario1_48,B14,48,8,2,
1644420088,73,74,job23_scenario1_50,B11,50,13,1,
1644420088,79,80,job27_scenario1_54,in27,54,14,1,
1644420088,82,83,job26_scenario2_53,B14,53,5,1,
1644420088,87,88,job34_scenario1_70,B11,70,8,1,
1644420088,88,89,job24_scenario2_51,B14,51,6,1,
1644420089,94,95,job31_scenario2_64,in27,64,11,1,
1644420089,95,96,job44_scenario2_87,B14,87,2,1,
1644420089,96,97,job41_scenario3_83,B11,83,4,1,
1644420089,98,99,job37_scenario1_74,B14,74,7,1,
1644420090,101,102,job33_scenario4_68,B11,68,4,1,
1644420090,106,107,job49_scenario3_99,B14,99,2,3,
1644420090,106,107,job50_scenario3_100,in27,100,6,2,
1644420091,106,107,job46_scenario4_90,B11,90,2,1,
1644420091,109,110,job42_scenario1_84,B14,84,6,2,
1644420091,109,110,job35_scenario1_72,B11,72,12,1,
1644420091,113,114,job38_scenario1_77,in27,77,9,1,
1644420092,116,117,job53_scenario4_105,B14,105,4,1,
1644420092,121,122,job45_scenario2_88,B14,88,6,1,
1644420092,122,123,job48_scenario1_98,B11,98,10,1,
1644420092,123,124,job57_scenario3_110,in27,110,8,1,
1644420092,128,129,job51_scenario1_101,B14,101,5,1,
1644420092,132,133,job64_scenario3_120,in27,120,5,1,
1644420093,133,134,job52_scenario2_102,B11,102,11,1,
1644420093,134,135,job54_scenario1_106,B14,106,8,1,
1644420093,138,139,job65_scenario3_122,in27,122,3,1,
1644420093,142,143,job55_scenario2_108,in27,108,11,1,
1644420093,143,144,job72_scenario2_131,B14,131,6,1,
1644420094,145,146,job66_scenario4_123,B11,123,3,1,
1644420094,149,150,job61_scenario2_115,B11,115,11,1,
1644420094,150,151,job71_scenario1_129,B14,129,8,1,
1644420094,154,155,job75_scenario1_140,in27,140,12,1,
1644420094,159,160,job67_scenario2_124,B14,124,7,1,
1644420094,161,162,job76_scenario2_141,B11,141,9,1,
1644420094,167,168,job78_scenario1_144,B14,144,8,2,
1644420094,167,168,job77_scenario1_142,in27,142,14,1,
1644420095,171,172,job82_scenario1_158,B11,158,8,1,
1644420095,176,177,job81_scenario1_157,B14,157,6,1,
1644420095,180,181,job80_scenario1_153,B11,153,9,1,
1644420095,182,183,job86_scenario3_171,in27,171,6,1,
1644420096,183,184,job85_scenario2_166,B14,166,1,1,
1644420096,185,186,job83_scenario1_159,B14,159,4,1,
1644420096,189,190,job87_scenario2_172,in27,172,11,1,
1644420096,190,191,job92_scenario1_184,B14,184,6,2,
1644420096,190,191,job84_scenario1_165,B11,165,11,1,
1644420097,197,198,job90_scenario1_178,B14,178,7,1,
1644420097,201,202,job101_scenario3_197,in27,197,5,1,
1644420097,202,203,job97_scenario3_191,B11,191,2,1,
1644420097,205,206,job103_scenario3_200,B11,200,2,2,
1644420097,205,206,job91_scenario2_182,B14,182,3,1,
1644420098,207,208,job88_scenario1_175,in27,175,9,1,
1644420098,208,209,job94_scenario3_186,B11,186,2,1,
1644420098,209,210,job89_scenario1_177,B14,177,10,1,
1644420098,211,212,job95_scenario2_188,B11,188,9,1,
1644420098,217,218,job99_scenario3_195,in27,195,4,1,
1644420099,220,221,job107_scenario2_208,B14,208,3,1,
1644420099,221,222,job102_scenario4_198,B11,198,2,1,
1644420099,222,223,job100_scenario1_196,in27,196,11,1,
1644420099,224,225,job105_scenario1_204,B14,204,6,2,
1644420099,224,225,job106_scenario3_207,B11,207,6,1,
1644420099,231,232,job104_scenario1_203,B14,203,9,2,
1644420099,231,232,job98_scenario1_192,B11,192,8,1,
1644420100,234,235,job113_scenario1_219,in27,219,9,1,
1644420100,240,241,job108_scenario1_209,B11,209,10,1,
1644420100,241,242,job115_scenario2_222,B14,222,6,1,
1644420100,244,245,job109_scenario3_211,in27,211,6,1,
1644420100,248,249,job116_scenario2_223,B14,223,3,1,
1644420100,251,252,job130_scenario3_246,B11,246,2,2,
1644420101,251,252,job110_scenario2_213,in27,213,12,1,
1644420101,252,253,job114_scenario1_221,B14,221,7,1,
1644420101,254,255,job126_scenario3_241,B11,241,2,1,
1644420101,257,258,job124_scenario2_239,B11,239,11,1,
1644420102,260,261,job121_scenario2_233,B14,233,5,1,
1644420102,264,265,job123_scenario1_236,in27,236,11,1,
1644420102,266,267,job120_scenario1_229,B14,229,9,1,
1644420102,269,270,job133_scenario3_251,B11,251,2,1,
1644420102,272,273,job142_scenario3_262,B11,262,1,1,
1644420102,274,275,job139_scenario3_258,B11,258,2,1,
1644420103,276,277,job127_scenario1_242,B14,242,6,2,
1644420103,276,277,job144_scenario3_267,in27,267,3,1,
1644420103,277,278,job143_scenario3_265,B11,265,3,1,
1644420103,280,281,job125_scenario2_240,in27,240,15,1,
