RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644420084,54,job5_scenario0_13,notAssignedYet,13,notAssignedYet,long_waiting_time,
1644420084,57,job6_scenario0_16,notAssignedYet,16,notAssignedYet,long_waiting_time,
1644420086,87,job19_scenario0_46,notAssignedYet,46,notAssignedYet,long_waiting_time,
1644420087,91,job23_scenario1_50,notAssignedYet,50,notAssignedYet,long_waiting_time,
1644420087,92,job24_scenario2_51,notAssignedYet,51,notAssignedYet,long_waiting_time,
1644420087,97,job28_scenario2_56,notAssignedYet,56,notAssignedYet,long_waiting_time,
1644420088,100,job29_scenario0_59,notAssignedYet,59,notAssignedYet,long_waiting_time,
1644420088,114,job36_scenario0_73,notAssignedYet,73,notAssignedYet,long_waiting_time,
1644420089,119,job39_scenario0_78,notAssignedYet,78,notAssignedYet,long_waiting_time,
1644420089,120,job40_scenario0_79,notAssignedYet,79,notAssignedYet,long_waiting_time,
1644420090,126,job43_scenario1_85,notAssignedYet,85,notAssignedYet,long_waiting_time,
1644420091,132,job47_scenario0_91,notAssignedYet,91,notAssignedYet,long_waiting_time,
1644420092,153,job58_scenario0_112,notAssignedYet,112,notAssignedYet,long_waiting_time,
1644420092,155,job60_scenario0_114,notAssignedYet,114,notAssignedYet,long_waiting_time,
1644420092,159,job62_scenario0_118,notAssignedYet,118,notAssignedYet,long_waiting_time,
1644420092,160,job63_scenario0_119,notAssignedYet,119,notAssignedYet,long_waiting_time,
1644420093,166,job68_scenario0_125,notAssignedYet,125,notAssignedYet,long_waiting_time,
1644420093,168,job69_scenario0_127,notAssignedYet,127,notAssignedYet,long_waiting_time,
1644420093,169,job70_scenario0_128,notAssignedYet,128,notAssignedYet,long_waiting_time,
1644420094,175,job73_scenario0_134,notAssignedYet,134,notAssignedYet,long_waiting_time,
1644420094,178,job74_scenario0_137,notAssignedYet,137,notAssignedYet,long_waiting_time,
1644420094,189,job79_scenario0_148,notAssignedYet,148,notAssignedYet,long_waiting_time,
1644420097,226,job93_scenario1_185,notAssignedYet,185,notAssignedYet,long_waiting_time,
1644420097,230,job96_scenario0_189,notAssignedYet,189,notAssignedYet,long_waiting_time,
1644420097,233,job98_scenario1_192,notAssignedYet,192,notAssignedYet,long_waiting_time,
1644420099,257,job111_scenario0_216,notAssignedYet,216,notAssignedYet,long_waiting_time,
1644420099,258,job112_scenario0_217,notAssignedYet,217,notAssignedYet,long_waiting_time,
1644420100,267,job117_scenario0_226,notAssignedYet,226,notAssignedYet,long_waiting_time,
1644420100,268,job118_scenario2_227,notAssignedYet,227,notAssignedYet,long_waiting_time,
1644420100,269,job119_scenario1_228,notAssignedYet,228,notAssignedYet,long_waiting_time,
1644420100,270,job120_scenario1_229,notAssignedYet,229,notAssignedYet,long_waiting_time,
1644420100,275,job122_scenario0_234,notAssignedYet,234,notAssignedYet,long_waiting_time,
1644420101,281,job125_scenario2_240,notAssignedYet,240,notAssignedYet,long_waiting_time,
1644420101,284,job128_scenario0_243,notAssignedYet,243,notAssignedYet,long_waiting_time,
1644420101,285,job129_scenario0_244,notAssignedYet,244,notAssignedYet,long_waiting_time,
1644420101,288,job131_scenario2_247,notAssignedYet,247,notAssignedYet,long_waiting_time,
1644420102,290,job132_scenario0_249,notAssignedYet,249,notAssignedYet,long_waiting_time,
1644420102,295,job135_scenario0_254,notAssignedYet,254,notAssignedYet,long_waiting_time,
1644420103,315,job148_scenario1_274,notAssignedYet,274,notAssignedYet,long_waiting_time,
1644420103,318,job151_scenario1_277,notAssignedYet,277,notAssignedYet,long_waiting_time,
1644420103,319,job152_scenario0_278,notAssignedYet,278,notAssignedYet,long_waiting_time,
1644420103,320,job153_scenario1_279,notAssignedYet,279,notAssignedYet,long_waiting_time,
1644420103,321,job154_scenario1_280,notAssignedYet,280,notAssignedYet,long_waiting_time,
1644420104,323,job155_scenario1_282,notAssignedYet,282,notAssignedYet,long_waiting_time,
1644420104,329,job159_scenario1_288,notAssignedYet,288,notAssignedYet,long_waiting_time,
1644420104,332,job161_scenario0_291,notAssignedYet,291,notAssignedYet,long_waiting_time,
1644420104,333,job162_scenario0_292,notAssignedYet,292,notAssignedYet,long_waiting_time,
