RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644420731,87,job32_scenario3_66,notAssignedYet,66,notAssignedYet,long_waiting_time,
1644420732,98,job38_scenario1_77,notAssignedYet,77,notAssignedYet,long_waiting_time,
1644420732,111,job46_scenario4_90,notAssignedYet,90,notAssignedYet,long_waiting_time,
1644420734,144,job66_scenario4_123,notAssignedYet,123,notAssignedYet,long_waiting_time,
1644420734,146,job68_scenario0_125,notAssignedYet,125,notAssignedYet,long_waiting_time,
1644420734,149,job70_scenario0_128,notAssignedYet,128,notAssignedYet,long_waiting_time,
1644420735,158,job74_scenario0_137,notAssignedYet,137,notAssignedYet,long_waiting_time,
1644420735,161,job75_scenario1_140,notAssignedYet,140,notAssignedYet,long_waiting_time,
1644420736,187,job85_scenario2_166,notAssignedYet,166,notAssignedYet,long_waiting_time,
1644420738,248,job118_scenario2_227,notAssignedYet,227,notAssignedYet,long_waiting_time,
1644420738,257,job123_scenario1_236,notAssignedYet,236,notAssignedYet,long_waiting_time,
1644420739,265,job129_scenario0_244,notAssignedYet,244,notAssignedYet,long_waiting_time,
1644420739,270,job132_scenario0_249,notAssignedYet,249,notAssignedYet,long_waiting_time,
1644420739,275,job135_scenario0_254,notAssignedYet,254,notAssignedYet,long_waiting_time,
1644420739,282,job141_scenario2_261,notAssignedYet,261,notAssignedYet,long_waiting_time,
1644420741,312,job161_scenario0_291,notAssignedYet,291,notAssignedYet,long_waiting_time,
1644420741,321,job167_scenario0_300,notAssignedYet,300,notAssignedYet,long_waiting_time,
1644420742,332,job173_scenario1_311,notAssignedYet,311,notAssignedYet,long_waiting_time,
1644420744,376,job199_scenario2_355,notAssignedYet,355,notAssignedYet,long_waiting_time,
1644420744,396,job210_scenario0_375,notAssignedYet,375,notAssignedYet,long_waiting_time,
1644420745,407,job216_scenario1_386,notAssignedYet,386,notAssignedYet,long_waiting_time,
1644420747,471,job249_scenario3_450,notAssignedYet,450,notAssignedYet,long_waiting_time,
1644420749,510,job268_scenario2_489,notAssignedYet,489,notAssignedYet,long_waiting_time,
1644420750,533,job279_scenario2_512,notAssignedYet,512,notAssignedYet,long_waiting_time,
1644420751,564,job292_scenario1_543,notAssignedYet,543,notAssignedYet,long_waiting_time,
1644420751,565,job293_scenario1_544,notAssignedYet,544,notAssignedYet,long_waiting_time,
1644420752,586,job304_scenario3_565,notAssignedYet,565,notAssignedYet,long_waiting_time,
1644420752,587,job305_scenario1_566,notAssignedYet,566,notAssignedYet,long_waiting_time,
1644420752,597,job312_scenario0_576,notAssignedYet,576,notAssignedYet,long_waiting_time,
1644420756,636,job331_scenario4_615,notAssignedYet,615,notAssignedYet,long_waiting_time,
1644420758,655,job341_scenario0_634,notAssignedYet,634,notAssignedYet,long_waiting_time,
1644420766,711,job371_scenario0_690,notAssignedYet,690,notAssignedYet,long_waiting_time,
1644420766,717,job374_scenario0_696,notAssignedYet,696,notAssignedYet,long_waiting_time,
1644420767,730,job380_scenario2_709,notAssignedYet,709,notAssignedYet,long_waiting_time,
1644420768,737,job384_scenario1_716,notAssignedYet,716,notAssignedYet,long_waiting_time,
1644420769,743,job388_scenario0_722,notAssignedYet,722,notAssignedYet,long_waiting_time,
1644420775,810,job413_scenario3_789,notAssignedYet,789,notAssignedYet,long_waiting_time,
1644420788,938,job471_scenario4_917,notAssignedYet,917,notAssignedYet,long_waiting_time,
1644420798,1027,job509_scenario2_1006,notAssignedYet,1006,notAssignedYet,long_waiting_time,
1644420800,1056,job521_scenario3_1035,notAssignedYet,1035,notAssignedYet,long_waiting_time,
1644420805,1120,job547_scenario4_1099,notAssignedYet,1099,notAssignedYet,long_waiting_time,
1644420808,1139,job556_scenario1_1118,notAssignedYet,1118,notAssignedYet,long_waiting_time,
1644420809,1147,job560_scenario1_1126,notAssignedYet,1126,notAssignedYet,long_waiting_time,
1644420810,1161,job567_scenario1_1140,notAssignedYet,1140,notAssignedYet,long_waiting_time,
1644420811,1173,job574_scenario0_1152,notAssignedYet,1152,notAssignedYet,long_waiting_time,
1644420813,1192,job585_scenario2_1171,notAssignedYet,1171,notAssignedYet,long_waiting_time,
1644420816,1220,job600_scenario3_1199,notAssignedYet,1199,notAssignedYet,long_waiting_time,
1644420825,1327,job635_scenario1_1306,notAssignedYet,1306,notAssignedYet,long_waiting_time,
1644420831,1407,job665_scenario1_1386,notAssignedYet,1386,notAssignedYet,long_waiting_time,
1644420847,1634,job747_scenario2_1613,notAssignedYet,1613,notAssignedYet,long_waiting_time,
1644420850,1679,job763_scenario1_1658,notAssignedYet,1658,notAssignedYet,long_waiting_time,
1644420863,1914,job843_scenario1_1893,notAssignedYet,1893,notAssignedYet,long_waiting_time,
