RecordTimeStamp,SystemTick,AssignmentTick,JobId,WorkerId,JobArrivalTime,JobTime,FreeWorkersCount
1644420740,0,1,job0_scenario3_0,B11,0,6,5,
1644420740,3,4,job1_scenario1_3,B14,3,6,4,
1644420740,7,8,job2_scenario2_7,B54,7,5,4,
1644420740,8,9,job3_scenario1_8,B11,8,9,3,
1644420740,11,12,job4_scenario0_11,B14,11,15,3,
1644420740,13,14,job5_scenario0_13,B54,13,13,3,
1644420740,16,17,job6_scenario0_16,in27,16,24,2,
1644420740,17,18,job7_scenario2_17,cn12,17,18,1,
1644420740,19,20,job8_scenario1_19,B11,19,13,1,
1644420741,27,28,job9_scenario4_20,B54,20,7,2,
1644420741,27,28,job10_scenario1_21,B14,21,7,1,
1644420741,33,34,job13_scenario4_30,B11,30,4,1,
1644420741,35,36,job11_scenario1_23,B54,23,3,2,
1644420741,35,36,job12_scenario4_29,B14,29,2,1,
1644420741,36,37,job14_scenario4_31,cn12,31,9,1,
1644420741,38,39,job15_scenario4_35,B11,35,6,2,
1644420741,38,39,job16_scenario1_36,B14,36,9,1,
1644420741,42,43,job17_scenario1_42,B54,42,7,2,
1644420741,44,45,job18_scenario2_44,in27,44,11,1,
1644420741,46,47,job19_scenario0_46,B11,46,26,2,
1644420741,47,48,job20_scenario2_47,cn12,47,18,1,
1644420742,48,49,job21_scenario1_48,B14,48,8,1,
1644420742,50,51,job22_scenario4_49,B54,49,1,1,
1644420742,52,53,job23_scenario1_50,B54,50,8,1,
1644420742,56,57,job24_scenario2_51,in27,51,10,1,
1644420742,57,58,job26_scenario2_53,B14,53,5,1,
1644420742,61,62,job25_scenario2_52,B54,52,4,1,
1644420742,63,64,job28_scenario2_56,B14,56,8,1,
1644420742,66,67,job27_scenario1_54,B54,54,6,2,
1644420742,66,67,job30_scenario4_63,cn12,63,3,1,
1644420742,67,68,job29_scenario0_59,in27,59,25,1,
1644420742,70,71,job32_scenario3_66,cn12,66,9,1,
1644420742,72,73,job31_scenario2_64,B14,64,6,1,
1644420742,73,74,job33_scenario4_68,B11,68,4,2,
1644420742,73,74,job34_scenario1_70,B54,70,7,1,
1644420743,78,79,job35_scenario1_72,B11,72,12,1,
1644420743,79,80,job37_scenario1_74,B14,74,7,1,
1644420743,80,81,job36_scenario0_73,cn12,73,51,1,
