RecordTimeStamp,WorkerId,isWorkerCausedPause,IsWorkerBusyNow,WorkerAssignedJobId,WorkerOfflineTime,LastOnlineStatusUpdateTick,LastOnlineIndicatorsCount,LastOnlineStatusJobId,CurrentSystemTick
1644420080,in27,0,0,,0,0,0,,0,
1644420080,B14,0,0,,0,0,0,,0,
1644420080,B11,0,0,,0,0,0,,0,
1644420080,cn12,0,0,,0,0,0,,0,
1644420080,B54,0,0,,0,0,0,,0,
1644420081,in27,0,1,job0_scenario3_0,1,0,0,,1,
1644420081,B14,0,0,,1,0,0,,1,
1644420081,B11,0,0,,1,0,0,,1,
1644420081,cn12,0,0,,1,0,0,,1,
1644420081,B54,0,0,,1,0,0,,1,
1644420081,in27,0,1,job0_scenario3_0,2,0,0,,2,
1644420081,B14,0,0,,2,0,0,,2,
1644420081,B11,0,0,,2,0,0,,2,
1644420081,cn12,0,0,,2,0,0,,2,
1644420081,B54,0,0,,2,0,0,,2,
1644420081,in27,0,1,job0_scenario3_0,3,0,0,,3,
1644420081,B14,0,0,,3,0,0,,3,
1644420081,B11,0,0,,3,0,0,,3,
1644420081,cn12,0,0,,3,0,0,,3,
1644420081,B54,0,0,,3,0,0,,3,
1644420081,in27,0,1,job0_scenario3_0,4,0,0,,4,
1644420081,B14,0,0,,4,0,0,,4,
1644420081,B11,0,0,,4,0,0,,4,
1644420081,cn12,0,0,,4,0,0,,4,
1644420081,B54,0,1,job1_scenario1_3,4,0,0,,4,
1644420081,in27,0,0,,5,0,0,,5,
1644420081,B14,0,0,,5,0,0,,5,
1644420081,B11,0,0,,5,0,0,,5,
1644420081,cn12,0,0,,5,0,0,,5,
1644420081,B54,0,1,job1_scenario1_3,5,0,0,,5,
1644420081,in27,0,0,,6,0,0,,6,
1644420081,B14,0,0,,6,0,0,,6,
1644420081,B11,0,0,,6,0,0,,6,
1644420081,cn12,0,0,,6,0,0,,6,
1644420081,B54,0,1,job1_scenario1_3,6,0,0,,6,
1644420081,in27,0,0,,7,0,0,,7,
1644420081,B14,0,0,,7,0,0,,7,
1644420081,B11,0,0,,7,0,0,,7,
1644420081,cn12,0,0,,7,0,0,,7,
1644420081,B54,0,1,job1_scenario1_3,7,0,0,,7,
1644420081,in27,0,0,,8,0,0,,8,
1644420081,B14,0,1,job2_scenario2_7,8,0,0,,8,
1644420081,B11,0,0,,8,0,0,,8,
1644420081,cn12,0,0,,8,0,0,,8,
1644420081,B54,0,0,,8,0,0,,8,
1644420081,in27,0,1,job3_scenario1_8,9,0,0,,9,
1644420081,B14,0,1,job2_scenario2_7,9,0,0,,9,
1644420081,B11,0,0,,9,0,0,,9,
1644420081,cn12,0,0,,9,0,0,,9,
1644420081,B54,0,0,,9,0,0,,9,
1644420081,in27,0,1,job3_scenario1_8,10,0,0,,10,
1644420081,B14,0,1,job2_scenario2_7,10,0,0,,10,
1644420081,B11,0,0,,10,0,0,,10,
1644420081,cn12,0,0,,10,0,0,,10,
1644420081,B54,0,0,,10,0,0,,10,
1644420081,in27,0,1,job3_scenario1_8,11,0,0,,11,
1644420081,B14,0,1,job2_scenario2_7,11,0,0,,11,
1644420081,B11,0,0,,11,0,0,,11,
1644420081,cn12,0,0,,11,0,0,,11,
1644420081,B54,0,0,,11,0,0,,11,
1644420081,in27,0,1,job3_scenario1_8,12,0,0,,12,
1644420081,B14,0,1,job2_scenario2_7,12,0,0,,12,
1644420081,B11,0,0,,12,0,0,,12,
1644420081,cn12,0,0,,12,0,0,,12,
1644420081,B54,0,1,job4_scenario0_11,12,0,0,,12,
1644420081,in27,0,1,job3_scenario1_8,13,0,0,,13,
1644420081,B14,0,0,,13,0,0,,13,
1644420081,B11,0,0,,13,0,0,,13,
1644420081,cn12,0,0,,13,0,0,,13,
1644420081,B54,0,1,job4_scenario0_11,13,0,0,,13,
1644420081,in27,0,1,job3_scenario1_8,14,0,0,,14,
1644420081,B14,0,1,job5_scenario0_13,14,0,0,,14,
1644420081,B11,0,0,,14,0,0,,14,
1644420081,cn12,0,0,,14,0,0,,14,
1644420081,B54,0,1,job4_scenario0_11,14,0,0,,14,
1644420081,in27,0,1,job3_scenario1_8,15,0,0,,15,
1644420081,B14,0,1,job5_scenario0_13,15,0,0,,15,
1644420081,B11,0,0,,15,0,0,,15,
1644420081,cn12,0,0,,15,0,0,,15,
1644420081,B54,0,1,job4_scenario0_11,15,0,0,,15,
1644420081,in27,0,1,job3_scenario1_8,16,0,0,,16,
1644420081,B14,0,1,job5_scenario0_13,16,0,0,,16,
1644420081,B11,0,0,,16,0,0,,16,
1644420081,cn12,0,0,,16,0,0,,16,
1644420081,B54,0,1,job4_scenario0_11,16,0,0,,16,
1644420081,in27,0,1,job3_scenario1_8,17,0,0,,17,
1644420081,B14,0,1,job5_scenario0_13,17,0,0,,17,
1644420081,B11,0,1,job6_scenario0_16,17,0,0,,17,
1644420081,cn12,0,0,,17,0,0,,17,
1644420081,B54,0,1,job4_scenario0_11,17,0,0,,17,
1644420081,in27,0,1,job3_scenario1_8,18,0,0,,18,
1644420081,B14,0,1,job5_scenario0_13,18,0,0,,18,
1644420081,B11,0,1,job6_scenario0_16,18,0,0,,18,
1644420081,cn12,0,1,job7_scenario2_17,18,0,0,,18,
1644420081,B54,0,1,job4_scenario0_11,18,0,0,,18,
1644420081,in27,0,0,,19,0,0,,19,
1644420081,B14,0,1,job5_scenario0_13,19,0,0,,19,
1644420081,B11,0,1,job6_scenario0_16,19,0,0,,19,
1644420081,cn12,0,1,job7_scenario2_17,19,0,0,,19,
1644420081,B54,0,1,job4_scenario0_11,19,0,0,,19,
1644420081,in27,0,1,job8_scenario1_19,20,0,0,,20,
1644420081,B14,0,1,job5_scenario0_13,20,0,0,,20,
1644420081,B11,0,1,job6_scenario0_16,20,0,0,,20,
1644420081,cn12,0,1,job7_scenario2_17,20,0,0,,20,
1644420081,B54,0,1,job4_scenario0_11,20,0,0,,20,
1644420081,in27,0,1,job8_scenario1_19,21,0,0,,21,
1644420081,B14,0,1,job5_scenario0_13,21,0,0,,21,
1644420081,B11,0,1,job6_scenario0_16,21,0,0,,21,
1644420081,cn12,0,1,job7_scenario2_17,21,0,0,,21,
1644420081,B54,0,1,job4_scenario0_11,21,0,0,,21,
1644420081,in27,0,1,job8_scenario1_19,22,0,0,,22,
1644420081,B14,0,1,job5_scenario0_13,22,0,0,,22,
1644420081,B11,0,1,job6_scenario0_16,22,0,0,,22,
1644420081,cn12,0,1,job7_scenario2_17,22,0,0,,22,
1644420081,B54,0,1,job4_scenario0_11,22,0,0,,22,
1644420081,in27,0,1,job8_scenario1_19,23,0,0,,23,
1644420081,B14,0,1,job5_scenario0_13,23,0,0,,23,
1644420081,B11,0,1,job6_scenario0_16,23,0,0,,23,
1644420081,cn12,0,1,job7_scenario2_17,23,0,0,,23,
1644420081,B54,0,1,job4_scenario0_11,23,0,0,,23,
1644420081,in27,0,1,job8_scenario1_19,24,0,0,,24,
1644420081,B14,0,1,job5_scenario0_13,24,0,0,,24,
1644420081,B11,0,1,job6_scenario0_16,24,0,0,,24,
1644420081,cn12,0,1,job7_scenario2_17,24,0,0,,24,
1644420081,B54,0,1,job4_scenario0_11,24,0,0,,24,
1644420081,in27,0,1,job8_scenario1_19,25,0,0,,25,
1644420081,B14,0,1,job5_scenario0_13,25,0,0,,25,
1644420081,B11,0,1,job6_scenario0_16,25,0,0,,25,
1644420081,cn12,0,1,job7_scenario2_17,25,0,0,,25,
1644420081,B54,0,1,job4_scenario0_11,25,0,0,,25,
1644420081,in27,0,1,job8_scenario1_19,26,0,0,,26,
1644420081,B14,0,1,job5_scenario0_13,26,0,0,,26,
1644420081,B11,0,1,job6_scenario0_16,26,0,0,,26,
1644420081,cn12,0,1,job7_scenario2_17,26,0,0,,26,
1644420081,B54,0,1,job4_scenario0_11,26,0,0,,26,
1644420081,in27,0,1,job8_scenario1_19,27,0,0,,27,
1644420081,B14,0,1,job5_scenario0_13,27,0,0,,27,
1644420081,B11,0,1,job6_scenario0_16,27,0,0,,27,
1644420081,cn12,0,1,job7_scenario2_17,27,0,0,,27,
1644420081,B54,0,1,job4_scenario0_11,27,0,0,,27,
1644420081,in27,0,1,job8_scenario1_19,28,0,0,,28,
1644420081,B14,0,1,job5_scenario0_13,28,0,0,,28,
1644420081,B11,0,1,job6_scenario0_16,28,0,0,,28,
1644420081,cn12,0,1,job7_scenario2_17,28,0,0,,28,
1644420081,B54,0,1,job4_scenario0_11,28,0,0,,28,
1644420081,in27,0,1,job8_scenario1_19,29,0,0,,29,
1644420081,B14,0,1,job5_scenario0_13,29,0,0,,29,
1644420081,B11,0,1,job6_scenario0_16,29,0,0,,29,
1644420081,cn12,0,1,job7_scenario2_17,29,0,0,,29,
1644420081,B54,0,0,,29,0,0,,29,
1644420081,in27,0,0,,30,0,0,,30,
1644420081,B14,0,0,,30,0,0,,30,
1644420081,B11,0,1,job6_scenario0_16,30,0,0,,30,
1644420081,cn12,0,1,job7_scenario2_17,30,0,0,,30,
1644420081,B54,0,1,job11_scenario1_23,30,0,0,,30,
1644420081,in27,0,1,job9_scenario4_20,31,0,0,,31,
1644420081,B14,0,1,job10_scenario1_21,31,0,0,,31,
1644420081,B11,0,1,job6_scenario0_16,31,0,0,,31,
1644420081,cn12,0,1,job7_scenario2_17,31,0,0,,31,
1644420081,B54,0,1,job11_scenario1_23,31,0,0,,31,
1644420081,in27,0,1,job9_scenario4_20,32,0,0,,32,
1644420081,B14,0,1,job10_scenario1_21,32,0,0,,32,
1644420081,B11,0,1,job6_scenario0_16,32,0,0,,32,
1644420081,cn12,0,1,job7_scenario2_17,32,0,0,,32,
1644420081,B54,0,1,job11_scenario1_23,32,0,0,,32,
1644420081,in27,0,1,job9_scenario4_20,33,0,0,,33,
1644420081,B14,0,1,job10_scenario1_21,33,0,0,,33,
1644420081,B11,0,1,job6_scenario0_16,33,0,0,,33,
1644420081,cn12,0,1,job7_scenario2_17,33,0,0,,33,
1644420081,B54,0,0,,33,0,0,,33,
1644420081,in27,0,1,job9_scenario4_20,34,0,0,,34,
1644420081,B14,0,1,job10_scenario1_21,34,0,0,,34,
1644420081,B11,0,1,job6_scenario0_16,34,0,0,,34,
