RecordTimeStamp,JobId,WorkerId,JobArrivalTick,JobAssignmentTick,JobFetchTick,JobStartByOperatorTime,JobActiveTime,JobRemainingTime,CleanWorkingTime,JobEndByOperatorTime,WorkerFreeAgainTick
1644421010,job0_scenario3_0,B14,0,-1,1,1,4,0,4,5,6,
1644421011,job1_scenario1_3,B54,3,-1,4,4,4,0,4,8,9,
1644421011,job2_scenario2_7,B54,7,-1,9,9,5,0,5,14,15,
1644421011,job3_scenario1_8,in27,8,-1,9,9,10,0,10,19,20,
1644421011,job4_scenario0_11,B14,11,-1,12,12,15,0,15,27,28,
1644421011,job7_scenario2_17,B11,17,-1,18,18,10,0,10,28,29,
1644421011,job5_scenario0_13,B54,13,-1,16,16,13,0,13,29,30,
1644421011,job9_scenario4_20,cn12,20,-1,21,21,11,0,11,32,33,
1644421011,job8_scenario1_19,B54,19,-1,30,30,3,0,3,33,34,
1644421011,job11_scenario1_23,B14,23,-1,29,29,6,0,6,35,36,
1644421011,job10_scenario1_21,B11,21,-1,29,29,9,0,9,38,39,
1644421011,job12_scenario4_29,B14,29,-1,36,36,2,0,2,38,39,
1644421011,job13_scenario4_30,B54,30,-1,34,34,5,0,5,39,40,
1644421012,job14_scenario4_31,B11,31,-1,40,40,2,0,2,42,43,
1644421012,job16_scenario1_36,B54,36,-1,40,40,3,0,3,43,44,
1644421012,job6_scenario0_16,in27,16,-1,20,20,24,0,24,44,45,
1644421012,job15_scenario4_35,B54,35,-1,44,44,5,0,5,49,50,
1644421012,job17_scenario1_42,B14,42,-1,43,43,9,0,9,52,53,
1644421012,job18_scenario2_44,B14,44,-1,53,53,2,0,2,55,56,
1644421012,job20_scenario2_47,B11,47,-1,48,48,9,0,9,57,58,
1644421012,job22_scenario4_49,cn12,49,-1,50,50,10,0,10,60,61,
1644421012,job19_scenario0_46,B54,46,-1,50,50,11,0,11,61,62,
1644421012,job25_scenario2_52,B14,52,-1,57,57,4,0,4,61,62,
1644421012,job21_scenario1_48,in27,48,-1,49,49,15,0,15,64,65,
1644421013,job28_scenario2_56,B54,56,-1,62,62,5,0,5,67,68,
1644421013,job23_scenario1_50,B11,50,-1,59,59,13,0,13,72,73,
1644421013,job31_scenario2_64,B54,64,-1,69,69,4,0,4,73,74,
1644421013,job30_scenario4_63,in27,63,-1,65,65,9,0,9,74,75,
1644421013,job26_scenario2_53,cn12,53,-1,62,62,14,0,14,76,77,
1644421013,job29_scenario0_59,B14,59,-1,62,62,17,0,17,79,80,
1644421013,job27_scenario1_54,B54,54,-1,74,74,6,0,6,80,81,
1644421013,job34_scenario1_70,B11,70,-1,73,73,8,0,8,81,82,
1644421013,job33_scenario4_68,B11,68,-1,82,82,4,0,4,86,87,
1644421013,job32_scenario3_66,cn12,66,-1,78,78,9,0,9,87,88,
1644421013,job37_scenario1_74,B14,74,-1,80,80,7,0,7,87,88,
1644421013,job35_scenario1_72,in27,72,-1,75,75,13,0,13,88,89,
1644421013,job44_scenario2_87,B14,87,-1,88,88,2,0,2,90,91,
1644421013,job41_scenario3_83,B11,83,-1,88,88,4,0,4,92,93,
1644421014,job39_scenario0_78,B54,78,-1,82,82,12,0,12,94,95,
1644421014,job46_scenario4_90,B11,90,-1,94,94,2,0,2,96,97,
1644421014,job45_scenario2_88,B54,88,-1,96,96,5,0,5,101,102,
1644421014,job42_scenario1_84,B54,84,-1,102,102,1,0,1,103,104,
