RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644421062,180,job63_scenario0_119,notAssignedYet,119,notAssignedYet,long_waiting_time,
1644421062,186,job68_scenario0_125,notAssignedYet,125,notAssignedYet,long_waiting_time,
1644421062,188,job69_scenario0_127,notAssignedYet,127,notAssignedYet,long_waiting_time,
1644421062,189,job70_scenario0_128,notAssignedYet,128,notAssignedYet,long_waiting_time,
1644421065,277,job111_scenario0_216,notAssignedYet,216,notAssignedYet,long_waiting_time,
1644421065,287,job117_scenario0_226,notAssignedYet,226,notAssignedYet,long_waiting_time,
1644421065,295,job122_scenario0_234,notAssignedYet,234,notAssignedYet,long_waiting_time,
1644421066,305,job129_scenario0_244,notAssignedYet,244,notAssignedYet,long_waiting_time,
1644421066,310,job132_scenario0_249,notAssignedYet,249,notAssignedYet,long_waiting_time,
1644421067,339,job152_scenario0_278,notAssignedYet,278,notAssignedYet,long_waiting_time,
1644421067,352,job161_scenario0_291,notAssignedYet,291,notAssignedYet,long_waiting_time,
1644421069,403,job191_scenario0_342,notAssignedYet,342,notAssignedYet,long_waiting_time,
1644421073,523,job255_scenario0_462,notAssignedYet,462,notAssignedYet,long_waiting_time,
1644421075,602,job291_scenario0_541,notAssignedYet,541,notAssignedYet,long_waiting_time,
1644421075,605,job293_scenario1_544,notAssignedYet,544,notAssignedYet,long_waiting_time,
1644421076,653,job318_scenario0_592,notAssignedYet,592,notAssignedYet,long_waiting_time,
1644421079,764,job377_scenario0_703,notAssignedYet,703,notAssignedYet,long_waiting_time,
1644421081,820,job400_scenario0_759,notAssignedYet,759,notAssignedYet,long_waiting_time,
1644421092,1209,job570_scenario0_1148,notAssignedYet,1148,notAssignedYet,long_waiting_time,
1644421092,1211,job572_scenario0_1150,notAssignedYet,1150,notAssignedYet,long_waiting_time,
