tickNumber,in27,B14,B11,cn12,B54,B51,os4,
0,,,,,,,|0_0_6_0_,
1,,,,,,,,
2,,,,,,,,
3,,,,,|3_3_4_1_,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,|7_7_6_2_,
8,,,,,|8_8_4_3_,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,|11_11_5_4_,,
12,,,,,,,,
13,,,,,,,|13_13_6_5_,
14,,,,,,,,
15,,,,,,,,
16,,,,,,|16_16_5_6_,,
17,,,,,,,|17_17_6_7_,
18,,,,,,,,
19,,,,,,,,
20,,|20_20_1_9_,,,|19_20_4_8_,,,
21,,,,,,,,
22,,,,,|21_22_4_10_,,,
23,,,,,,,,
24,,,,,|23_24_4_11_,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,|29_33_1_12_|30_33_1_13_,,,,,,
34,,|31_34_1_14_,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,|35_39_1_15_,,,,,,
40,,,,,|36_40_4_16_,,,
41,,,,,,,,
42,,,,,|42_42_4_17_,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,|46_46_5_19_,,
47,,,,,,,|44_47_6_18_,
48,,,,,,,,
49,,,,,|48_49_4_21_,,,
50,,,,,|50_50_4_23_,,,
51,,,,,,,|51_51_6_24_,
52,,,,,,,|52_52_6_25_,
53,,,,,,,|53_53_6_26_,
54,,,,,|54_54_4_27_,,,
55,,|49_55_1_22_,,,,,,
56,,,,,,,|56_56_6_28_,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,|59_60_6_29_,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,|63_69_1_30_,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,|73_73_5_36_,,
74,,|68_74_1_33_,,,,,,
75,,,,,|72_75_4_35_,,,
76,,,,,|70_76_4_34_|74_76_4_37_,,,
77,,,,,,,|66_77_6_32_,
78,,,,,,|78_78_5_39_,|64_78_6_31_,
79,,,,,,,,
80,,,,,|77_80_4_38_,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,|79_83_5_40_,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,|47_86_6_20_|83_86_6_41_,
87,,,,,,,,
88,,,,,,,|87_88_6_44_,
89,,,,,,,,
90,,,,,,,,
91,,,,,,|91_91_5_47_,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,|90_96_1_46_,,,|84_96_4_42_,,,
97,,,,,|85_97_4_43_,,,
98,,,,,|98_98_4_48_,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,|102_102_6_52_,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,|99_105_6_49_,
106,,,,,,,|100_106_6_50_,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
110,,,,,,,,
111,,|105_111_1_53_,,,,,|88_111_6_45_|110_111_6_57_,
112,,,,,,,|108_112_6_55_,
113,,,,,,,|113_113_6_59_,
114,,,,,,|112_114_5_58_,,
115,,,,,|101_115_4_51_,,|115_115_6_61_,
116,,,,,,,,
117,,,,,,|114_117_5_60_,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,|106_121_4_54_,,|118_121_6_62_,
122,,,,,,,,
123,,,,,,,,
124,,,,,|109_124_4_56_,,|124_124_6_67_,
125,,,,,,|125_125_5_68_,,
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,|122_131_6_65_,
132,,,,,,|127_132_5_69_,,
133,,,,,,|128_133_5_70_,|120_133_6_64_,
