RecordTimeStamp,JobId,WorkerId,JobArrivalTick,JobAssignmentTick,JobFetchTick,JobStartByOperatorTime,JobActiveTime,JobRemainingTime,CleanWorkingTime,JobEndByOperatorTime,WorkerFreeAgainTick
1644420080,job0_scenario3_0,os4,0,-1,1,1,2,0,2,3,4,
1644420080,job1_scenario1_3,os4,3,-1,4,4,3,0,3,7,8,
1644420081,job2_scenario2_7,os4,7,-1,8,8,1,0,1,9,10,
1644420081,job3_scenario1_8,B54,8,-1,9,9,8,0,8,17,18,
1644420081,job4_scenario0_11,B51,11,-1,12,12,9,0,9,21,22,
1644420081,job7_scenario2_17,B14,17,-1,18,18,9,0,9,27,28,
1644420081,job9_scenario4_20,in27,20,-1,21,21,6,0,6,27,28,
1644420081,job5_scenario0_13,B54,13,-1,18,18,13,0,13,31,32,
1644420081,job8_scenario1_19,B11,19,-1,20,20,13,0,13,33,34,
1644420081,job12_scenario4_29,B14,29,-1,31,31,2,0,2,33,34,
1644420081,job6_scenario0_16,os4,16,-1,17,17,17,0,17,34,35,
1644420081,job10_scenario1_21,B51,21,-1,24,24,10,0,10,34,35,
1644420081,job11_scenario1_23,B54,23,-1,32,32,3,0,3,35,36,
1644420081,job14_scenario4_31,B11,31,-1,35,35,2,0,2,37,38,
1644420081,job13_scenario4_30,in27,30,-1,32,32,9,0,9,41,42,
1644420081,job15_scenario4_35,B54,35,-1,36,36,5,0,5,41,42,
1644420082,job16_scenario1_36,B14,36,-1,37,37,9,0,9,46,47,
1644420082,job18_scenario2_44,os4,44,-1,45,45,4,0,4,49,50,
1644420082,job17_scenario1_42,B54,42,-1,43,43,7,0,7,50,51,
1644420082,job20_scenario2_47,os4,47,-1,50,50,1,0,1,51,52,
1644420082,job22_scenario4_49,B51,49,-1,50,50,3,0,3,53,54,
1644420082,job24_scenario2_51,os4,51,-1,52,52,3,0,3,55,56,
1644420082,job23_scenario1_50,B54,50,-1,51,51,8,0,8,59,60,
1644420082,job25_scenario2_52,os4,52,-1,57,57,2,0,2,59,60,
1644420082,job21_scenario1_48,B51,48,-1,54,54,11,0,11,65,66,
1644420082,job19_scenario0_46,B14,46,-1,47,47,20,0,20,67,68,
1644420082,job26_scenario2_53,B54,53,-1,60,60,7,0,7,67,68,
1644420082,job28_scenario2_56,B11,56,-1,57,57,11,0,11,68,69,
1644420082,job27_scenario1_54,in27,54,-1,55,55,14,0,14,69,70,
1644420082,job32_scenario3_66,B51,66,-1,67,67,3,0,3,70,71,
1644420083,job33_scenario4_68,B11,68,-1,69,69,4,0,4,73,74,
1644420083,job31_scenario2_64,B14,64,-1,69,69,6,0,6,75,76,
1644420083,job29_scenario0_59,os4,59,-1,60,60,16,0,16,76,77,
1644420083,job34_scenario1_70,B54,70,-1,71,71,7,0,7,78,79,
1644420083,job30_scenario4_63,B11,63,-1,74,74,7,0,7,81,82,
1644420083,job37_scenario1_74,B14,74,-1,77,77,7,0,7,84,85,
1644420083,job36_scenario0_73,B51,73,-1,74,74,12,0,12,86,87,
1644420083,job35_scenario1_72,B54,72,-1,79,79,8,0,8,87,88,
1644420083,job41_scenario3_83,B51,83,-1,88,88,1,0,1,89,90,
1644420083,job42_scenario1_84,B14,84,-1,85,85,6,0,6,91,92,
1644420083,job38_scenario1_77,B54,77,-1,88,88,5,0,5,93,94,
1644420083,job43_scenario1_85,B11,85,-1,86,86,9,0,9,95,96,
1644420083,job39_scenario0_78,os4,78,-1,79,79,19,0,19,98,99,
1644420083,job45_scenario2_88,B14,88,-1,92,92,6,0,6,98,99,
1644420083,job46_scenario4_90,B51,90,-1,91,91,9,0,9,100,101,
1644420083,job44_scenario2_87,os4,87,-1,99,99,2,0,2,101,102,
1644420084,job49_scenario3_99,B11,99,-1,100,100,4,0,4,104,105,
1644420084,job40_scenario0_79,in27,79,-1,80,80,25,0,25,105,106,
1644420084,job50_scenario3_100,B51,100,-1,101,101,5,0,5,106,107,
1644420084,job48_scenario1_98,B54,98,-1,99,99,8,0,8,107,108,
1644420084,job51_scenario1_101,os4,101,-1,102,102,6,0,6,108,109,
1644420084,job53_scenario4_105,B11,105,-1,106,106,3,0,3,109,110,
1644420084,job57_scenario3_110,B51,110,-1,111,111,1,0,1,112,113,
1644420084,job47_scenario0_91,B14,91,-1,99,99,14,0,14,113,114,
1644420084,job54_scenario1_106,B54,106,-1,108,108,5,0,5,113,114,
1644420084,job52_scenario2_102,os4,102,-1,109,109,4,0,4,113,114,
1644420084,job55_scenario2_108,B14,108,-1,114,114,3,0,3,117,118,
1644420084,job56_scenario1_109,B11,109,-1,110,110,8,0,8,118,119,
