RecordTimeStamp,SystemTick,AssignmentTick,JobId,WorkerId,JobArrivalTime,JobTime,FreeWorkersCount
1644420598,0,1,job0_scenario3_0,B51,0,1,9,
1644420598,3,4,job1_scenario1_3,B54,3,4,9,
1644420598,7,8,job2_scenario2_7,B33,7,2,8,
1644420598,8,9,job3_scenario1_8,in27,8,10,8,
1644420599,11,12,job4_scenario0_11,B51,11,9,8,
1644420599,13,14,job5_scenario0_13,B33,13,10,7,
1644420599,16,17,job6_scenario0_16,B54,16,16,6,
1644420599,17,18,job7_scenario2_17,os4,17,6,5,
1644420599,19,20,job8_scenario1_19,B14,19,8,5,
1644420599,20,21,job9_scenario4_20,in27,20,6,4,
1644420599,21,22,job10_scenario1_21,B11,21,9,4,
1644420599,23,24,job11_scenario1_23,B51,23,10,3,
1644420599,29,30,job12_scenario4_29,B14,29,2,6,
1644420599,30,31,job13_scenario4_30,in4,30,4,5,
1644420599,31,32,job14_scenario4_31,B11,31,2,5,
1644420599,35,36,job15_scenario4_35,B54,35,5,9,
1644420599,36,37,job16_scenario1_36,B14,36,9,8,
1644420599,42,43,job17_scenario1_42,B11,42,8,8,
1644420599,44,45,job18_scenario2_44,B33,44,2,7,
1644420600,46,47,job19_scenario0_46,B54,46,11,7,
1644420600,47,48,job20_scenario2_47,os4,47,1,7,
1644420600,48,49,job21_scenario1_48,B14,48,8,6,
1644420600,49,50,job22_scenario4_49,in4,49,1,6,
1644420600,50,51,job23_scenario1_50,os4,50,12,5,
1644420600,51,52,job24_scenario2_51,B33,51,1,6,
1644420600,52,53,job25_scenario2_52,in27,52,11,5,
1644420600,53,54,job26_scenario2_53,B33,53,5,5,
1644420600,54,55,job27_scenario1_54,B51,54,9,4,
1644420600,56,57,job28_scenario2_56,B11,56,11,3,
1644420600,59,60,job29_scenario0_59,B33,59,14,5,
1644420600,63,64,job30_scenario4_63,os4,63,1,5,
1644420600,64,65,job31_scenario2_64,B54,64,4,6,
1644420600,66,67,job32_scenario3_66,B14,66,4,6,
1644420600,68,69,job33_scenario4_68,os4,68,5,6,
1644420600,70,71,job34_scenario1_70,B11,70,8,6,
1644420600,72,73,job35_scenario1_72,in27,72,13,6,
1644420600,73,74,job36_scenario0_73,B51,73,12,5,
1644420600,74,75,job37_scenario1_74,B14,74,7,6,
1644420601,77,78,job38_scenario1_77,os4,77,7,5,
1644420601,78,79,job39_scenario0_78,B54,78,12,4,
1644420601,79,80,job40_scenario0_79,B33,79,15,4,
1644420601,83,84,job41_scenario3_83,B11,83,4,4,
1644420601,84,85,job42_scenario1_84,B14,84,6,3,
1644420601,85,86,job43_scenario1_85,os4,85,8,3,
1644420601,87,88,job44_scenario2_87,B51,87,11,4,
1644420601,88,89,job45_scenario2_88,in4,88,12,4,
1644420601,90,91,job46_scenario4_90,B11,90,2,3,
1644420601,91,92,job47_scenario0_91,B14,91,14,4,
1644420601,98,99,job48_scenario1_98,os4,98,5,6,
1644420601,99,100,job49_scenario3_99,B54,99,7,6,
1644420601,100,101,job50_scenario3_100,in27,100,6,5,
1644420601,101,102,job51_scenario1_101,B33,101,11,5,
1644420601,102,103,job52_scenario2_102,B51,102,12,4,
1644420601,105,106,job53_scenario4_105,in4,105,1,4,
1644420601,106,107,job54_scenario1_106,B14,106,8,4,
1644420602,108,109,job55_scenario2_108,os4,108,2,6,
1644420602,109,110,job56_scenario1_109,B54,109,7,5,
1644420602,110,111,job57_scenario3_110,in4,110,1,4,
1644420602,112,113,job58_scenario0_112,in4,112,19,5,
1644420602,113,114,job59_scenario2_113,os4,113,4,5,
1644420602,114,115,job60_scenario0_114,B33,114,12,4,
1644420602,115,116,job61_scenario2_115,B14,115,2,5,
1644420602,118,119,job62_scenario0_118,B54,118,12,7,
1644420602,119,120,job63_scenario0_119,B51,119,12,6,
1644420602,120,121,job64_scenario3_120,in27,120,5,5,
1644420602,122,123,job65_scenario3_122,cn12,122,6,4,
1644420602,123,124,job66_scenario4_123,B11,123,3,3,
1644420602,124,125,job67_scenario2_124,os4,124,1,2,
1644420602,125,126,job68_scenario0_125,B14,125,22,1,
1644420602,127,128,job69_scenario0_127,os4,127,15,4,
1644420602,128,129,job70_scenario0_128,B33,128,14,3,
1644420602,129,130,job71_scenario1_129,B11,129,11,3,
1644420602,131,132,job72_scenario2_131,B54,131,8,3,
1644420603,134,135,job73_scenario0_134,B51,134,13,4,
1644420603,137,138,job74_scenario0_137,in4,137,19,3,
1644420603,140,141,job75_scenario1_140,in27,140,12,3,
1644420603,141,142,job76_scenario2_141,B54,141,4,3,
1644420603,142,143,job77_scenario1_142,B11,142,8,2,
1644420603,144,145,job78_scenario1_144,os4,144,8,3,
1644420603,148,149,job79_scenario0_148,B51,148,13,5,
1644420603,153,154,job80_scenario1_153,B54,153,2,7,
1644420603,157,158,job81_scenario1_157,B54,157,2,8,
1644420603,158,159,job82_scenario1_158,B11,158,8,7,
1644420603,159,160,job83_scenario1_159,B14,159,4,6,
1644420604,165,166,job84_scenario1_165,os4,165,8,8,
1644420604,166,167,job85_scenario2_166,B14,166,1,7,
1644420604,171,172,job86_scenario3_171,B51,171,2,8,
1644420604,172,173,job87_scenario2_172,in27,172,11,7,
1644420604,175,176,job88_scenario1_175,B54,175,4,8,
1644420604,177,178,job89_scenario1_177,os4,177,7,7,
1644420604,178,179,job90_scenario1_178,B14,178,7,6,
1644420604,182,183,job91_scenario2_182,B33,182,2,6,
1644420604,184,185,job92_scenario1_184,B54,184,5,6,
1644420604,185,186,job93_scenario1_185,os4,185,8,7,
1644420604,186,187,job94_scenario3_186,B33,186,1,7,
1644420604,188,189,job95_scenario2_188,B33,188,1,7,
1644420604,189,190,job96_scenario0_189,B51,189,9,6,
1644420604,191,192,job97_scenario3_191,B11,191,2,7,
1644420604,192,193,job98_scenario1_192,B33,192,9,6,
1644420605,195,196,job99_scenario3_195,os4,195,2,7,
1644420605,196,197,job100_scenario1_196,B11,196,9,6,
1644420605,197,198,job101_scenario3_197,in27,197,5,5,
1644420605,198,199,job102_scenario4_198,in4,198,4,5,
1644420605,200,201,job103_scenario3_200,B51,200,1,5,
1644420605,203,204,job104_scenario1_203,B14,203,9,8,
1644420605,204,205,job105_scenario1_204,B33,204,10,7,
1644420605,207,208,job106_scenario3_207,os4,207,4,7,
1644420605,208,209,job107_scenario2_208,B54,208,5,6,
1644420605,209,210,job108_scenario1_209,B11,209,10,5,
1644420605,211,212,job109_scenario3_211,B51,211,2,4,
1644420605,213,214,job110_scenario2_213,os4,213,4,5,
1644420605,216,217,job111_scenario0_216,B54,216,16,7,
1644420605,217,218,job112_scenario0_217,B33,217,15,6,
1644420605,219,220,job113_scenario1_219,os4,219,6,6,
1644420606,221,222,job114_scenario1_221,B14,221,7,6,
1644420606,222,223,job115_scenario2_222,in27,222,11,5,
1644420606,223,224,job116_scenario2_223,B11,223,13,4,
1644420606,226,227,job117_scenario0_226,os4,226,19,4,
1644420606,227,228,job118_scenario2_227,B51,227,11,3,
1644420606,228,229,job119_scenario1_228,in4,228,15,2,
1644420606,229,230,job120_scenario1_229,B14,229,9,2,
1644420606,233,234,job121_scenario2_233,B54,233,4,3,
1644420606,234,235,job122_scenario0_234,B33,234,15,3,
1644420606,236,237,job123_scenario1_236,in27,236,11,2,
1644420606,239,240,job124_scenario2_239,B11,239,11,5,
1644420606,240,241,job125_scenario2_240,B54,240,3,4,
1644420606,241,242,job126_scenario3_241,B14,241,4,3,
1644420606,242,243,job127_scenario1_242,B51,242,12,2,
1644420606,243,244,job128_scenario0_243,cn12,243,55,1,
1644420606,244,245,job129_scenario0_244,B54,244,13,2,
1644420606,246,247,job130_scenario3_246,B14,246,1,3,
1644420606,247,248,job131_scenario2_247,os4,247,4,2,
1644420607,249,250,job132_scenario0_249,B14,249,21,3,
1644420607,251,252,job133_scenario3_251,B11,251,2,4,
1644420607,253,254,job134_scenario1_253,os4,253,7,4,
1644420607,254,255,job135_scenario0_254,B33,254,15,4,
1644420607,255,256,job136_scenario1_255,B11,255,10,4,
1644420607,256,257,job137_scenario2_256,in27,256,16,3,
1644420607,257,258,job138_scenario2_257,in4,257,13,2,
1644420607,258,259,job139_scenario3_258,B54,258,5,2,
1644420607,260,261,job140_scenario2_260,B51,260,13,1,
1644420607,261,262,job141_scenario2_261,os4,261,3,1,
1644420607,264,265,job142_scenario3_262,B54,262,7,1,
1644420607,265,266,job143_scenario3_265,os4,265,3,1,
1644420607,267,268,job144_scenario3_267,B11,267,4,1,
1644420607,270,271,job145_scenario4_270,os4,270,3,2,
1644420607,271,272,job146_scenario4_271,B14,271,2,3,
1644420607,273,274,job147_scenario3_273,B33,273,5,5,
1644420607,274,275,job148_scenario1_274,B54,274,5,7,
1644420607,275,276,job149_scenario4_275,B11,275,4,6,
1644420607,276,277,job150_scenario2_276,os4,276,2,5,
1644420608,277,278,job151_scenario1_277,B51,277,8,4,
1644420608,278,279,job152_scenario0_278,B14,278,17,3,
1644420608,279,280,job153_scenario1_279,os4,279,10,4,
1644420608,280,281,job154_scenario1_280,B54,280,3,5,
1644420608,282,283,job155_scenario1_282,in27,282,10,4,
1644420608,284,285,job156_scenario1_284,B11,284,7,4,
1644420608,285,286,job157_scenario3_285,in4,285,3,3,
1644420608,286,287,job158_scenario2_286,B33,286,2,3,
1644420608,288,289,job159_scenario1_288,B54,288,5,2,
1644420608,290,291,job160_scenario2_290,B33,290,1,4,
1644420608,291,292,job161_scenario0_291,B51,291,12,3,
1644420608,292,293,job162_scenario0_292,B33,292,12,4,
1644420608,294,295,job163_scenario1_294,in27,294,10,5,
1644420608,296,297,job164_scenario4_296,B54,296,5,5,
1644420608,298,299,job165_scenario1_298,B11,298,10,4,
1644420608,299,300,job166_scenario3_299,B14,299,6,4,
1644420608,300,301,job167_scenario0_300,os4,300,16,3,
1644420608,301,302,job168_scenario1_301,in4,301,16,2,
1644420608,302,303,job169_scenario4_302,B54,302,5,2,
1644420609,306,307,job170_scenario1_306,B14,306,5,5,
1644420609,308,309,job171_scenario2_308,B54,308,7,5,
1644420609,310,311,job172_scenario2_310,in27,310,11,5,
1644420609,311,312,job173_scenario1_311,B33,311,12,4,
1644420609,313,314,job174_scenario4_313,B11,313,4,4,
1644420609,314,315,job175_scenario3_314,B51,314,2,3,
1644420609,315,316,job176_scenario2_315,B14,315,4,2,
1644420609,316,317,job177_scenario2_316,B54,316,2,2,
1644420609,318,319,job178_scenario1_318,B51,318,14,5,
1644420609,319,320,job179_scenario2_319,B54,319,1,5,
1644420609,320,321,job180_scenario3_320,B11,320,2,5,
1644420609,322,323,job181_scenario2_322,B54,322,3,6,
1644420609,323,324,job182_scenario2_323,B14,323,3,6,
