RecordTimeStamp,SystemTick,AssignmentTick,JobId,WorkerId,JobArrivalTime,JobTime,FreeWorkersCount
1644420600,0,1,job0_scenario3_0,B11,0,6,9,
1644420600,3,4,job1_scenario1_3,B14,3,6,8,
1644420600,7,8,job2_scenario2_7,os4,7,1,8,
1644420600,8,9,job3_scenario1_8,B54,8,8,7,
1644420600,11,12,job4_scenario0_11,B51,11,9,8,
1644420601,13,14,job5_scenario0_13,B33,13,10,7,
1644420601,16,17,job6_scenario0_16,os4,16,17,6,
1644420601,17,18,job7_scenario2_17,B14,17,9,6,
1644420601,19,20,job8_scenario1_19,B54,19,3,5,
1644420601,20,21,job9_scenario4_20,in4,20,7,4,
1644420601,21,22,job10_scenario1_21,B51,21,10,4,
1644420601,23,24,job11_scenario1_23,B11,23,6,4,
1644420601,29,30,job12_scenario4_29,in4,29,5,6,
1644420601,30,31,job13_scenario4_30,B11,30,4,6,
1644420601,31,32,job14_scenario4_31,B54,31,3,5,
1644420601,35,36,job15_scenario4_35,B54,35,5,9,
1644420601,36,37,job16_scenario1_36,B14,36,9,8,
1644420601,42,43,job17_scenario1_42,B54,42,7,8,
1644420602,44,45,job18_scenario2_44,os4,44,4,7,
1644420602,46,47,job19_scenario0_46,B14,46,20,7,
1644420602,47,48,job20_scenario2_47,B33,47,3,6,
1644420602,48,49,job21_scenario1_48,B51,48,11,5,
1644420602,49,50,job22_scenario4_49,os4,49,1,5,
1644420602,50,51,job23_scenario1_50,B54,50,8,5,
1644420602,51,52,job24_scenario2_51,B33,51,1,6,
1644420602,52,53,job25_scenario2_52,os4,52,2,5,
1644420602,53,54,job26_scenario2_53,B33,53,5,5,
1644420602,54,55,job27_scenario1_54,in27,54,14,4,
1644420602,56,57,job28_scenario2_56,os4,56,2,4,
1644420602,59,60,job29_scenario0_59,B54,59,12,6,
1644420602,63,64,job30_scenario4_63,B11,63,7,6,
1644420602,64,65,job31_scenario2_64,B33,64,5,5,
1644420602,66,67,job32_scenario3_66,B51,66,3,4,
1644420602,68,69,job33_scenario4_68,in4,68,7,4,
1644420602,70,71,job34_scenario1_70,B14,70,9,6,
1644420602,72,73,job35_scenario1_72,B54,72,8,7,
1644420603,73,74,job36_scenario0_73,B51,73,12,6,
1644420603,74,75,job37_scenario1_74,B11,74,9,5,
1644420603,77,78,job38_scenario1_77,B33,77,10,5,
1644420603,78,79,job39_scenario0_78,os4,78,19,4,
1644420603,79,80,job40_scenario0_79,in4,79,18,3,
1644420603,83,84,job41_scenario3_83,B14,83,2,4,
1644420603,84,85,job42_scenario1_84,B54,84,1,4,
1644420603,85,86,job43_scenario1_85,B11,85,9,3,
1644420603,87,88,job44_scenario2_87,B14,87,2,5,
1644420603,88,89,job45_scenario2_88,B54,88,5,5,
1644420603,90,91,job46_scenario4_90,B51,90,9,5,
1644420603,91,92,job47_scenario0_91,B33,91,16,4,
1644420603,98,99,job48_scenario1_98,B54,98,8,7,
1644420603,99,100,job49_scenario3_99,B11,99,4,6,
1644420603,100,101,job50_scenario3_100,B51,100,5,6,
1644420603,101,102,job51_scenario1_101,os4,101,6,5,
1644420603,102,103,job52_scenario2_102,B14,102,3,4,
1644420604,105,106,job53_scenario4_105,in4,105,1,4,
1644420604,106,107,job54_scenario1_106,B14,106,8,5,
1644420604,108,109,job55_scenario2_108,B54,108,3,8,
1644420604,109,110,job56_scenario1_109,B11,109,8,7,
1644420604,110,111,job57_scenario3_110,B51,110,1,6,
1644420604,112,113,job58_scenario0_112,B51,112,12,7,
1644420604,113,114,job59_scenario2_113,os4,113,4,6,
1644420604,114,115,job60_scenario0_114,B54,114,15,5,
1644420604,115,116,job61_scenario2_115,B14,115,2,5,
1644420604,118,119,job62_scenario0_118,B33,118,13,7,
1644420604,119,120,job63_scenario0_119,B14,119,20,6,
1644420604,120,121,job64_scenario3_120,B11,120,2,5,
1644420604,122,123,job65_scenario3_122,in27,122,3,4,
1644420604,123,124,job66_scenario4_123,os4,123,4,4,
1644420604,124,125,job67_scenario2_124,B11,124,11,3,
1644420604,125,126,job68_scenario0_125,B51,125,13,3,
1644420604,127,128,job69_scenario0_127,in4,127,21,3,
1644420604,128,129,job70_scenario0_128,os4,128,19,3,
1644420604,129,130,job71_scenario1_129,in27,129,13,2,
1644420605,131,132,job72_scenario2_131,B54,131,8,2,
1644420605,134,135,job73_scenario0_134,B33,134,14,2,
1644420605,137,138,job74_scenario0_137,B11,137,19,2,
1644420605,140,141,job75_scenario1_140,B54,140,5,4,
1644420605,141,142,job76_scenario2_141,B14,141,5,3,
1644420605,142,143,job77_scenario1_142,B51,142,13,2,
1644420605,144,145,job78_scenario1_144,in27,144,10,2,
1644420605,148,149,job79_scenario0_148,B54,148,16,4,
1644420605,153,154,job80_scenario1_153,B33,153,11,5,
1644420605,157,158,job81_scenario1_157,B11,157,11,7,
1644420605,158,159,job82_scenario1_158,B14,158,7,6,
1644420606,159,160,job83_scenario1_159,os4,159,8,5,
1644420606,165,166,job84_scenario1_165,B54,165,4,6,
1644420606,166,167,job85_scenario2_166,B33,166,3,6,
1644420606,171,172,job86_scenario3_171,B11,171,3,9,
1644420606,172,173,job87_scenario2_172,B33,172,3,8,
1644420606,175,176,job88_scenario1_175,B54,175,4,8,
1644420606,177,178,job89_scenario1_177,B14,177,10,8,
1644420606,178,179,job90_scenario1_178,os4,178,10,7,
1644420606,182,183,job91_scenario2_182,B33,182,2,7,
1644420606,184,185,job92_scenario1_184,B54,184,5,6,
1644420606,185,186,job93_scenario1_185,B11,185,12,6,
1644420606,186,187,job94_scenario3_186,B51,186,2,5,
1644420606,188,189,job95_scenario2_188,B14,188,6,5,
1644420606,189,190,job96_scenario0_189,B51,189,9,6,
1644420607,191,192,job97_scenario3_191,B33,191,7,6,
1644420607,192,193,job98_scenario1_192,B54,192,4,5,
1644420607,195,196,job99_scenario3_195,in4,195,2,5,
1644420607,196,197,job100_scenario1_196,B14,196,7,4,
1644420607,197,198,job101_scenario3_197,os4,197,4,4,
