tickNumber,in27,B14,B11,cn12,B54,B51,os4,in4,B33,sh10,in22,
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,|3_4_10_0_,
5,,,,,,,|5_5_6_1_,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,|8_9_10_3_,
10,,,,,,,|7_10_6_2_,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,|13_14_9_4_,,
15,,,,,,,,,,,,
16,,,,,,,,,,|15_16_9_5_,,
17,,,,,,,,,,|16_17_9_6_,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,|17_20_4_7_,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,|21_22_9_8_,,
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,|23_25_10_9_,
26,,,,,,,,,,,|24_26_10_10_,
27,,,,,|27_27_4_12_,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,|26_30_6_11_,,,,,
31,,,,,,,,,,,,
32,,,,,,,,,,,,
33,,,,,,,|28_33_6_13_,,,,,
34,,,,,,,,,,,,
35,,,,,|35_35_4_14_,,,,,,,
36,,,,,,,,,,,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
41,,,,,|36_41_4_15_,,,,,,,
42,,,,,|39_42_4_17_,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,|38_45_4_16_,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,|50_50_4_20_,,,,,,,
51,,,,,|47_51_4_18_,,,,,,,
52,,,,,,,,,,,,
53,,,,,,,,,,|51_53_9_21_,,
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,|54_56_9_22_,,
57,,,,,|49_57_4_19_,,,,,,,
58,,,,,,,,,,|56_58_9_23_,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,|58_61_6_25_,,,|59_61_9_26_,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,|61_64_6_27_,,,,,
65,,,,,,,,,,,|64_65_10_28_,
66,,,,,|57_66_4_24_,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,,,,,,,,,,,
70,,,,,,,,,,,,
71,,,,,,,,,,,,
72,,,,,,,,,,|70_72_9_30_,|71_72_10_31_,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,|74_77_6_32_,,,,,
