,job372_scenario2_710,job374_scenario2_712,
in27,0.13552426154818797,0.07259145194491506,
B14,0.3369081948516268,0.1659114534780543,
B11,0.25553338194992736,0.07259145194491506,
cn12,0.07269205172597182,0.03395714444487502,
B54,0.0,0.1041579796244228,
B51,0.14669823927033954,0.04590233307631497,
os4,0.3053416671721191,0.2628014075262023,
in4,0.10577069873643297,0.03395714444487502,
B33,0.25553338194992736,0.3828105279279417,
sh10,0.4955516227534062,0.1926005723466545,
in22,0.2351408319925712,0.2628014075262023,
