,job510_scenario0_1040,job512_scenario4_1043,job513_scenario0_1045,
in27,0.15443747460763824,0.4717243304111971,0.16150525442817043,
B14,0.26765605554090294,0.5917334508129365,0.2965792255720482,
B11,0.16887387978550206,0.2965792255720482,0.14111270447081425,
cn12,0.0,0.26765605554090294,0.027637814737424105,
B54,0.2548252559613098,0.35171521000945766,0.3313226600521014,
B51,0.19307178210767817,0.5917334508129365,0.3748343763630491,
os4,0.23170608960771827,0.3313226600521014,0.26765605554090294,
in4,0.2965792255720482,0.3130809025094176,0.1476469351391635,
B33,0.2815143748299099,0.23170608960771827,0.3130809025094176,
sh10,0.5215326156333886,0.3130809025094176,0.4015234952316493,
in22,0.24288006732986983,0.2965792255720482,0.35171521000945766,
