tickNumber,in27,B14,B11,
0,,,,
1,,,,
2,,,,
3,,|3_3_1_0_,,
4,,,,
5,,,|5_5_2_1_,
6,,,,
7,,,|7_7_2_2_,
8,,|8_8_1_3_,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,|17_17_2_7_,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,|23_23_1_9_,,
24,,|24_24_1_10_,,
25,,,,
26,,,|26_26_2_11_,
27,,|27_27_1_12_,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,|36_36_0_15_,,,
37,,,,
38,|38_38_0_16_,,,
39,|39_39_0_17_,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,|47_47_1_18_,,
48,,,,
49,|49_49_0_19_,,|28_49_2_13_,
50,,,|50_50_2_20_,
51,,,,
52,,|35_52_1_14_,,
53,,,|13_53_2_4_,
54,,,,
55,,,|15_55_2_5_,
56,,,|16_56_2_6_,
57,,,|57_57_2_24_,
58,,,|58_58_2_25_,
59,,,,
60,,,,
61,,,|21_61_2_8_,
62,,,|61_62_2_27_,
63,,,,
64,,|64_64_1_28_,,
65,,,,
66,,,,
67,|67_67_0_29_,,,
68,,,,
69,,,,
70,,,,
71,,|71_71_1_31_,,
72,,,,
73,,,,
74,,,|74_74_2_32_,
75,,,,
76,,,,
77,,|77_77_1_33_,,
78,,,,
79,,,|79_79_2_34_,
80,,,,
81,,,|81_81_2_36_,
82,,,,
83,,|83_83_1_38_,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,|89_89_1_41_,,
90,,,,
91,|90_91_0_42_,,|51_91_2_21_,
92,,,,
93,,,,
94,,,|54_94_2_22_,
95,,,|95_95_2_44_,
96,,|84_96_1_39_,|56_96_2_23_,
97,,,|97_97_2_46_,
98,,,,
99,,,|59_99_2_26_|99_99_2_48_,
100,,|96_100_1_45_,,
101,,,,
102,,,,
103,,,,
104,|103_104_0_50_,,,
105,,,,
106,,|106_106_1_51_,,
107,,,,
108,,,,
109,,,|107_109_2_52_,
110,,,|70_110_2_30_,
111,,,,
112,,|111_112_1_55_,,
113,,,,
114,,|113_114_1_56_,,
115,,,,
116,,,,
117,,,,
118,|118_118_0_59_,,,
119,,,,
120,,,|80_120_2_35_,
121,,,,
122,,|114_122_1_57_|120_122_1_60_,|82_122_2_37_,
123,,,|123_123_2_62_,
124,,,,
125,,,,
126,,,|122_126_2_61_,
127,,,|87_127_2_40_,
128,,,,
129,,,,
130,,,|130_130_2_65_,
131,,,,
132,,,,
133,,,|133_133_2_67_,
134,,,|94_134_2_43_,
135,,,|124_135_2_63_,
136,,,,
137,,,,
138,,,|98_138_2_47_,
139,,,,
140,,,|109_140_2_54_,
