RecordTimeStamp,JobId,WorkerId,JobArrivalTick,JobAssignmentTick,JobFetchTick,JobStartByOperatorTime,JobActiveTime,JobRemainingTime,CleanWorkingTime,JobEndByOperatorTime,WorkerFreeAgainTick
1644422732,job0_scenario2_3,B14,3,-1,4,4,4,0,4,8,9,
1644422733,job1_scenario4_5,B54,5,-1,6,6,3,0,3,9,10,
1644422733,job2_scenario4_7,B11,7,-1,8,8,4,0,4,12,13,
1644422733,job3_scenario2_8,B14,8,-1,9,9,6,0,6,15,16,
1644422733,job4_scenario0_13,B54,13,-1,14,14,13,0,13,27,28,
1644422733,job7_scenario1_17,in27,17,-1,18,18,12,0,12,30,31,
1644422733,job10_scenario2_24,B54,24,-1,28,28,3,0,3,31,32,
1644422733,job5_scenario0_15,B14,15,-1,16,16,20,0,20,36,37,
1644422734,job11_scenario3_26,in27,26,-1,31,31,6,0,6,37,38,
1644422734,job9_scenario2_23,B54,23,-1,32,32,6,0,6,38,39,
1644422734,job6_scenario0_16,B11,16,-1,17,17,22,0,22,39,40,
1644422734,job14_scenario1_35,B54,35,-1,39,39,3,0,3,42,43,
1644422734,job12_scenario1_27,B14,27,-1,37,37,9,0,9,46,47,
1644422734,job13_scenario4_28,in27,28,-1,38,38,8,0,8,46,47,
1644422734,job16_scenario1_38,B11,38,-1,40,40,9,0,9,49,50,
1644422734,job15_scenario1_36,B54,36,-1,43,43,7,0,7,50,51,
1644422735,job17_scenario1_39,B14,39,-1,47,47,6,0,6,53,54,
1644422735,job20_scenario1_50,B54,50,-1,51,51,3,0,3,54,55,
1644422735,job18_scenario1_47,in27,47,-1,48,48,12,0,12,60,61,
1644422735,job19_scenario1_49,B11,49,-1,50,50,12,0,12,62,63,
1644422735,job22_scenario0_54,B54,54,-1,55,55,9,0,9,64,65,
1644422735,job27_scenario3_61,B11,61,-1,63,63,3,0,3,66,67,
1644422735,job21_scenario0_51,B14,51,-1,54,54,17,0,17,71,72,
1644422735,job25_scenario4_58,B54,58,-1,65,65,7,0,7,72,73,
1644422736,job24_scenario1_57,in27,57,-1,61,61,12,0,12,73,74,
1644422736,job8_scenario0_21,cn12,21,-1,22,22,52,0,52,74,75,
1644422736,job28_scenario2_64,B54,64,-1,73,73,3,0,3,76,77,
1644422736,job29_scenario1_67,B14,67,-1,72,72,8,0,8,80,81,
1644422736,job32_scenario4_74,cn12,74,-1,75,75,6,0,6,81,82,
1644422736,job31_scenario2_71,B54,71,-1,77,77,7,0,7,84,85,
1644422736,job34_scenario3_79,B14,79,-1,81,81,6,0,6,87,88,
1644422736,job23_scenario0_56,B11,56,-1,67,67,22,0,22,89,90,
1644422737,job38_scenario2_83,B14,83,-1,88,88,3,0,3,91,92,
1644422737,job36_scenario3_81,B14,81,-1,92,92,3,0,3,95,96,
1644422737,job26_scenario0_59,in27,59,-1,74,74,25,0,25,99,100,
1644422737,job33_scenario2_77,cn12,77,-1,82,82,17,0,17,99,100,
1644422737,job39_scenario1_84,B11,84,-1,90,90,10,0,10,100,101,
1644422737,job30_scenario0_70,B54,70,-1,85,85,16,0,16,101,102,
1644422737,job41_scenario2_89,B14,89,-1,96,96,5,0,5,101,102,
1644422737,job46_scenario4_97,B11,97,-1,101,101,4,0,4,105,106,
1644422738,job44_scenario1_95,B14,95,-1,102,102,4,0,4,106,107,
1644422738,job48_scenario3_99,B11,99,-1,106,106,3,0,3,109,110,
1644422738,job54_scenario3_109,B11,109,-1,110,110,3,0,3,113,114,
1644422738,job45_scenario1_96,B14,96,-1,107,107,7,0,7,114,115,
