RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644423682,120,job26_scenario0_59,notAssignedYet,59,notAssignedYet,long_waiting_time,
1644423683,148,job40_scenario0_87,notAssignedYet,87,notAssignedYet,long_waiting_time,
1644423683,159,job47_scenario0_98,notAssignedYet,98,notAssignedYet,long_waiting_time,
1644423686,246,job89_scenario0_185,notAssignedYet,185,notAssignedYet,long_waiting_time,
1644423689,349,job139_scenario0_288,notAssignedYet,288,notAssignedYet,long_waiting_time,
1644423690,359,job147_scenario0_298,notAssignedYet,298,notAssignedYet,long_waiting_time,
1644423690,365,job150_scenario0_304,notAssignedYet,304,notAssignedYet,long_waiting_time,
1644423691,380,job158_scenario0_319,notAssignedYet,319,notAssignedYet,long_waiting_time,
1644423691,407,job171_scenario0_346,notAssignedYet,346,notAssignedYet,long_waiting_time,
1644423691,412,job175_scenario0_351,notAssignedYet,351,notAssignedYet,long_waiting_time,
1644423692,441,job194_scenario0_380,notAssignedYet,380,notAssignedYet,long_waiting_time,
1644423693,460,job204_scenario0_399,notAssignedYet,399,notAssignedYet,long_waiting_time,
1644423694,491,job220_scenario0_430,notAssignedYet,430,notAssignedYet,long_waiting_time,
1644423695,538,job240_scenario0_477,notAssignedYet,477,notAssignedYet,long_waiting_time,
1644423695,539,job241_scenario0_478,notAssignedYet,478,notAssignedYet,long_waiting_time,
1644423697,580,job265_scenario0_519,notAssignedYet,519,notAssignedYet,long_waiting_time,
1644423697,583,job267_scenario0_522,notAssignedYet,522,notAssignedYet,long_waiting_time,
1644423697,589,job270_scenario0_528,notAssignedYet,528,notAssignedYet,long_waiting_time,
1644423697,595,job274_scenario0_534,notAssignedYet,534,notAssignedYet,long_waiting_time,
1644423697,599,job278_scenario0_538,notAssignedYet,538,notAssignedYet,long_waiting_time,
1644423698,611,job286_scenario0_550,notAssignedYet,550,notAssignedYet,long_waiting_time,
1644423698,635,job300_scenario0_574,notAssignedYet,574,notAssignedYet,long_waiting_time,
1644423699,637,job301_scenario0_576,notAssignedYet,576,notAssignedYet,long_waiting_time,
1644423699,643,job304_scenario0_582,notAssignedYet,582,notAssignedYet,long_waiting_time,
1644423701,698,job336_scenario0_637,notAssignedYet,637,notAssignedYet,long_waiting_time,
1644423701,699,job337_scenario0_638,notAssignedYet,638,notAssignedYet,long_waiting_time,
1644423701,700,job338_scenario0_639,notAssignedYet,639,notAssignedYet,long_waiting_time,
1644423702,742,job360_scenario0_681,notAssignedYet,681,notAssignedYet,long_waiting_time,
1644423702,751,job364_scenario0_690,notAssignedYet,690,notAssignedYet,long_waiting_time,
1644423702,760,job369_scenario0_699,notAssignedYet,699,notAssignedYet,long_waiting_time,
1644423718,1292,job591_scenario0_1231,notAssignedYet,1231,notAssignedYet,long_waiting_time,
