RecordTimeStamp,JobId,WorkerId,JobArrivalTick,JobAssignmentTick,JobFetchTick,JobStartByOperatorTime,JobActiveTime,JobRemainingTime,CleanWorkingTime,JobEndByOperatorTime,WorkerFreeAgainTick
1644423765,job0_scenario2_3,B14,3,-1,4,4,4,0,4,8,9,
1644423765,job1_scenario4_5,B54,5,-1,6,6,3,0,3,9,10,
1644423765,job2_scenario4_7,B11,7,-1,8,8,4,0,4,12,13,
1644423766,job3_scenario2_8,B14,8,-1,9,9,6,0,6,15,16,
1644423766,job4_scenario0_13,B54,13,-1,14,14,13,0,13,27,28,
1644423766,job7_scenario1_17,in27,17,-1,18,18,12,0,12,30,31,
1644423766,job9_scenario2_23,B54,23,-1,28,28,6,0,6,34,35,
1644423766,job5_scenario0_15,B14,15,-1,16,16,20,0,20,36,37,
1644423766,job11_scenario3_26,in27,26,-1,31,31,6,0,6,37,38,
1644423766,job10_scenario2_24,B54,24,-1,35,35,3,0,3,38,39,
1644423766,job6_scenario0_16,B11,16,-1,17,17,22,0,22,39,40,
1644423766,job14_scenario1_35,B54,35,-1,39,39,3,0,3,42,43,
1644423766,job12_scenario1_27,B14,27,-1,37,37,9,0,9,46,47,
1644423766,job13_scenario4_28,in27,28,-1,38,38,8,0,8,46,47,
1644423766,job15_scenario1_36,B11,36,-1,40,40,9,0,9,49,50,
1644423766,job16_scenario1_38,B54,38,-1,43,43,6,0,6,49,50,
1644423766,job19_scenario1_49,B54,49,-1,50,50,2,0,2,52,53,
1644423767,job17_scenario1_39,B14,39,-1,47,47,6,0,6,53,54,
1644423767,job18_scenario1_47,in27,47,-1,48,48,12,0,12,60,61,
1644423767,job20_scenario1_50,B11,50,-1,51,51,10,0,10,61,62,
1644423767,job21_scenario0_51,B54,51,-1,53,53,11,0,11,64,65,
1644423767,job25_scenario4_58,B11,58,-1,62,62,4,0,4,66,67,
1644423767,job22_scenario0_54,B14,54,-1,55,55,14,0,14,69,70,
1644423767,job24_scenario1_57,in27,57,-1,61,61,12,0,12,73,74,
1644423767,job27_scenario3_61,B54,61,-1,65,65,8,0,8,73,74,
1644423767,job8_scenario0_21,cn12,21,-1,22,22,52,0,52,74,75,
1644423767,job28_scenario2_64,B14,64,-1,70,70,7,0,7,77,78,
1644423767,job29_scenario1_67,B54,67,-1,74,74,4,0,4,78,79,
1644423767,job32_scenario4_74,B14,74,-1,78,78,3,0,3,81,82,
1644423767,job33_scenario2_77,B14,77,-1,82,82,5,0,5,87,88,
1644423767,job23_scenario0_56,B11,56,-1,67,67,22,0,22,89,90,
1644423767,job31_scenario2_71,cn12,71,-1,75,75,17,0,17,92,93,
1644423768,job34_scenario3_79,B14,79,-1,88,88,6,0,6,94,95,
1644423768,job30_scenario0_70,B54,70,-1,79,79,16,0,16,95,96,
1644423768,job36_scenario3_81,B11,81,-1,90,90,7,0,7,97,98,
1644423768,job26_scenario0_59,in27,59,-1,74,74,25,0,25,99,100,
1644423768,job39_scenario1_84,B14,84,-1,95,95,4,0,4,99,100,
1644423768,job41_scenario2_89,B54,89,-1,96,96,5,0,5,101,102,
1644423768,job46_scenario4_97,B11,97,-1,98,98,4,0,4,102,103,
1644423768,job42_scenario1_90,B14,90,-1,100,100,6,0,6,106,107,
1644423768,job48_scenario3_99,B11,99,-1,103,103,3,0,3,106,107,
1644423768,job45_scenario1_96,B54,96,-1,102,102,5,0,5,107,108,
1644423768,job38_scenario2_83,cn12,83,-1,93,93,18,0,18,111,112,
1644423768,job44_scenario1_95,B14,95,-1,107,107,4,0,4,111,112,
1644423768,job43_scenario0_94,B54,94,-1,108,108,14,0,14,122,123,
1644423768,job50_scenario1_103,B14,103,-1,112,112,10,0,10,122,123,
1644423768,job37_scenario0_82,in27,82,-1,100,100,25,0,25,125,126,
1644423768,job56_scenario1_113,B54,113,-1,123,123,3,0,3,126,127,
1644423768,job35_scenario0_80,B11,80,-1,107,107,24,0,24,131,132,
1644423768,job54_scenario3_109,B14,109,-1,123,123,8,0,8,131,132,
1644423769,job58_scenario3_116,in27,116,-1,126,126,6,0,6,132,133,
1644423769,job57_scenario2_114,B54,114,-1,127,127,6,0,6,133,134,
1644423769,job55_scenario2_111,B14,111,-1,132,132,2,0,2,134,135,
1644423769,job62_scenario3_123,B11,123,-1,132,132,2,0,2,134,135,
1644423769,job64_scenario3_127,in27,127,-1,133,133,4,0,4,137,138,
1644423769,job65_scenario4_130,B11,130,-1,135,135,4,0,4,139,140,
1644423769,job51_scenario1_106,B54,106,-1,134,134,8,0,8,142,143,
1644423769,job52_scenario1_107,B14,107,-1,135,135,7,0,7,142,143,
1644423769,job61_scenario4_122,B11,122,-1,140,140,5,0,5,145,146,
1644423769,job60_scenario2_120,B14,120,-1,143,143,2,0,2,145,146,
1644423769,job63_scenario4_124,in27,124,-1,138,138,9,0,9,147,148,
1644423769,job49_scenario0_101,B54,101,-1,143,143,13,0,13,156,157,
1644423769,job59_scenario1_118,B11,118,-1,146,146,14,0,14,160,161,
1644423769,job47_scenario0_98,B14,98,-1,146,146,16,0,16,162,163,
1644423769,job68_scenario4_141,B54,141,-1,157,157,5,0,5,162,163,
1644423769,job67_scenario1_133,in27,133,-1,148,148,15,0,15,163,164,
1644423769,job70_scenario4_145,B11,145,-1,161,161,2,0,2,163,164,
1644423769,job40_scenario0_87,cn12,87,-1,112,112,53,0,53,165,166,
1644423769,job69_scenario2_144,B14,144,-1,163,163,4,0,4,167,168,
1644423770,job75_scenario3_157,B11,157,-1,164,164,4,0,4,168,169,
1644423770,job72_scenario2_151,B14,151,-1,168,168,3,0,3,171,172,
1644423770,job73_scenario4_153,cn12,153,-1,166,166,10,0,10,176,177,
1644423770,job53_scenario0_108,B54,108,-1,163,163,14,0,14,177,178,
1644423770,job76_scenario2_158,B11,158,-1,169,169,11,0,11,180,181,
1644423770,job71_scenario1_150,B14,150,-1,172,172,9,0,9,181,182,
1644423770,job77_scenario2_159,B54,159,-1,178,178,3,0,3,181,182,
1644423770,job80_scenario2_169,B14,169,-1,182,182,2,0,2,184,185,
1644423770,job79_scenario1_167,B54,167,-1,182,182,5,0,5,187,188,
1644423770,job66_scenario0_131,in27,131,-1,164,164,25,0,25,189,190,
1644423770,job85_scenario4_178,B14,178,-1,185,185,8,0,8,193,194,
1644423770,job82_scenario2_174,B54,174,-1,188,188,5,0,5,193,194,
1644423770,job78_scenario1_165,B11,165,-1,181,181,13,0,13,194,195,
1644423770,job74_scenario1_154,cn12,154,-1,177,177,20,0,20,197,198,
1644423770,job84_scenario1_177,B54,177,-1,194,194,4,0,4,198,199,
1644423770,job83_scenario1_175,in27,175,-1,190,190,12,0,12,202,203,
1644423770,job87_scenario1_182,B14,182,-1,194,194,10,0,10,204,205,
1644423771,job88_scenario1_183,B11,183,-1,195,195,12,0,12,207,208,
1644423771,job92_scenario3_193,cn12,193,-1,198,198,10,0,10,208,209,
1644423771,job98_scenario3_200,B14,200,-1,205,205,4,0,4,209,210,
1644423771,job90_scenario3_190,in27,190,-1,203,203,7,0,7,210,211,
1644423771,job81_scenario0_173,B54,173,-1,199,199,12,0,12,211,212,
1644423771,job91_scenario4_192,B11,192,-1,208,208,5,0,5,213,214,
1644423771,job97_scenario3_199,B14,199,-1,210,210,5,0,5,215,216,
1644423771,job94_scenario3_195,cn12,195,-1,209,209,7,0,7,216,217,
1644423771,job102_scenario3_206,B11,206,-1,214,214,2,0,2,216,217,
1644423771,job93_scenario1_194,B54,194,-1,212,212,5,0,5,217,218,
1644423771,job96_scenario4_198,in27,198,-1,211,211,8,0,8,219,220,
1644423771,job103_scenario4_207,B11,207,-1,217,217,2,0,2,219,220,
1644423771,job99_scenario2_202,B54,202,-1,218,218,2,0,2,220,221,
1644423771,job95_scenario1_197,B14,197,-1,216,216,8,0,8,224,225,
1644423771,job100_scenario3_203,cn12,203,-1,217,217,10,0,10,227,228,
1644423771,job108_scenario3_218,B14,218,-1,225,225,2,0,2,227,228,
1644423771,job89_scenario0_185,B54,185,-1,221,221,11,0,11,232,233,
1644423771,job101_scenario1_204,in27,204,-1,220,220,13,0,13,233,234,
1644423771,job105_scenario1_212,B14,212,-1,228,228,9,0,9,237,238,
1644423772,job107_scenario1_217,B54,217,-1,233,233,5,0,5,238,239,
1644423772,job111_scenario4_225,in27,225,-1,234,234,6,0,6,240,241,
1644423772,job86_scenario0_179,B11,179,-1,220,220,25,0,25,245,246,
1644423772,job109_scenario1_220,B14,220,-1,238,238,8,0,8,246,247,
1644423772,job110_scenario2_224,B54,224,-1,239,239,8,0,8,247,248,
