,job218_scenario0_434,job220_scenario0_438,job222_scenario0_440,
in27,0.6016505783971005,0.40789532006635276,0.274761675283532,
B14,0.6462902241882196,0.46759981659961036,0.3449625104630799,
B11,0.586585727654962,0.40789532006635276,0.31021907598302656,
cn12,0.44300715049532097,0.2643167429067117,0.14845598597054854,
B54,0.6679605405566614,0.4892701329680521,0.38847422677402754,
B51,0.7065948480567015,0.5279044404680922,0.4013050263536207,
os4,0.6270330000227549,0.47809615524590054,0.3548587217741458,
in4,0.586585727654962,0.4577036052885445,0.33560149760868097,
B33,0.25279719491403374,0.06293280960327297,0.0,
sh10,0.7999148495898407,0.7679226812715709,0.5084833471757668,
in22,0.6462902241882196,0.5012153215994921,0.3548587217741458,
