,job383_scenario0_725,job386_scenario4_733,
in27,0.1960815335119837,0.10494426965960113,
B14,0.2529575985547076,0.13651079733910887,
B11,0.08314019293077651,0.016501676937369425,
cn12,0.06274764297342034,0.016501676937369425,
B54,0.3093001144452484,0.13651079733910887,
B51,0.3547249614137631,0.13651079733910887,
os4,0.27335014851206374,0.03474343448005324,
in4,0.22626847968610747,0.13651079733910887,
B33,0.32315843373425535,0.0,
sh10,0.4164784352673946,0.03474343448005324,
in22,0.2845241262342153,0.05513598443740947,
