,job493_scenario2_968,job495_scenario3_971,
in27,0.31021907598302667,0.7671363912363928,
B14,0.40710903003117455,0.430228196384766,
B11,0.4569173152533662,0.430228196384766,
cn12,0.2982738873515867,0.3684747225311345,
B54,0.6471272708346534,0.3867164800738183,
B51,0.0,0.21689907444988743,
os4,0.527118150432914,0.527118150432914,
in4,0.430228196384766,0.527118150432914,
B33,0.430228196384766,0.7671363912363928,
sh10,0.6471272708346534,0.7671363912363928,
in22,0.527118150432914,0.4569173152533662,
