,job662_scenario1_1391,job663_scenario1_1392,
in27,0.10350744346437002,0.07458427343322477,
B14,0.1586434279017795,0.1586434279017795,
B11,0.13825087794442326,0.10350744346437002,
cn12,0.008880744688285036,0.0,
B54,0.18176259425537095,0.18176259425537095,
B51,0.0884425927222317,0.07458427343322477,
os4,0.18176259425537095,0.12000912040173944,
in4,0.04980828522219166,0.0386343075000401,
B33,0.06175347385363161,0.10350744346437002,
sh10,0.3284608335257105,0.3986616687052583,
in22,0.10350744346437002,0.07458427343322477,
