,job216_scenario1_432,job220_scenario0_438,job222_scenario0_440,job223_scenario2_441,
in27,0.4875982319847205,0.39427823045158117,0.373885680494225,0.5640956360755122,
B14,0.14040167035909557,0.009896211311065772,0.0,0.19020995558128717,
B11,0.5458538785328284,0.39427823045158117,0.40934308119371954,0.5640956360755122,
cn12,0.4440865156737729,0.2506996532919401,0.24757999118124152,0.464479065631129,
B54,0.6658629989345678,0.47565304335328057,0.4875982319847205,0.7543055916567993,
B51,0.5293522015954589,0.5142873508533206,0.5004290315643136,0.47565304335328057,
os4,0.5844881860328683,0.464479065631129,0.45398272698483877,0.7044973064346078,
in4,0.464479065631129,0.4440865156737729,0.43472550281937394,0.5142873508533206,
B33,0.13386743969074621,0.08405915446855461,0.13386743969074621,0.4440865156737728,
sh10,0.7543055916567993,0.7543055916567993,0.6076073523864598,0.9445155472380866,
in22,0.5640956360755122,0.4875982319847205,0.45398272698483877,0.8245064268363472,
