RecordTimeStamp,SystemTick,AssignmentTick,JobId,WorkerId,JobArrivalTime,JobTime,FreeWorkersCount
1644425442,1,2,job0_scenario1_1,sh10,1,3,11,
1644425442,2,3,job1_scenario1_2,B54,2,8,10,
1644425442,5,6,job2_scenario1_5,B14,5,8,10,
1644425442,8,9,job3_scenario1_8,sh10,8,4,9,
1644425442,13,14,job6_scenario1_13,B54,13,3,10,
1644425442,13,14,job5_scenario0_11,sh10,11,4,9,
1644425442,15,16,job4_scenario3_10,B14,10,3,9,
1644425442,17,18,job7_scenario4_17,B54,17,6,9,
1644425442,19,20,job9_scenario1_19,sh10,19,6,10,
1644425442,21,22,job8_scenario4_18,B51,18,5,9,
1644425442,23,24,job11_scenario2_23,os4,23,2,8,
1644425443,24,25,job10_scenario2_21,B54,21,5,8,
1644425443,27,28,job12_scenario0_24,sh10,24,3,10,
1644425443,34,35,job13_scenario1_34,in22,34,8,11,
1644425443,35,36,job14_scenario2_35,sh10,35,5,10,
1644425443,38,39,job16_scenario1_38,B54,38,3,9,
1644425443,42,43,job15_scenario0_37,sh10,37,5,10,
1644425443,42,43,job17_scenario2_42,B54,42,5,9,
1644425443,43,44,job18_scenario2_43,os4,43,2,9,
1644425444,48,49,job21_scenario3_48,B51,48,3,11,
1644425444,48,49,job20_scenario3_47,sh10,47,3,10,
1644425444,48,49,job19_scenario1_45,B54,45,4,9,
1644425444,49,50,job22_scenario1_49,B14,49,8,8,
1644425444,52,53,job24_scenario2_52,B33,52,1,9,
1644425444,52,53,job23_scenario1_51,sh10,51,5,8,
1644425444,56,57,job26_scenario1_56,B54,56,3,9,
1644425444,57,58,job27_scenario3_57,B51,57,1,8,
1644425444,58,59,job25_scenario1_55,sh10,55,4,9,
1644425444,59,60,job28_scenario3_58,B51,58,2,9,
1644425444,60,61,job29_scenario1_60,B54,60,5,9,
1644425445,63,64,job30_scenario1_62,sh10,62,6,10,
1644425445,65,66,job33_scenario4_65,B51,65,5,9,
1644425445,67,68,job31_scenario1_63,B54,63,3,9,
1644425445,68,69,job34_scenario1_68,B14,68,6,8,
1644425445,70,71,job32_scenario0_64,sh10,64,7,8,
1644425445,71,72,job35_scenario1_70,B54,70,7,9,
1644425445,71,72,job36_scenario4_71,in4,71,2,8,
1644425445,78,79,job38_scenario0_78,sh10,78,5,10,
1644425445,79,80,job37_scenario1_77,B54,77,5,10,
1644425446,81,82,job40_scenario2_81,B33,81,2,9,
1644425446,82,83,job41_scenario4_82,B51,82,3,8,
1644425446,83,84,job39_scenario3_79,in4,79,2,7,
1644425446,85,86,job43_scenario4_85,os4,85,7,9,
1644425446,86,87,job42_scenario3_83,B51,83,3,10,
1644425446,89,90,job44_scenario1_89,sh10,89,4,9,
1644425446,90,91,job45_scenario2_90,B33,90,1,9,
1644425446,91,92,job46_scenario3_91,B51,91,2,8,
1644425446,94,95,job47_scenario3_92,B51,92,2,11,
