RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644424860,78,job15_scenario0_37,notAssignedYet,37,notAssignedYet,long_waiting_time,
1644424862,92,job23_scenario1_51,notAssignedYet,51,notAssignedYet,long_waiting_time,
1644424862,97,job26_scenario1_56,notAssignedYet,56,notAssignedYet,long_waiting_time,
1644424863,105,job32_scenario0_64,notAssignedYet,64,notAssignedYet,long_waiting_time,
1644424864,112,job36_scenario4_71,notAssignedYet,71,notAssignedYet,long_waiting_time,
1644424865,119,job38_scenario0_78,notAssignedYet,78,notAssignedYet,long_waiting_time,
1644424867,131,job45_scenario2_90,notAssignedYet,90,notAssignedYet,long_waiting_time,
1644424867,135,job48_scenario2_94,notAssignedYet,94,notAssignedYet,long_waiting_time,
1644424869,155,job54_scenario2_114,notAssignedYet,114,notAssignedYet,long_waiting_time,
1644424870,168,job59_scenario1_127,notAssignedYet,127,notAssignedYet,long_waiting_time,
1644424870,171,job61_scenario1_130,notAssignedYet,130,notAssignedYet,long_waiting_time,
1644424871,176,job63_scenario1_135,notAssignedYet,135,notAssignedYet,long_waiting_time,
1644424872,186,job67_scenario2_145,notAssignedYet,145,notAssignedYet,long_waiting_time,
1644424872,189,job68_scenario0_148,notAssignedYet,148,notAssignedYet,long_waiting_time,
1644424872,191,job70_scenario0_150,notAssignedYet,150,notAssignedYet,long_waiting_time,
1644424873,198,job74_scenario2_157,notAssignedYet,157,notAssignedYet,long_waiting_time,
1644424873,199,job75_scenario1_158,notAssignedYet,158,notAssignedYet,long_waiting_time,
1644424873,201,job76_scenario0_160,notAssignedYet,160,notAssignedYet,long_waiting_time,
1644424873,209,job82_scenario0_168,notAssignedYet,168,notAssignedYet,long_waiting_time,
1644424873,211,job84_scenario0_170,notAssignedYet,170,notAssignedYet,long_waiting_time,
1644424873,212,job85_scenario0_171,notAssignedYet,171,notAssignedYet,long_waiting_time,
1644424874,222,job92_scenario0_181,notAssignedYet,181,notAssignedYet,long_waiting_time,
1644424874,223,job93_scenario1_182,notAssignedYet,182,notAssignedYet,long_waiting_time,
1644424874,229,job94_scenario0_188,notAssignedYet,188,notAssignedYet,long_waiting_time,
1644424874,234,job98_scenario0_193,notAssignedYet,193,notAssignedYet,long_waiting_time,
1644424875,252,job105_scenario0_211,notAssignedYet,211,notAssignedYet,long_waiting_time,
1644424876,294,job119_scenario0_253,notAssignedYet,253,notAssignedYet,long_waiting_time,
1644424877,304,job124_scenario0_263,notAssignedYet,263,notAssignedYet,long_waiting_time,
1644424877,309,job126_scenario0_268,notAssignedYet,268,notAssignedYet,long_waiting_time,
1644424877,315,job130_scenario0_274,notAssignedYet,274,notAssignedYet,long_waiting_time,
1644424877,317,job132_scenario0_276,notAssignedYet,276,notAssignedYet,long_waiting_time,
1644424877,324,job136_scenario1_283,notAssignedYet,283,notAssignedYet,long_waiting_time,
1644424878,326,job138_scenario0_285,notAssignedYet,285,notAssignedYet,long_waiting_time,
1644424878,336,job142_scenario0_295,notAssignedYet,295,notAssignedYet,long_waiting_time,
1644424878,343,job145_scenario1_302,notAssignedYet,302,notAssignedYet,long_waiting_time,
1644424878,351,job147_scenario1_310,notAssignedYet,310,notAssignedYet,long_waiting_time,
1644424879,370,job156_scenario0_329,notAssignedYet,329,notAssignedYet,long_waiting_time,
1644424879,374,job159_scenario0_333,notAssignedYet,333,notAssignedYet,long_waiting_time,
1644424879,375,job160_scenario0_334,notAssignedYet,334,notAssignedYet,long_waiting_time,
1644424880,380,job164_scenario0_339,notAssignedYet,339,notAssignedYet,long_waiting_time,
1644424880,386,job166_scenario0_345,notAssignedYet,345,notAssignedYet,long_waiting_time,
1644424880,395,job172_scenario0_354,notAssignedYet,354,notAssignedYet,long_waiting_time,
1644424880,400,job174_scenario0_359,notAssignedYet,359,notAssignedYet,long_waiting_time,
1644424881,405,job177_scenario0_364,notAssignedYet,364,notAssignedYet,long_waiting_time,
1644424881,407,job179_scenario1_366,notAssignedYet,366,notAssignedYet,long_waiting_time,
1644424881,415,job185_scenario0_374,notAssignedYet,374,notAssignedYet,long_waiting_time,
1644424881,417,job186_scenario0_376,notAssignedYet,376,notAssignedYet,long_waiting_time,
