RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644424870,336,job142_scenario0_295,notAssignedYet,295,notAssignedYet,long_waiting_time,
1644424872,386,job166_scenario0_345,notAssignedYet,345,notAssignedYet,long_waiting_time,
1644424873,400,job174_scenario0_359,notAssignedYet,359,notAssignedYet,long_waiting_time,
1644424873,415,job185_scenario0_374,notAssignedYet,374,notAssignedYet,long_waiting_time,
1644424873,425,job189_scenario0_384,notAssignedYet,384,notAssignedYet,long_waiting_time,
1644424873,433,job193_scenario0_392,notAssignedYet,392,notAssignedYet,long_waiting_time,
1644424874,436,job196_scenario0_395,notAssignedYet,395,notAssignedYet,long_waiting_time,
1644424874,445,job200_scenario0_404,notAssignedYet,404,notAssignedYet,long_waiting_time,
1644424874,448,job201_scenario0_407,notAssignedYet,407,notAssignedYet,long_waiting_time,
1644424875,470,job214_scenario0_429,notAssignedYet,429,notAssignedYet,long_waiting_time,
1644424875,475,job218_scenario0_434,notAssignedYet,434,notAssignedYet,long_waiting_time,
1644424875,479,job220_scenario0_438,notAssignedYet,438,notAssignedYet,long_waiting_time,
1644424875,480,job221_scenario0_439,notAssignedYet,439,notAssignedYet,long_waiting_time,
1644424875,492,job229_scenario0_451,notAssignedYet,451,notAssignedYet,long_waiting_time,
1644424875,501,job235_scenario0_460,notAssignedYet,460,notAssignedYet,long_waiting_time,
1644424876,509,job240_scenario0_468,notAssignedYet,468,notAssignedYet,long_waiting_time,
1644424876,510,job241_scenario0_469,notAssignedYet,469,notAssignedYet,long_waiting_time,
1644424876,513,job243_scenario0_472,notAssignedYet,472,notAssignedYet,long_waiting_time,
1644424876,520,job245_scenario0_479,notAssignedYet,479,notAssignedYet,long_waiting_time,
1644424876,521,job246_scenario0_480,notAssignedYet,480,notAssignedYet,long_waiting_time,
1644424876,526,job251_scenario0_485,notAssignedYet,485,notAssignedYet,long_waiting_time,
1644424877,536,job258_scenario0_495,notAssignedYet,495,notAssignedYet,long_waiting_time,
1644424877,550,job267_scenario0_509,notAssignedYet,509,notAssignedYet,long_waiting_time,
1644424877,561,job275_scenario0_520,notAssignedYet,520,notAssignedYet,long_waiting_time,
1644424878,571,job279_scenario0_530,notAssignedYet,530,notAssignedYet,long_waiting_time,
1644424879,612,job298_scenario0_571,notAssignedYet,571,notAssignedYet,long_waiting_time,
1644424879,625,job306_scenario0_584,notAssignedYet,584,notAssignedYet,long_waiting_time,
1644424881,672,job333_scenario0_631,notAssignedYet,631,notAssignedYet,long_waiting_time,
1644424883,743,job368_scenario0_702,notAssignedYet,702,notAssignedYet,long_waiting_time,
1644424890,948,job462_scenario0_907,notAssignedYet,907,notAssignedYet,long_waiting_time,
1644424891,963,job471_scenario0_922,notAssignedYet,922,notAssignedYet,long_waiting_time,
1644424892,983,job481_scenario0_942,notAssignedYet,942,notAssignedYet,long_waiting_time,
1644424893,995,job488_scenario0_954,notAssignedYet,954,notAssignedYet,long_waiting_time,
1644424893,997,job489_scenario0_956,notAssignedYet,956,notAssignedYet,long_waiting_time,
1644424903,1106,job536_scenario0_1065,notAssignedYet,1065,notAssignedYet,long_waiting_time,
1644424904,1112,job540_scenario0_1071,notAssignedYet,1071,notAssignedYet,long_waiting_time,
1644424906,1123,job543_scenario0_1082,notAssignedYet,1082,notAssignedYet,long_waiting_time,
1644424913,1153,job559_scenario0_1112,notAssignedYet,1112,notAssignedYet,long_waiting_time,
1644424964,1386,job648_scenario0_1345,notAssignedYet,1345,notAssignedYet,long_waiting_time,
1644424976,1442,job671_scenario0_1401,notAssignedYet,1401,notAssignedYet,long_waiting_time,
