RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644425908,453,job193_scenario0_392,notAssignedYet,392,notAssignedYet,long_waiting_time,
1644425908,456,job196_scenario0_395,notAssignedYet,395,notAssignedYet,long_waiting_time,
1644425909,490,job214_scenario0_429,notAssignedYet,429,notAssignedYet,long_waiting_time,
1644425909,495,job218_scenario0_434,notAssignedYet,434,notAssignedYet,long_waiting_time,
1644425909,499,job220_scenario0_438,notAssignedYet,438,notAssignedYet,long_waiting_time,
1644425909,501,job222_scenario0_440,notAssignedYet,440,notAssignedYet,long_waiting_time,
1644425909,509,job227_scenario0_448,notAssignedYet,448,notAssignedYet,long_waiting_time,
1644425909,521,job235_scenario0_460,notAssignedYet,460,notAssignedYet,long_waiting_time,
1644425910,529,job240_scenario0_468,notAssignedYet,468,notAssignedYet,long_waiting_time,
1644425910,530,job241_scenario0_469,notAssignedYet,469,notAssignedYet,long_waiting_time,
1644425910,540,job245_scenario0_479,notAssignedYet,479,notAssignedYet,long_waiting_time,
1644425910,556,job258_scenario0_495,notAssignedYet,495,notAssignedYet,long_waiting_time,
1644425910,557,job259_scenario0_496,notAssignedYet,496,notAssignedYet,long_waiting_time,
1644425911,570,job267_scenario0_509,notAssignedYet,509,notAssignedYet,long_waiting_time,
1644425912,633,job299_scenario0_572,notAssignedYet,572,notAssignedYet,long_waiting_time,
1644425913,645,job306_scenario0_584,notAssignedYet,584,notAssignedYet,long_waiting_time,
1644425914,692,job333_scenario0_631,notAssignedYet,631,notAssignedYet,long_waiting_time,
1644425925,1175,job560_scenario0_1114,notAssignedYet,1114,notAssignedYet,long_waiting_time,
