RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644425903,221,job76_scenario0_160,notAssignedYet,160,notAssignedYet,long_waiting_time,
1644425904,231,job84_scenario0_170,notAssignedYet,170,notAssignedYet,long_waiting_time,
1644425904,254,job98_scenario0_193,notAssignedYet,193,notAssignedYet,long_waiting_time,
1644425907,356,job142_scenario0_295,notAssignedYet,295,notAssignedYet,long_waiting_time,
1644425908,415,job172_scenario0_354,notAssignedYet,354,notAssignedYet,long_waiting_time,
1644425908,420,job174_scenario0_359,notAssignedYet,359,notAssignedYet,long_waiting_time,
1644425908,425,job177_scenario0_364,notAssignedYet,364,notAssignedYet,long_waiting_time,
1644425909,435,job185_scenario0_374,notAssignedYet,374,notAssignedYet,long_waiting_time,
1644425909,445,job189_scenario0_384,notAssignedYet,384,notAssignedYet,long_waiting_time,
1644425909,453,job193_scenario0_392,notAssignedYet,392,notAssignedYet,long_waiting_time,
1644425909,456,job196_scenario0_395,notAssignedYet,395,notAssignedYet,long_waiting_time,
1644425910,490,job214_scenario0_429,notAssignedYet,429,notAssignedYet,long_waiting_time,
1644425910,495,job218_scenario0_434,notAssignedYet,434,notAssignedYet,long_waiting_time,
1644425910,499,job220_scenario0_438,notAssignedYet,438,notAssignedYet,long_waiting_time,
1644425910,500,job221_scenario0_439,notAssignedYet,439,notAssignedYet,long_waiting_time,
1644425910,501,job222_scenario0_440,notAssignedYet,440,notAssignedYet,long_waiting_time,
1644425911,509,job227_scenario0_448,notAssignedYet,448,notAssignedYet,long_waiting_time,
1644425911,512,job229_scenario0_451,notAssignedYet,451,notAssignedYet,long_waiting_time,
1644425911,521,job235_scenario0_460,notAssignedYet,460,notAssignedYet,long_waiting_time,
1644425911,529,job240_scenario0_468,notAssignedYet,468,notAssignedYet,long_waiting_time,
1644425911,530,job241_scenario0_469,notAssignedYet,469,notAssignedYet,long_waiting_time,
1644425911,540,job245_scenario0_479,notAssignedYet,479,notAssignedYet,long_waiting_time,
1644425912,546,job251_scenario0_485,notAssignedYet,485,notAssignedYet,long_waiting_time,
1644425912,556,job258_scenario0_495,notAssignedYet,495,notAssignedYet,long_waiting_time,
1644425912,557,job259_scenario0_496,notAssignedYet,496,notAssignedYet,long_waiting_time,
1644425913,591,job279_scenario0_530,notAssignedYet,530,notAssignedYet,long_waiting_time,
1644425914,632,job298_scenario0_571,notAssignedYet,571,notAssignedYet,long_waiting_time,
1644425914,633,job299_scenario0_572,notAssignedYet,572,notAssignedYet,long_waiting_time,
1644425914,634,job300_scenario0_573,notAssignedYet,573,notAssignedYet,long_waiting_time,
1644425914,645,job306_scenario0_584,notAssignedYet,584,notAssignedYet,long_waiting_time,
1644425914,653,job311_scenario0_592,notAssignedYet,592,notAssignedYet,long_waiting_time,
1644425915,692,job333_scenario0_631,notAssignedYet,631,notAssignedYet,long_waiting_time,
1644425915,706,job338_scenario0_645,notAssignedYet,645,notAssignedYet,long_waiting_time,
1644425917,760,job366_scenario0_699,notAssignedYet,699,notAssignedYet,long_waiting_time,
1644425920,929,job442_scenario0_868,notAssignedYet,868,notAssignedYet,long_waiting_time,
1644425921,960,job459_scenario0_899,notAssignedYet,899,notAssignedYet,long_waiting_time,
1644425921,968,job462_scenario0_907,notAssignedYet,907,notAssignedYet,long_waiting_time,
1644425921,969,job463_scenario0_908,notAssignedYet,908,notAssignedYet,long_waiting_time,
1644425922,1009,job485_scenario0_948,notAssignedYet,948,notAssignedYet,long_waiting_time,
1644425923,1017,job489_scenario0_956,notAssignedYet,956,notAssignedYet,long_waiting_time,
1644425924,1082,job517_scenario0_1021,notAssignedYet,1021,notAssignedYet,long_waiting_time,
1644425924,1107,job529_scenario0_1046,notAssignedYet,1046,notAssignedYet,long_waiting_time,
1644425925,1114,job531_scenario0_1053,notAssignedYet,1053,notAssignedYet,long_waiting_time,
1644425925,1126,job536_scenario0_1065,notAssignedYet,1065,notAssignedYet,long_waiting_time,
1644425925,1143,job543_scenario0_1082,notAssignedYet,1082,notAssignedYet,long_waiting_time,
1644425926,1197,job569_scenario0_1136,notAssignedYet,1136,notAssignedYet,long_waiting_time,
1644425930,1401,job645_scenario0_1340,notAssignedYet,1340,notAssignedYet,long_waiting_time,
1644425931,1424,job653_scenario0_1363,notAssignedYet,1363,notAssignedYet,long_waiting_time,
1644425931,1450,job660_scenario0_1389,notAssignedYet,1389,notAssignedYet,long_waiting_time,
1644425932,1478,job678_scenario0_1417,notAssignedYet,1417,notAssignedYet,long_waiting_time,
