tickNumber,in27,B14,B11,cn12,B54,B51,os4,in4,B33,
0,,,,,,,,,,
1,,,,,|1_1_4_0_,,,,,
2,,,,,|2_2_4_1_,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,|5_7_4_2_,,,,,
8,,,,,|8_8_4_3_,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,|11_11_5_5_,,,,
12,,,|10_12_2_4_,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,|13_18_4_6_,,,,,
19,,,,,,,|17_19_6_7_,,,
20,,,,,,,|18_20_6_8_,,,
21,,,,,,,,,,
22,,,,,,,,,|21_22_8_10_,
23,,,,,,,,,|23_23_8_11_,
24,,,,,,,,,,
25,,,,,|19_25_4_9_,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,|35_35_8_14_,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,|37_38_4_15_,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,|34_41_4_13_,,,,,
42,,,,,,,,,|42_42_8_17_,
43,,,,,,,,,|43_43_8_18_,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,|38_46_4_16_,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,|47_49_2_20_,,,,,,,
50,,,|48_50_2_21_,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,|52_52_8_24_,
53,,,,,,,,,,
54,,,,,|45_54_4_19_,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,|49_58_4_22_,,,,,
59,,,,,,,,,,
60,,,|57_60_2_27_,,|51_60_4_23_,,,,,
61,,,|58_61_2_28_,,,,,,,
62,,,,,,,,,,
63,,|63_63_1_31_,,,,|24_63_5_12_,,,,
64,,,,,,,,,,
65,,,,,|55_65_4_25_,,,,,
66,,,,,|56_66_4_26_,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,|68_69_4_34_,,|65_69_6_33_,,,
70,,,,,,,,,,
71,,,,,|60_71_4_29_,,,,,
72,,,,,,,,,,
73,,,,,|62_73_4_30_,,,,,
74,,,,,,,,,,
75,,,,,,,|71_75_6_36_,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,|79_82_2_39_,,|70_82_4_35_,,,,,
83,,,,,,,,,|81_83_8_40_,
84,,,,,,,,,,
85,,,|83_85_2_42_,,,|64_85_5_32_,|82_85_6_41_,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,|85_88_6_43_,,,
89,,,,,,,,,,
90,,,,,|77_90_4_37_,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,|91_93_2_46_,,,,,,,
94,,,|92_94_2_47_,,,,,,,
95,,|95_95_1_49_,,,,,,,,
96,,,,,,,,,|94_96_8_48_,
97,,,,,,,,,,
98,,,,,|89_98_4_44_,,,,|96_98_8_50_,
99,,,,,,,,,,
100,,,,,,|78_100_5_38_,,,,
101,,,,,,,,,,
102,,,|100_102_2_51_,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,,,,,,,,,,
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,|90_117_8_45_,
118,,,,,,,,,,
119,,,,,,,,,|117_119_8_56_,
120,,,,,,,,,,
121,,,,,,,,,,
122,,,,,,,,,|104_122_8_53_,
123,,,,,,,,,,
124,,,,,,,,,,
125,,,,,,,,,,
126,,,,,,,,,,
127,,,,,,,,,,
