tickNumber,in27,B14,B11,cn12,B54,B51,os4,in4,B33,sh10,in22,
0,,,,,|0_0_4_0_,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,|4_4_4_1_,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,|7_8_10_2_,
9,,,,,,,,,,,,
10,,,,,|9_10_4_3_,,,,,,,
11,,,,,,,,,,,,
12,,,,,|11_12_4_4_,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,|15_16_9_5_,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,|19_20_4_7_,,,,,,,
21,,,,,,,,,,,,
22,,,,,|18_22_4_6_,,,,,,,
23,,,,,|20_23_4_8_,,,,,,,
24,,,,,,,,,,,,
25,,,,,|22_25_4_9_,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,|24_27_6_10_,,,|26_27_9_11_,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
31,,,,,,,,,,,,
32,,,,,,,,,,,,
33,,,,,,,,,,,,
34,,,,,,,,,,,,
35,,,,,|35_35_4_16_,,,,,,|33_35_10_14_,
36,,,,,,,,,,,,
37,,,,,|31_37_4_12_,,,,,,,
38,,,,,|32_38_4_13_,,,,,,,
39,,,,,,,|34_39_6_15_,,,,,
40,,,,,,,,,,,|37_40_10_17_,
41,,,,,,,,,,,,
42,,,,,,,|40_42_6_18_,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,|43_46_10_19_,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,|47_50_6_20_,,,,,
51,,,,,,,,,,,,
52,,,,,,,,,,,,
53,,,,,,,,,,,,
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,,,,,|49_57_4_21_,,,,,,,
58,,,,,|54_58_4_23_,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,|52_61_4_22_,,,,,,,
62,,,,,,,|59_62_6_26_,,,|60_62_9_27_,,
63,,,,,,,,,,,,
64,,,,,|55_64_4_24_,,,,,,,
65,,,,,|56_65_4_25_,,,,,,,
66,,,,,,,,,,,|65_66_10_29_,
67,,,,,,,,,,,,
