,job164_scenario3_312,job168_scenario1_317,job169_scenario0_320,
in27,0.8012161902282807,0.4247842388906091,0.15277382976886045,
B14,0.660814519869185,0.5012816429814008,0.22297466494840829,
B11,0.7043262361801328,0.45147335775920916,0.1260847109002603,
cn12,0.660814519869185,0.40166507253701755,0.0,
B54,0.6110062346469936,0.7616924337422358,0.23414864267055985,
B51,0.8510244754504723,0.4830398854387169,0.32259123539279144,
os4,0.8510244754504723,0.45147335775920916,0.2727829501705999,
in4,0.7043262361801328,0.4376150384702022,0.17589299612245202,
B33,0.7043262361801328,0.4830398854387169,0.23414864267055985,
sh10,0.731015355048733,0.6030490058404564,0.5830020261536265,
in22,0.6425727623265013,0.46653820850134753,0.23414864267055985,
