,job210_scenario4_387,job211_scenario0_391,
in27,0.4552120636804097,0.12357907291674808,
B14,0.6206460310506638,0.2933964785406791,
B11,0.7792894589524432,0.16402634528454085,
cn12,0.5623903845025559,0.0,
B54,0.8992985793541826,0.20495388581844748,
B51,0.7090886237728954,0.19377990809629592,
os4,0.7792894589524432,0.2933964785406791,
in4,0.7090886237728954,0.15514560059625582,
B33,0.43043607546937657,0.1733873581389398,
sh10,0.5188786681916082,0.5538072693015141,
in22,0.4690703829694166,0.22972987402948059,
