,job73_scenario1_146,job78_scenario0_152,job79_scenario1_154,job80_scenario1_156,
in27,0.4714077643972188,0.18850470400833058,0.18294193000501235,0.09688995404814787,
B14,0.7114260052006975,0.27256385847688536,0.3296401692753519,0.14669823927033943,
B11,0.661617719978506,0.19529524347680532,0.30295105040675163,0.11195480479028619,
cn12,0.39184591636327215,0.06519764460058203,0.11274109482546457,0.0,
B54,0.5914168847989583,0.32237214369907696,0.36120669695485963,0.33690819485162665,
B51,0.4714077643972188,0.29568302483047687,0.2096310488736124,0.08303163475914094,
os4,0.5029742920767266,0.2837378361990369,0.30295105040675163,0.14669823927033943,
in4,0.4714077643972188,0.2174278740394759,0.1493264250051306,0.05825564654810783,
B33,0.44471864552861873,0.3374369944412153,0.19577272958460545,0.09688995404814787,
sh10,0.7816268403802454,0.4156921452322162,0.5198501248566391,0.24846560212939506,
in22,0.4714077643972188,0.27256385847688536,0.24119757655312013,0.07020083517954778,
