,job194_scenario1_359,job197_scenario0_362,
in27,0.393932660181055,0.12679965987021413,
B14,0.48237525290328664,0.16543396737025406,
B11,0.48237525290328664,0.1489322904328847,
cn12,0.37226234381261325,0.0,
B54,0.5841426157623423,0.22718744122388568,
B51,0.4187086483920881,0.2854430877719935,
os4,0.4476318184232334,0.18367572491293804,
in4,0.4187086483920881,0.1569866060443379,
B33,0.43256696768109504,0.3036848453146773,
sh10,0.6227769232623823,0.444086515673773,
in22,0.4476318184232334,0.19357193622400393,
