,job276_scenario0_511,job279_scenario1_514,job280_scenario1_516,
in27,0.22314240802356639,0.2162485382898346,0.0884425927222317,
B14,0.3004110230236464,0.25099197276988783,0.18176259425537095,
B11,0.24527503858623695,0.2162485382898346,0.18176259425537095,
cn12,0.09304480914734309,0.1042937334995484,0.0,
B54,0.350219308245838,0.441201928351175,0.18176259425537095,
B51,0.36528415898797634,0.20118368754769622,0.07458427343322477,
os4,0.2899146843773562,0.29450368908083546,0.1586434279017795,
in4,0.2899146843773562,0.15137540232550462,0.04980828522219166,
B33,0.2800184730662903,0.16254938004765618,0.1586434279017795,
sh10,0.5404292638271252,0.3211928079494357,0.1586434279017795,
in22,0.350219308245838,0.18732536825868928,0.10350744346437002,
