,job41_scenario1_86,job42_scenario0_87,
in27,0.4119864388420822,0.1477702957164272,
B14,0.38041991116257445,0.23372167189223492,
B11,0.4119864388420822,0.18084894272688834,
cn12,0.2106025055386434,0.0,
B54,0.31021907598302656,0.3306116259403828,
B51,0.260410790760835,0.35373079229397425,
os4,0.2754756415029733,0.14040167035909557,
in4,0.22177648326079497,0.1719681980386033,
B33,0.31021907598302656,0.24655247147182807,
sh10,0.690638987145601,0.45062074634212224,
in22,0.35373079229397425,0.23372167189223492,
