RecordTimeStamp,SystemTick,AssignmentTick,JobId,WorkerId,JobArrivalTime,JobTime,FreeWorkersCount
1644418059,0,1,job0_scenario1_0,B54,0,5,11,
1644418059,4,5,job1_scenario1_4,B33,4,6,10,
1644418059,9,10,job3_scenario1_9,sh10,9,6,10,
1644418060,11,12,job2_scenario2_7,B33,7,2,10,
1644418060,11,12,job4_scenario1_11,in22,11,9,9,
1644418060,15,16,job5_scenario0_15,B54,15,12,9,
1644418060,18,19,job6_scenario1_18,B11,18,12,9,
1644418060,19,20,job7_scenario1_19,sh10,19,2,8,
1644418060,20,21,job8_scenario1_20,os4,20,7,7,
1644418060,22,23,job9_scenario1_22,sh10,22,4,8,
1644418060,24,25,job10_scenario4_24,B51,24,5,7,
1644418061,28,29,job11_scenario0_26,sh10,26,4,9,
1644418061,31,32,job12_scenario1_31,B54,31,5,10,
1644418061,32,33,job13_scenario1_32,os4,32,10,9,
1644418061,33,34,job14_scenario2_33,B33,33,3,9,
1644418061,34,35,job15_scenario4_34,in4,34,6,8,
1644418061,35,36,job16_scenario1_35,sh10,35,2,7,
1644418061,38,39,job17_scenario2_37,sh10,37,3,9,
1644418061,42,43,job18_scenario3_40,sh10,40,3,10,
1644418061,43,44,job19_scenario2_43,B14,43,2,10,
1644418062,47,48,job20_scenario3_47,in4,47,1,11,
1644418062,49,50,job21_scenario1_49,B11,49,7,11,
1644418062,52,53,job22_scenario1_52,in22,52,8,10,
1644418062,54,55,job23_scenario1_54,B33,54,9,9,
1644418062,55,56,job24_scenario1_55,B54,55,6,8,
1644418062,59,60,job26_scenario4_59,B11,59,2,8,
1644418062,60,61,job27_scenario0_60,sh10,60,2,7,
1644418062,61,62,job28_scenario1_61,os4,61,8,7,
1644418062,62,63,job25_scenario1_56,B54,56,6,8,
1644418063,66,67,job29_scenario2_65,in22,65,4,9,
1644418063,67,68,job31_scenario0_67,sh10,67,5,8,
1644418063,68,69,job32_scenario2_68,B33,68,4,7,
1644418063,69,70,job33_scenario4_69,B11,69,4,7,
1644418063,70,71,job30_scenario4_66,os4,66,3,7,
1644418063,72,73,job34_scenario3_70,B51,70,1,7,
1644418063,73,74,job35_scenario0_72,sh10,72,1,8,
1644418063,73,74,job36_scenario1_73,B14,73,6,7,
1644418063,74,75,job37_scenario1_74,B51,74,10,9,
1644418063,78,79,job38_scenario1_78,os4,78,9,9,
1644418063,80,81,job39_scenario0_80,sh10,80,7,9,
1644418064,82,83,job40_scenario3_82,B14,82,5,8,
1644418064,87,88,job42_scenario0_87,B51,87,11,8,
