,job516_scenario0_1032,job519_scenario0_1035,
in27,0.35013114989415217,0.3566653805625014,
B14,0.42033198507370007,0.4638437013846477,
B11,0.3566653805625014,0.3855885505936467,
cn12,0.23665626016076202,0.24694462693476027,
B54,0.4905328202532478,0.45189851275320775,
B51,0.09187115154798953,0.1620719867275373,
os4,0.43022819638476595,0.43022819638476595,
in4,0.43022819638476595,0.43022819638476595,
B33,0.4407245350310562,0.42033198507370007,
sh10,0.7305510610567265,0.5607336554327955,
in22,0.03361550499988164,0.0,
