,job103_scenario0_199,job104_scenario1_200,job105_scenario0_202,
in27,0.20983129462935513,0.33690819485162676,0.20304075516088038,
B14,0.3230498755626198,0.430228196384766,0.2766035709831449,
B11,0.20983129462935513,0.3867164800738183,0.2319639251920257,
cn12,0.083031634759141,0.24846560212939506,0.083031634759141,
B54,0.3867164800738183,0.6471272708346534,0.3230498755626198,
B51,0.012830799579593322,0.0,0.012830799579593322,
os4,0.2982738873515867,0.430228196384766,0.2766035709831449,
in4,0.26670735967207904,0.2573463468176801,0.26670735967207904,
B33,0.3230498755626198,0.3519730455937651,0.2982738873515867,
sh10,0.527118150432914,0.527118150432914,0.527118150432914,
in22,0.2982738873515867,0.3230498755626198,0.31021907598302667,
