tickNumber,in27,B14,B11,
0,,,|0_0_2_0_,
1,,,,
2,,,,
3,,,,
4,,,|4_4_2_1_,
5,,,,
6,,,,
7,,|7_7_1_2_,,
8,,,,
9,|9_9_0_3_,,,
10,,,,
11,|11_11_0_4_,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,|18_18_0_6_,,,
19,|19_19_0_7_,,,
20,,,,
21,,,,
22,|22_22_0_9_,|20_22_1_8_,,
23,,,,
24,,,|24_24_2_10_,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,|31_31_0_12_,,,
32,,|32_32_1_13_,,
33,,|33_33_1_14_,,
34,,,|34_34_2_15_,
35,,,,
36,,,,
37,,|37_37_1_17_,,
38,,,,
39,,,,
40,,,|40_40_2_18_,
41,,,,
42,,,,
43,,|43_43_1_19_,,
44,,,,
45,,,,
46,,,,
47,,,|47_47_2_20_,
48,,,,
49,|49_49_0_21_,,,
50,,,,
51,,,,
52,,|35_52_1_16_,|52_52_2_22_,
53,,,,
54,,,|54_54_2_23_,
55,,,|15_55_2_5_|55_55_2_24_,
56,|56_56_0_25_,,,
57,,,,
58,,,,
59,,,|59_59_2_26_,
60,,,,
61,,,|61_61_2_28_,
62,,,,
63,,,,
64,,,,
65,,|65_65_1_29_,,
66,,,|26_66_2_11_,
67,,,,
68,,|68_68_1_32_,,
69,,,,
70,,,|66_70_2_30_|70_70_2_34_,
71,,,,
72,,,,
73,,|73_73_1_36_,,
74,,,,
75,,,,
76,,,,
77,,,,
78,|78_78_0_38_,,,
79,,,,
80,,,,
81,,,,
82,,,|69_82_2_33_|82_82_2_40_,
83,,,,
84,,,,
85,,,,
86,,,|86_86_2_41_,
87,,,,
88,,,|88_88_2_43_,
89,,,,
90,,,,
91,,|91_91_1_45_,,
92,,,,
93,,|93_93_1_46_,,
94,,,,
95,,,,
96,,|95_96_1_48_,|96_96_2_49_,
97,,,,
98,,,,
99,,,,
100,|99_100_0_50_,,|60_100_2_27_,
101,,,,
102,,,,
103,,|102_103_1_52_,,
104,,,,
105,,|103_105_1_53_,|105_105_2_55_,
106,,,,
107,|89_107_0_44_,,|67_107_2_31_,
108,,,,
109,,,,
110,|74_110_0_37_,,,
111,,|110_111_1_57_,,
112,,,|72_112_2_35_,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,|118_118_2_60_,
119,,,,
120,,,|80_120_2_39_,
121,,,,
122,,,,
123,,,,
124,,|124_124_1_63_,,
125,,,,
126,,,,
127,,,|87_127_2_42_,
128,,|127_128_1_64_,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,|133_134_0_66_,,|94_134_2_47_,
135,,,,
136,,,,
137,,,,
138,,,|138_138_2_68_,
139,,,,
140,,,,
141,,,|101_141_2_51_,
142,,|142_142_1_71_,,
143,|108_143_0_56_,,,
144,,,|104_144_2_54_,
145,,,,
146,,,,
147,,,|147_147_2_74_,
148,,|141_148_1_70_,,
149,,,,
150,,,|135_150_2_67_,
151,,,|111_151_2_58_,
152,,|151_152_1_77_,,
153,,,|113_153_2_59_,
154,,,,
155,|154_155_0_79_,,,
156,|156_156_0_80_,,|150_156_2_76_,
157,,|157_157_1_81_,,
158,,|158_158_1_82_,,
159,,,|119_159_2_61_|159_159_2_83_,
160,,,|139_160_2_69_,
161,,,,
162,|161_162_0_85_,,|146_162_2_73_,
163,,,|123_163_2_62_,
164,,,,
165,,,,
166,,,,
167,,|165_167_1_88_,,
168,,,|128_168_2_65_,
169,,,,
170,,,,
171,,,,
172,,,|172_172_2_93_,
173,,,,
174,,,,
175,,,,
176,,,,
177,,|163_177_1_87_,,
178,,,,
179,,,,
180,,,|144_180_2_72_,
181,,,,
182,,,,
183,,,,
184,,,|148_184_2_75_,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,|175_190_2_95_,
191,,,,
192,,,|152_192_2_78_,
193,,,,
194,,,,
195,|180_195_0_96_,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,|162_200_0_86_,,|160_200_2_84_,
201,|200_201_0_104_,,,
202,,,,
203,,,,
204,,,,
205,,,,
206,,,|166_206_2_89_,
207,,|207_207_1_110_,|167_207_2_90_,
208,,|208_208_1_111_,|168_208_2_91_,
209,|203_209_0_106_,,,
210,,,,
211,,,|171_211_2_92_,
212,,|206_212_1_109_,,
213,,,,
214,,,|174_214_2_94_,
215,,,,
216,,,,
217,,,,
218,,,,
219,,|218_219_1_116_,,
220,,,,
221,|220_221_0_118_,,,
222,,,|182_222_2_97_,
223,,,,
224,,,,
225,,|211_225_1_112_,|185_225_2_98_,
226,,,,
227,,,|195_227_2_101_,
228,,,,
229,,,,
230,|226_230_0_120_,,|190_230_2_99_,
231,,,,
232,,,,
233,,,,
234,,,|194_234_2_100_,
235,,,,
236,,,,
237,,,,
238,,,|198_238_2_102_,
239,,,|199_239_2_103_,
240,,|233_240_1_123_,|219_240_2_117_,
241,,,,
242,,,|202_242_2_105_|238_242_2_124_,
243,,|205_243_1_108_,,
244,,,|204_244_2_107_,
245,,,,
246,,|246_246_1_128_,,
247,,,,
248,,,,
249,,|242_249_1_127_,,
250,,,,
251,,,,
252,,,|212_252_2_113_,
253,,|248_253_1_130_,|213_253_2_114_,
254,|217_254_0_115_,,,
255,,,,
256,,,,
257,|256_257_0_134_,,,
258,,,,
259,,|259_259_1_135_,,
260,,,,
261,|239_261_0_125_,,,
262,,,,
263,,,|227_263_2_121_,
264,,,,
265,,|254_265_1_133_,|225_265_2_119_,
266,,,,
267,,,,
268,,,,
269,,|264_269_1_137_,,
270,,,,
271,,,|231_271_2_122_,
272,,,,
273,,,,
274,,,|268_274_2_139_,
275,,,,
276,,,,
277,,,,
278,,,,
279,,,,
280,,|267_280_1_138_,|240_280_2_126_,
281,|271_281_0_141_,|278_281_1_144_,,
282,,,,
283,,,,
284,,,,
285,,,,
286,,,|269_286_2_140_,
287,,,|247_287_2_129_,
288,,,,
289,,,|249_289_2_131_,
290,,|279_290_1_145_,,
291,,,|251_291_2_132_,
292,,,,
293,,,,
294,,,,
295,,,,
296,,|293_296_1_151_,,
297,,,|288_297_2_148_,
298,,,,
299,,,,
300,,,,
301,,,,
302,,,|262_302_2_136_,
303,,,,
304,,|304_304_1_157_,,
305,,,|298_305_2_153_,
306,|301_306_0_155_,,,
307,,,,
308,,,|306_308_2_159_,
309,,,,
310,|305_310_0_158_,|307_310_1_160_,,
311,,,,
312,,,|280_312_2_146_,
313,,,|273_313_2_142_,
314,|274_314_0_143_,,,
315,,,,
316,,|290_316_1_149_,,
317,,,,
318,|299_318_0_154_,|296_318_1_152_,,
319,,,,
320,,,,
321,,|321_321_1_170_,,
322,,,|291_322_2_150_,
323,,|316_323_1_167_,|309_323_2_162_,
324,,,|284_324_2_147_,
325,,|324_325_1_172_,,
326,,,,
327,|317_327_0_168_,,,
328,,,,
329,,,,
330,,,,
331,,,,
332,,,,
333,,,,
334,,,|303_334_2_156_,
335,,|335_335_1_180_,,
336,,,,
337,,,|312_337_2_164_,
338,,,|325_338_2_173_,
339,,,,
340,,,,
341,,,,
342,,,,
343,,,,
344,,,,
345,,,|313_345_2_165_,
346,,,,
347,,,,
348,|332_348_0_177_,,|308_348_2_161_,
349,,,,
350,,|327_350_1_174_,|310_350_2_163_,
351,,,,
352,,,,
353,,|322_353_1_171_,,
354,,,|314_354_2_166_,
355,|334_355_0_179_,,,
356,,,,
357,,,,
358,,|343_358_1_185_|349_358_1_190_,,
359,|330_359_0_176_,,|337_359_2_181_,
360,,,|320_360_2_169_,
361,,,,
362,,,,
363,,,|347_363_2_188_,
364,|333_364_0_178_,,,
365,,,,
366,,,,
367,,,,
368,|340_368_0_183_,,,
369,,,|329_369_2_175_|367_369_2_199_,
370,,,,
371,,,,
372,,,,
373,,,,
374,,|357_374_1_193_,,
375,,,,
376,,,|373_376_2_203_,
377,,,,
378,,,|360_378_2_195_,
379,,|339_379_1_182_,,
380,,,,
381,,,,
382,,,|342_382_2_184_|346_382_2_187_|374_382_2_204_,
383,,,,
384,,,,
385,,,|345_385_2_186_,
386,,,,
387,,|386_387_1_209_,,
388,|365_388_0_198_,,|348_388_2_189_|371_388_2_201_,
389,,,,
390,,,,
391,,,,
392,|392_392_0_212_,,,
393,,,|356_393_2_192_,
394,,,,
395,,,|355_395_2_191_,
396,,|361_396_1_196_,,
397,,,|372_397_2_202_,
398,,,,
399,|359_399_0_194_,,,
400,,,,
401,,,,
402,,|377_402_1_205_,|362_402_2_197_,
403,,,|381_403_2_207_,
404,|379_404_0_206_,,,
405,,,,
406,,|396_406_1_214_,,
407,,,,
408,|368_408_0_200_,,|383_408_2_208_,
409,,,,
410,,,,
411,|411_411_0_223_,,|404_411_2_219_,
412,,,,
413,,,|387_413_2_210_,
414,,,,
415,|403_415_0_218_,|407_415_1_221_,,
416,,,,
417,,,,
418,,,,
419,,,,
420,,,,
421,,,,
422,,,,
423,,,,
424,,,|398_424_2_215_,
425,,,,
426,,,,
427,,,,
428,,,,
429,,,|402_429_2_217_,
430,,,|428_430_2_232_,
431,,,|391_431_2_211_,
432,,,,
433,,,|393_433_2_213_,
434,|400_434_0_216_,,,
435,,|427_435_1_231_,,
436,,,|421_436_2_227_,
437,,,,
438,,,,
439,,,,
440,,,,
441,,,|409_441_2_222_,
442,,,,
443,,,,
444,,,,
445,,,,
446,,,|406_446_2_220_,
447,,,,
448,,,,
449,,,,
450,,|413_450_1_224_,|419_450_2_226_,
451,,,,
452,,,,
453,,,,
454,,|424_454_1_229_,,
455,,|415_455_1_225_,|445_455_2_239_,
456,,,,
457,,,,
458,,,|453_458_2_242_|454_458_2_243_,
459,,,,
460,,,|430_460_2_233_,
461,,|457_461_1_245_,,
462,,,|438_462_2_237_,
463,,,|423_463_2_228_,
464,,,,
465,,,,
466,,,|426_466_2_230_,
467,,,,
468,,,,
469,,|436_469_1_236_,,
470,,,|432_470_2_234_,
471,,,,
472,,|435_472_1_235_,|472_472_2_253_,
473,,,,
474,,,,
475,,|439_475_1_238_,,
476,,,,
477,,,,
478,,,,
479,,|459_479_1_246_,,
480,,,|464_480_2_248_,
481,,,,
482,,|477_482_1_258_,,
483,,,,
484,,,,
485,,,,
486,,,,
487,,|449_487_1_240_,,
488,,,,
489,,,,
490,,,|475_490_2_256_|490_490_2_266_,
491,,,|451_491_2_241_,
492,,,,
493,,,,
494,,,,
495,,,,
496,|456_496_0_244_,|473_496_1_254_,,
497,,,,
498,,,,
