RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644417480,56,job5_scenario0_15,notAssignedYet,15,notAssignedYet,long_waiting_time,
1644417481,67,job11_scenario0_26,notAssignedYet,26,notAssignedYet,long_waiting_time,
1644417484,101,job27_scenario0_60,notAssignedYet,60,notAssignedYet,long_waiting_time,
1644417484,108,job31_scenario0_67,notAssignedYet,67,notAssignedYet,long_waiting_time,
1644417485,109,job32_scenario2_68,notAssignedYet,68,notAssignedYet,long_waiting_time,
1644417485,113,job35_scenario0_72,notAssignedYet,72,notAssignedYet,long_waiting_time,
1644417485,114,job36_scenario1_73,notAssignedYet,73,notAssignedYet,long_waiting_time,
1644417486,115,job37_scenario1_74,notAssignedYet,74,notAssignedYet,long_waiting_time,
1644417486,121,job39_scenario0_80,notAssignedYet,80,notAssignedYet,long_waiting_time,
1644417486,128,job42_scenario0_87,notAssignedYet,87,notAssignedYet,long_waiting_time,
1644417488,142,job51_scenario0_101,notAssignedYet,101,notAssignedYet,long_waiting_time,
1644417488,145,job54_scenario0_104,notAssignedYet,104,notAssignedYet,long_waiting_time,
1644417488,154,job59_scenario0_113,notAssignedYet,113,notAssignedYet,long_waiting_time,
1644417489,160,job61_scenario0_119,notAssignedYet,119,notAssignedYet,long_waiting_time,
1644417490,164,job62_scenario0_123,notAssignedYet,123,notAssignedYet,long_waiting_time,
1644417490,169,job65_scenario0_128,notAssignedYet,128,notAssignedYet,long_waiting_time,
1644417491,183,job71_scenario1_142,notAssignedYet,142,notAssignedYet,long_waiting_time,
1644417492,188,job74_scenario1_147,notAssignedYet,147,notAssignedYet,long_waiting_time,
1644417492,191,job76_scenario1_150,notAssignedYet,150,notAssignedYet,long_waiting_time,
1644417492,193,job78_scenario0_152,notAssignedYet,152,notAssignedYet,long_waiting_time,
1644417493,208,job90_scenario0_167,notAssignedYet,167,notAssignedYet,long_waiting_time,
1644417493,209,job91_scenario0_168,notAssignedYet,168,notAssignedYet,long_waiting_time,
1644417493,215,job94_scenario0_174,notAssignedYet,174,notAssignedYet,long_waiting_time,
1644417493,223,job97_scenario0_182,notAssignedYet,182,notAssignedYet,long_waiting_time,
1644417494,226,job98_scenario0_185,notAssignedYet,185,notAssignedYet,long_waiting_time,
1644417494,231,job99_scenario0_190,notAssignedYet,190,notAssignedYet,long_waiting_time,
1644417495,235,job100_scenario0_194,notAssignedYet,194,notAssignedYet,long_waiting_time,
1644417495,239,job102_scenario0_198,notAssignedYet,198,notAssignedYet,long_waiting_time,
1644417495,240,job103_scenario0_199,notAssignedYet,199,notAssignedYet,long_waiting_time,
1644417495,243,job105_scenario0_202,notAssignedYet,202,notAssignedYet,long_waiting_time,
1644417495,245,job107_scenario0_204,notAssignedYet,204,notAssignedYet,long_waiting_time,
1644417496,252,job112_scenario2_211,notAssignedYet,211,notAssignedYet,long_waiting_time,
1644417496,253,job113_scenario0_212,notAssignedYet,212,notAssignedYet,long_waiting_time,
1644417496,254,job114_scenario0_213,notAssignedYet,213,notAssignedYet,long_waiting_time,
1644417497,266,job119_scenario1_225,notAssignedYet,225,notAssignedYet,long_waiting_time,
1644417497,268,job121_scenario4_227,notAssignedYet,227,notAssignedYet,long_waiting_time,
1644417498,272,job122_scenario0_231,notAssignedYet,231,notAssignedYet,long_waiting_time,
1644417498,279,job124_scenario1_238,notAssignedYet,238,notAssignedYet,long_waiting_time,
1644417498,280,job125_scenario1_239,notAssignedYet,239,notAssignedYet,long_waiting_time,
1644417498,288,job129_scenario0_247,notAssignedYet,247,notAssignedYet,long_waiting_time,
1644417499,290,job131_scenario0_249,notAssignedYet,249,notAssignedYet,long_waiting_time,
1644417499,292,job132_scenario0_251,notAssignedYet,251,notAssignedYet,long_waiting_time,
1644417499,297,job134_scenario1_256,notAssignedYet,256,notAssignedYet,long_waiting_time,
1644417499,303,job136_scenario0_262,notAssignedYet,262,notAssignedYet,long_waiting_time,
1644417500,309,job139_scenario1_268,notAssignedYet,268,notAssignedYet,long_waiting_time,
1644417500,314,job142_scenario0_273,notAssignedYet,273,notAssignedYet,long_waiting_time,
1644417500,325,job147_scenario0_284,notAssignedYet,284,notAssignedYet,long_waiting_time,
1644417501,331,job149_scenario1_290,notAssignedYet,290,notAssignedYet,long_waiting_time,
1644417501,346,job158_scenario1_305,notAssignedYet,305,notAssignedYet,long_waiting_time,
1644417502,349,job161_scenario0_308,notAssignedYet,308,notAssignedYet,long_waiting_time,
1644417502,351,job163_scenario0_310,notAssignedYet,310,notAssignedYet,long_waiting_time,
1644417502,357,job167_scenario2_316,notAssignedYet,316,notAssignedYet,long_waiting_time,
1644417502,358,job168_scenario1_317,notAssignedYet,317,notAssignedYet,long_waiting_time,
1644417502,361,job169_scenario0_320,notAssignedYet,320,notAssignedYet,long_waiting_time,
1644417502,365,job172_scenario2_324,notAssignedYet,324,notAssignedYet,long_waiting_time,
1644417502,370,job175_scenario0_329,notAssignedYet,329,notAssignedYet,long_waiting_time,
1644417502,373,job177_scenario1_332,notAssignedYet,332,notAssignedYet,long_waiting_time,
1644417503,376,job180_scenario2_335,notAssignedYet,335,notAssignedYet,long_waiting_time,
1644417503,383,job184_scenario0_342,notAssignedYet,342,notAssignedYet,long_waiting_time,
1644417503,386,job186_scenario0_345,notAssignedYet,345,notAssignedYet,long_waiting_time,
1644417503,389,job189_scenario0_348,notAssignedYet,348,notAssignedYet,long_waiting_time,
1644417503,390,job190_scenario1_349,notAssignedYet,349,notAssignedYet,long_waiting_time,
1644417503,400,job194_scenario1_359,notAssignedYet,359,notAssignedYet,long_waiting_time,
1644417504,402,job196_scenario2_361,notAssignedYet,361,notAssignedYet,long_waiting_time,
1644417504,403,job197_scenario0_362,notAssignedYet,362,notAssignedYet,long_waiting_time,
1644417504,418,job205_scenario1_377,notAssignedYet,377,notAssignedYet,long_waiting_time,
1644417505,432,job211_scenario0_391,notAssignedYet,391,notAssignedYet,long_waiting_time,
1644417505,433,job212_scenario1_392,notAssignedYet,392,notAssignedYet,long_waiting_time,
1644417505,434,job213_scenario0_393,notAssignedYet,393,notAssignedYet,long_waiting_time,
1644417505,444,job218_scenario1_403,notAssignedYet,403,notAssignedYet,long_waiting_time,
1644417505,447,job220_scenario0_406,notAssignedYet,406,notAssignedYet,long_waiting_time,
1644417505,456,job225_scenario2_415,notAssignedYet,415,notAssignedYet,long_waiting_time,
1644417506,464,job228_scenario0_423,notAssignedYet,423,notAssignedYet,long_waiting_time,
1644417506,467,job230_scenario0_426,notAssignedYet,426,notAssignedYet,long_waiting_time,
1644417506,479,job237_scenario4_438,notAssignedYet,438,notAssignedYet,long_waiting_time,
1644417507,492,job241_scenario0_451,notAssignedYet,451,notAssignedYet,long_waiting_time,
1644417508,507,job249_scenario0_466,notAssignedYet,466,notAssignedYet,long_waiting_time,
1644417508,508,job250_scenario0_467,notAssignedYet,467,notAssignedYet,long_waiting_time,
1644417508,511,job252_scenario0_470,notAssignedYet,470,notAssignedYet,long_waiting_time,
1644417508,521,job259_scenario1_480,notAssignedYet,480,notAssignedYet,long_waiting_time,
1644417508,522,job260_scenario0_481,notAssignedYet,481,notAssignedYet,long_waiting_time,
1644417508,525,job261_scenario0_484,notAssignedYet,484,notAssignedYet,long_waiting_time,
1644417508,527,job263_scenario2_486,notAssignedYet,486,notAssignedYet,long_waiting_time,
1644417508,530,job265_scenario0_489,notAssignedYet,489,notAssignedYet,long_waiting_time,
1644417509,547,job273_scenario1_506,notAssignedYet,506,notAssignedYet,long_waiting_time,
1644417509,550,job275_scenario1_509,notAssignedYet,509,notAssignedYet,long_waiting_time,
1644417509,552,job276_scenario0_511,notAssignedYet,511,notAssignedYet,long_waiting_time,
1644417509,557,job280_scenario1_516,notAssignedYet,516,notAssignedYet,long_waiting_time,
1644417509,560,job281_scenario0_519,notAssignedYet,519,notAssignedYet,long_waiting_time,
1644417510,591,job293_scenario0_550,notAssignedYet,550,notAssignedYet,long_waiting_time,
1644417511,595,job296_scenario0_554,notAssignedYet,554,notAssignedYet,long_waiting_time,
1644417511,599,job298_scenario0_558,notAssignedYet,558,notAssignedYet,long_waiting_time,
1644417511,608,job303_scenario0_567,notAssignedYet,567,notAssignedYet,long_waiting_time,
1644417511,618,job307_scenario0_577,notAssignedYet,577,notAssignedYet,long_waiting_time,
1644417511,620,job309_scenario2_579,notAssignedYet,579,notAssignedYet,long_waiting_time,
1644417511,622,job311_scenario1_581,notAssignedYet,581,notAssignedYet,long_waiting_time,
1644417511,630,job314_scenario0_589,notAssignedYet,589,notAssignedYet,long_waiting_time,
1644417512,633,job316_scenario0_592,notAssignedYet,592,notAssignedYet,long_waiting_time,
1644417512,635,job317_scenario2_594,notAssignedYet,594,notAssignedYet,long_waiting_time,
1644417512,644,job322_scenario0_603,notAssignedYet,603,notAssignedYet,long_waiting_time,
1644417512,650,job326_scenario0_609,notAssignedYet,609,notAssignedYet,long_waiting_time,
1644417513,664,job333_scenario0_623,notAssignedYet,623,notAssignedYet,long_waiting_time,
1644417513,678,job338_scenario0_637,notAssignedYet,637,notAssignedYet,long_waiting_time,
1644417513,681,job339_scenario0_640,notAssignedYet,640,notAssignedYet,long_waiting_time,
1644417514,684,job341_scenario0_643,notAssignedYet,643,notAssignedYet,long_waiting_time,
1644417514,694,job347_scenario0_653,notAssignedYet,653,notAssignedYet,long_waiting_time,
1644417514,705,job353_scenario1_664,notAssignedYet,664,notAssignedYet,long_waiting_time,
1644417515,707,job355_scenario0_666,notAssignedYet,666,notAssignedYet,long_waiting_time,
1644417515,722,job363_scenario0_681,notAssignedYet,681,notAssignedYet,long_waiting_time,
1644417516,733,job365_scenario2_692,notAssignedYet,692,notAssignedYet,long_waiting_time,
1644417516,736,job367_scenario2_695,notAssignedYet,695,notAssignedYet,long_waiting_time,
1644417518,795,job386_scenario0_754,notAssignedYet,754,notAssignedYet,long_waiting_time,
1644417519,814,job394_scenario1_773,notAssignedYet,773,notAssignedYet,long_waiting_time,
1644417519,816,job395_scenario2_775,notAssignedYet,775,notAssignedYet,long_waiting_time,
1644417519,819,job397_scenario0_778,notAssignedYet,778,notAssignedYet,long_waiting_time,
1644417521,841,job406_scenario2_800,notAssignedYet,800,notAssignedYet,long_waiting_time,
1644417522,846,job410_scenario2_805,notAssignedYet,805,notAssignedYet,long_waiting_time,
1644417522,850,job411_scenario1_809,notAssignedYet,809,notAssignedYet,long_waiting_time,
1644417523,858,job418_scenario0_817,notAssignedYet,817,notAssignedYet,long_waiting_time,
1644417526,877,job428_scenario0_836,notAssignedYet,836,notAssignedYet,long_waiting_time,
1644417526,884,job432_scenario0_843,notAssignedYet,843,notAssignedYet,long_waiting_time,
1644417528,902,job439_scenario0_861,notAssignedYet,861,notAssignedYet,long_waiting_time,
1644417530,912,job443_scenario0_871,notAssignedYet,871,notAssignedYet,long_waiting_time,
1644417532,924,job448_scenario0_883,notAssignedYet,883,notAssignedYet,long_waiting_time,
1644417536,942,job457_scenario0_901,notAssignedYet,901,notAssignedYet,long_waiting_time,
1644417537,948,job459_scenario0_907,notAssignedYet,907,notAssignedYet,long_waiting_time,
1644417538,953,job463_scenario0_912,notAssignedYet,912,notAssignedYet,long_waiting_time,
1644417539,955,job465_scenario0_914,notAssignedYet,914,notAssignedYet,long_waiting_time,
1644417539,957,job466_scenario0_916,notAssignedYet,916,notAssignedYet,long_waiting_time,
1644417542,973,job473_scenario0_932,notAssignedYet,932,notAssignedYet,long_waiting_time,
1644417543,974,job474_scenario0_933,notAssignedYet,933,notAssignedYet,long_waiting_time,
1644417543,975,job475_scenario0_934,notAssignedYet,934,notAssignedYet,long_waiting_time,
