RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644417480,67,job11_scenario0_26,notAssignedYet,26,notAssignedYet,long_waiting_time,
1644417483,101,job27_scenario0_60,notAssignedYet,60,notAssignedYet,long_waiting_time,
1644417483,108,job31_scenario0_67,notAssignedYet,67,notAssignedYet,long_waiting_time,
1644417483,109,job32_scenario2_68,notAssignedYet,68,notAssignedYet,long_waiting_time,
1644417483,113,job35_scenario0_72,notAssignedYet,72,notAssignedYet,long_waiting_time,
1644417484,121,job39_scenario0_80,notAssignedYet,80,notAssignedYet,long_waiting_time,
1644417484,128,job42_scenario0_87,notAssignedYet,87,notAssignedYet,long_waiting_time,
1644417485,135,job47_scenario0_94,notAssignedYet,94,notAssignedYet,long_waiting_time,
1644417486,140,job50_scenario1_99,notAssignedYet,99,notAssignedYet,long_waiting_time,
1644417486,142,job51_scenario0_101,notAssignedYet,101,notAssignedYet,long_waiting_time,
1644417486,145,job54_scenario0_104,notAssignedYet,104,notAssignedYet,long_waiting_time,
1644417487,154,job59_scenario0_113,notAssignedYet,113,notAssignedYet,long_waiting_time,
1644417487,160,job61_scenario0_119,notAssignedYet,119,notAssignedYet,long_waiting_time,
1644417487,164,job62_scenario0_123,notAssignedYet,123,notAssignedYet,long_waiting_time,
1644417488,169,job65_scenario0_128,notAssignedYet,128,notAssignedYet,long_waiting_time,
1644417490,191,job76_scenario1_150,notAssignedYet,150,notAssignedYet,long_waiting_time,
1644417490,193,job78_scenario0_152,notAssignedYet,152,notAssignedYet,long_waiting_time,
1644417490,195,job79_scenario1_154,notAssignedYet,154,notAssignedYet,long_waiting_time,
1644417491,208,job90_scenario0_167,notAssignedYet,167,notAssignedYet,long_waiting_time,
1644417491,209,job91_scenario0_168,notAssignedYet,168,notAssignedYet,long_waiting_time,
1644417491,215,job94_scenario0_174,notAssignedYet,174,notAssignedYet,long_waiting_time,
1644417492,223,job97_scenario0_182,notAssignedYet,182,notAssignedYet,long_waiting_time,
1644417492,226,job98_scenario0_185,notAssignedYet,185,notAssignedYet,long_waiting_time,
1644417492,231,job99_scenario0_190,notAssignedYet,190,notAssignedYet,long_waiting_time,
1644417492,235,job100_scenario0_194,notAssignedYet,194,notAssignedYet,long_waiting_time,
1644417493,239,job102_scenario0_198,notAssignedYet,198,notAssignedYet,long_waiting_time,
1644417493,240,job103_scenario0_199,notAssignedYet,199,notAssignedYet,long_waiting_time,
1644417493,243,job105_scenario0_202,notAssignedYet,202,notAssignedYet,long_waiting_time,
