RecordTimeStamp,SystemTick,AssignmentTick,JobId,WorkerId,JobArrivalTime,JobTime,FreeWorkersCount
1644417478,0,1,job0_scenario1_0,B14,0,10,3,
1644417478,4,5,job1_scenario1_4,B11,4,13,2,
1644417478,7,8,job2_scenario2_7,in27,7,12,1,
1644417478,11,12,job3_scenario1_9,B14,9,8,1,
1644417478,18,19,job4_scenario1_11,B11,11,10,1,
1644417478,20,21,job6_scenario1_18,B14,18,9,2,
1644417478,20,21,job8_scenario1_20,in27,20,16,1,
1644417478,29,30,job10_scenario4_24,B11,24,7,1,
1644417479,30,31,job9_scenario1_22,B14,22,9,1,
1644417479,37,38,job15_scenario4_34,B11,34,3,2,
1644417479,37,38,job13_scenario1_32,in27,32,14,1,
1644417479,40,41,job14_scenario2_33,B14,33,6,1,
1644417479,41,42,job18_scenario3_40,B11,40,6,1,
1644417479,47,48,job17_scenario2_37,B14,37,3,1,
1644417479,48,49,job20_scenario3_47,B11,47,6,1,
1644417480,51,52,job21_scenario1_49,B14,49,8,1,
1644417480,52,53,job22_scenario1_52,in27,52,9,1,
1644417480,55,56,job23_scenario1_54,B11,54,10,1,
1644417480,60,61,job19_scenario2_43,B14,43,2,1,
1644417480,62,63,job26_scenario4_59,in27,59,6,1,
1644417480,63,64,job12_scenario1_31,B14,31,3,1,
1644417480,66,67,job30_scenario4_66,B11,66,9,1,
1644417480,67,68,job29_scenario2_65,B14,65,1,1,
1644417480,69,70,job32_scenario2_68,B14,68,5,2,
1644417480,69,70,job25_scenario1_56,in27,56,10,1,
1644417480,75,76,job34_scenario3_70,B14,70,6,1,
1644417480,76,77,job33_scenario4_69,B11,69,4,1,
1644417480,80,81,job38_scenario1_78,in27,78,12,1,
1644417480,81,82,job24_scenario1_55,B11,55,10,1,
1644417480,82,83,job40_scenario3_82,B14,82,5,1,
1644417481,88,89,job41_scenario1_86,B14,86,7,1,
1644417481,92,93,job43_scenario4_88,B11,88,3,1,
1644417481,93,94,job46_scenario2_93,in27,93,15,1,
1644417481,96,97,job49_scenario4_96,B11,96,5,2,
1644417481,96,97,job48_scenario2_95,B14,95,5,1,
1644417481,102,103,job52_scenario2_102,B14,102,5,2,
1644417481,102,103,job45_scenario1_91,B11,91,8,1,
1644417481,108,109,job55_scenario4_105,B14,105,4,1,
1644417482,109,110,job44_scenario1_89,in27,89,17,1,
1644417482,111,112,job58_scenario3_111,B11,111,5,1,
1644417482,113,114,job56_scenario1_108,B14,108,9,1,
1644417482,117,118,job53_scenario1_103,B11,103,6,1,
1644417483,123,124,job60_scenario3_118,B14,118,3,1,
1644417483,124,125,job63_scenario1_124,B11,124,11,1,
1644417483,127,128,job64_scenario2_127,B14,127,3,2,
1644417483,127,128,job57_scenario2_110,in27,110,14,1,
1644417484,131,132,job50_scenario1_99,B14,99,8,1,
1644417484,136,137,job67_scenario4_135,B11,135,4,1,
1644417484,140,141,job68_scenario3_138,B14,138,5,1,
1644417484,141,142,job69_scenario3_139,B11,139,6,1,
1644417484,142,143,job66_scenario1_133,in27,133,13,1,
1644417484,146,147,job73_scenario1_146,B14,146,3,1,
1644417485,148,149,job75_scenario4_148,B11,148,7,1,
1644417485,150,151,job72_scenario3_144,B14,144,9,1,
1644417485,156,157,job71_scenario1_142,B11,142,10,2,
1644417485,156,157,job74_scenario1_147,in27,147,14,1,
1644417486,160,161,job83_scenario3_159,B14,159,4,1,
1644417486,165,166,job77_scenario2_151,B14,151,3,1,
1644417486,167,168,job89_scenario3_166,B11,166,1,1,
1644417486,169,170,job85_scenario1_161,B11,161,12,2,
1644417486,169,170,job70_scenario1_141,B14,141,7,1,
1644417486,171,172,job92_scenario3_171,in27,171,5,1,
1644417487,177,178,job95_scenario3_175,B14,175,6,2,
1644417487,177,178,job93_scenario1_172,in27,172,11,1,
1644417487,182,183,job86_scenario1_162,B11,162,9,1,
1644417487,184,185,job79_scenario1_154,B14,154,5,1,
1644417487,189,190,job82_scenario1_158,in27,158,14,1,
1644417487,190,191,job81_scenario2_157,B14,157,3,1,
1644417487,192,193,job96_scenario1_180,B11,180,11,1,
1644417488,194,195,job87_scenario1_163,B14,163,6,1,
1644417488,201,202,job101_scenario3_195,B14,195,3,1,
1644417488,204,205,job106_scenario1_203,B11,203,12,2,
1644417488,204,205,job88_scenario1_165,in27,165,11,1,
1644417488,205,206,job104_scenario1_200,B14,200,8,1,
1644417489,214,215,job109_scenario2_206,B14,206,3,1,
1644417489,216,217,job111_scenario2_208,in27,208,12,1,
1644417489,217,218,job108_scenario1_205,B11,205,9,1,
1644417489,218,219,job110_scenario2_207,B14,207,2,1,
1644417489,221,222,job117_scenario1_219,B14,219,7,1,
1644417490,227,228,job121_scenario4_227,B11,227,7,1,
1644417490,229,230,job112_scenario2_211,B14,211,6,2,
1644417490,229,230,job116_scenario1_218,in27,218,11,1,
1644417490,235,236,job123_scenario2_233,B11,233,7,1,
1644417490,236,237,job115_scenario1_217,B14,217,8,1,
1644417491,241,242,job126_scenario3_240,in27,240,4,1,
1644417491,243,244,job124_scenario1_238,B11,238,12,1,
1644417491,245,246,job127_scenario2_242,B14,242,6,1,
1644417491,246,247,job118_scenario1_220,in27,220,13,1,
1644417491,252,253,job128_scenario2_246,B14,246,8,1,
1644417491,256,257,job130_scenario2_248,B11,248,14,1,
1644417492,260,261,job135_scenario2_259,in27,259,13,1,
1644417492,261,262,job133_scenario2_254,B14,254,3,1,
1644417492,265,266,job120_scenario1_226,B14,226,8,1,
1644417492,271,272,job140_scenario3_269,B11,269,3,1,
1644417492,274,275,job138_scenario2_267,B14,267,5,2,
1644417492,274,275,job141_scenario1_271,in27,271,11,1,
1644417493,275,276,job125_scenario1_239,B11,239,11,1,
1644417493,280,281,job146_scenario4_280,B14,280,8,1,
1644417493,286,287,job144_scenario2_278,in27,278,11,1,
1644417493,287,288,job145_scenario1_279,B11,279,10,1,
1644417493,289,290,job148_scenario3_288,B14,288,4,1,
1644417493,294,295,job151_scenario2_293,B14,293,4,1,
1644417493,298,299,job153_scenario3_298,B11,298,3,2,
1644417493,298,299,job150_scenario4_291,in27,291,10,1,
1644417493,299,300,job152_scenario2_296,B14,296,5,1,
1644417493,302,303,job143_scenario1_274,B11,274,9,1,
1644417494,305,306,job157_scenario2_304,B14,304,2,1,
1644417494,308,309,job156_scenario4_303,B14,303,5,1,
1644417494,309,310,job159_scenario3_306,in27,306,9,1,
1644417494,312,313,job162_scenario3_309,B11,309,8,1,
1644417494,314,315,job160_scenario2_307,B14,307,3,1,
1644417494,318,319,job167_scenario2_316,B14,316,5,1,
1644417495,319,320,job166_scenario4_314,in27,314,6,1,
1644417495,321,322,job164_scenario3_312,B11,312,4,1,
1644417495,324,325,job170_scenario2_321,B14,321,5,1,
1644417495,326,327,job173_scenario3_325,B11,325,3,2,
1644417495,326,327,job158_scenario1_305,in27,305,12,1,
1644417495,330,331,job174_scenario2_327,B14,327,7,2,
1644417496,330,331,job165_scenario4_313,B11,313,5,1,
1644417496,336,337,job176_scenario1_330,B11,330,6,1,
1644417496,338,339,job172_scenario2_324,B14,324,5,1,
1644417496,339,340,job180_scenario2_335,in27,335,14,1,
1644417496,343,344,job181_scenario3_337,B11,337,7,1,
1644417496,344,345,job182_scenario2_339,B14,339,5,1,
1644417497,350,351,job187_scenario3_346,B14,346,5,1,
1644417497,351,352,job188_scenario3_347,B11,347,5,1,
1644417497,354,355,job177_scenario1_332,in27,332,10,1,
1644417497,356,357,job185_scenario2_343,B14,343,8,1,
1644417497,357,358,job192_scenario1_356,B11,356,8,1,
1644417497,365,366,job195_scenario3_360,in27,360,3,2,
1644417497,365,366,job196_scenario2_361,B14,361,5,1,
1644417497,366,367,job193_scenario1_357,B11,357,10,1,
1644417497,369,370,job200_scenario1_368,in27,368,9,1,
1644417498,371,372,job179_scenario1_334,B14,334,6,1,
1644417498,377,378,job203_scenario4_373,B11,373,1,1,
1644417498,378,379,job204_scenario1_374,B14,374,5,1,
1644417498,379,380,job202_scenario4_372,in27,372,9,2,
1644417498,379,380,job194_scenario1_359,B11,359,9,1,
1644417498,384,385,job208_scenario3_383,B14,383,6,1,
1644417499,389,390,job210_scenario4_387,in27,387,9,2,
1644417499,389,390,job207_scenario4_381,B11,381,3,1,
1644417499,391,392,job209_scenario1_386,B14,386,7,1,
1644417499,393,394,job191_scenario1_355,B11,355,12,1,
1644417499,399,400,job214_scenario2_396,B14,396,4,2,
1644417499,399,400,job215_scenario3_398,in27,398,3,1,
1644417500,403,404,job217_scenario3_402,in27,402,7,1,
1644417500,404,405,job216_scenario1_400,B14,400,8,1,
1644417500,406,407,job219_scenario4_404,B11,404,7,1,
1644417500,411,412,job201_scenario1_371,in27,371,11,1,
1644417500,413,414,job212_scenario1_392,B14,392,9,1,
1644417500,414,415,job223_scenario1_411,B11,411,8,1,
1644417500,423,424,job225_scenario2_415,B14,415,4,3,
1644417500,423,424,job226_scenario3_419,B11,419,3,2,
1644417500,423,424,job227_scenario3_421,in27,421,7,1,
1644417500,427,428,job221_scenario1_407,B11,407,10,1,
1644417501,428,429,job231_scenario2_427,B14,427,4,1,
1644417501,431,432,job233_scenario3_430,in27,430,4,1,
1644417501,433,434,job229_scenario2_424,B14,424,3,1,
1644417501,436,437,job234_scenario3_432,in27,432,7,1,
1644417501,437,438,job235_scenario2_435,B14,435,10,1,
1644417501,438,439,job237_scenario4_438,B11,438,2,1,
