tickNumber,in27,B14,B11,cn12,B54,
0,,,,,|0_0_4_0_,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,|4_4_4_1_,
5,,,,,,
6,,,,,,
7,,|7_7_1_2_,,,,
8,,,,,,
9,,,,,|9_9_4_3_,
10,,,,,,
11,,,,,|11_11_4_4_,
12,,,,,,
13,,,,,,
14,,,,,,
15,|15_15_0_5_,,,,,
16,,,,,,
17,,,,,,
18,,,,,|18_18_4_6_,
19,,,,,|19_19_4_7_,
20,,,,,|20_20_4_8_,
21,,,,,,
22,,,,,|22_22_4_9_,
23,,,,,,
24,,,|24_24_2_10_,,,
25,,,,,,
26,,,,|26_26_3_11_,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,|31_31_4_12_,
32,,,,,,
33,,,,,,
34,,,|34_34_2_15_,,,
35,,,,|35_35_3_16_,,
36,,,,,,
37,,|33_37_1_14_,,,,
38,,,,,,
39,,|37_39_1_17_,,,,
40,,,|40_40_2_18_,,,
41,,,,,,
42,,,,,,
43,,|43_43_1_19_,,,,
44,,,,,,
45,,,,,|32_45_4_13_,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,|49_49_4_21_,
50,,,,,,
51,,,,,,
52,,,,,|52_52_4_22_,
53,,,,,,
54,,,,,|54_54_4_23_,
55,,,,,|55_55_4_24_,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,|59_59_2_26_,,,
60,|60_60_0_27_,,,,,
61,,,,,|61_61_4_28_,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,|65_66_1_29_,,,,
67,,,|47_67_2_20_,,,
68,,|68_68_1_32_,,,,
69,,,,,,
70,,,,,,
71,,,|69_71_2_33_,,,
72,|72_72_0_35_,,,,,
73,,,,|67_73_3_31_,|56_73_4_25_,
74,,,,,|73_74_4_36_,
75,,,,,|74_75_4_37_,
76,,,|70_76_2_34_,,,
77,,,,,,
78,,,|66_78_2_30_,|78_78_3_38_,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,|80_83_0_39_,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,|86_87_4_41_,
88,|87_88_0_42_,,,,,
89,,,|88_89_2_43_,,,
90,,,,,|89_90_4_44_,
91,,,,,,
92,,,,,|91_92_4_45_,
93,,,,,,
94,,|94_94_1_47_,,,,
95,,,,,,
96,,|95_96_1_48_,,,,
97,,,|82_97_2_40_,,,
98,,,,,,
99,,,,,,
