RecordTimeStamp,SystemTick,AssignmentTick,JobId,WorkerId,JobArrivalTime,JobTime,FreeWorkersCount
1644418146,0,1,job0_scenario1_0,B54,0,5,5,
1644418147,7,8,job1_scenario1_4,B54,4,6,5,
1644418147,7,8,job2_scenario2_7,B14,7,5,4,
1644418148,14,15,job3_scenario1_9,B14,9,8,5,
1644418148,14,15,job4_scenario1_11,B54,11,6,4,
1644418148,18,19,job6_scenario1_18,in27,18,11,3,
1644418148,20,21,job5_scenario0_15,B11,15,23,2,
1644418148,22,23,job7_scenario1_19,cn12,19,20,2,
1644418148,22,23,job8_scenario1_20,B54,20,1,1,
1644418148,24,25,job10_scenario4_24,B54,24,2,2,
1644418149,24,25,job9_scenario1_22,B14,22,9,1,
1644418149,28,29,job11_scenario0_26,B54,26,12,1,
1644418149,32,33,job13_scenario1_32,in27,32,14,1,
1644418149,34,35,job14_scenario2_33,B14,33,6,1,
1644418150,42,43,job15_scenario4_34,B54,34,5,2,
1644418150,42,43,job17_scenario2_37,B14,37,3,1,
1644418150,44,45,job18_scenario3_40,B11,40,6,2,
1644418150,47,48,job12_scenario1_31,in27,31,13,3,
1644418150,47,48,job19_scenario2_43,B14,43,2,2,
1644418150,49,50,job20_scenario3_47,cn12,47,13,2,
1644418150,49,50,job21_scenario1_49,B54,49,5,1,
1644418150,52,53,job16_scenario1_35,B14,35,7,2,
1644418150,54,55,job23_scenario1_54,B11,54,10,1,
1644418150,55,56,job24_scenario1_55,B54,55,6,1,
1644418150,60,61,job27_scenario0_60,B14,60,19,1,
1644418150,61,62,job22_scenario1_52,in27,52,9,1,
1644418151,63,64,job28_scenario1_61,cn12,61,19,2,
1644418151,63,64,job25_scenario1_56,B54,56,6,1,
1644418151,65,66,job26_scenario4_59,B11,59,2,1,
1644418151,68,69,job30_scenario4_66,B11,66,9,1,
1644418151,70,71,job29_scenario2_65,B54,65,6,1,
1644418151,72,73,job31_scenario0_67,in27,67,27,1,
1644418151,78,79,job33_scenario4_69,B11,69,4,2,
1644418151,78,79,job37_scenario1_74,B54,74,8,1,
1644418151,80,81,job32_scenario2_68,B14,68,5,1,
1644418151,84,85,job40_scenario3_82,B11,82,1,2,
1644418152,84,85,job34_scenario3_70,cn12,70,6,1,
1644418152,86,87,job41_scenario1_86,B11,86,8,2,
1644418152,86,87,job35_scenario0_72,B14,72,17,1,
1644418152,87,88,job38_scenario1_78,B54,78,5,1,
1644418152,91,92,job36_scenario1_73,cn12,73,23,1,
1644418152,93,94,job39_scenario0_80,B54,80,14,1,
1644418152,95,96,job43_scenario4_88,B11,88,3,1,
1644418152,99,100,job49_scenario4_96,B11,96,5,1,
1644418152,101,102,job42_scenario0_87,in27,87,25,1,
1644418152,104,105,job48_scenario2_95,B14,95,5,1,
1644418152,105,106,job45_scenario1_91,B11,91,8,1,
1644418153,108,109,job50_scenario1_99,B54,99,7,1,
1644418153,110,111,job46_scenario2_93,B14,93,5,1,
1644418153,115,116,job53_scenario1_103,cn12,103,22,2,
1644418153,115,116,job55_scenario4_105,B11,105,3,1,
1644418153,117,118,job56_scenario1_108,B14,108,9,2,
1644418153,117,118,job51_scenario0_101,B54,101,13,1,
1644418153,119,120,job54_scenario0_104,B11,104,21,1,
1644418153,127,128,job60_scenario3_118,B14,118,3,2,
1644418153,127,128,job57_scenario2_110,in27,110,14,1,
1644418154,132,133,job61_scenario0_119,B14,119,17,2,
1644418154,132,133,job59_scenario0_113,B54,113,19,1,
1644418154,138,139,job67_scenario4_135,cn12,135,10,1,
1644418154,141,142,job63_scenario1_124,B11,124,11,1,
1644418154,142,143,job66_scenario1_133,in27,133,13,1,
1644418154,150,151,job68_scenario3_138,B14,138,5,2,
1644418154,150,151,job72_scenario3_144,cn12,144,11,1,
1644418155,152,153,job70_scenario1_141,B54,141,3,1,
1644418155,154,155,job75_scenario4_148,B11,148,7,1,
1644418155,156,157,job73_scenario1_146,B14,146,3,3,
1644418155,156,157,job77_scenario2_151,B54,151,6,2,
1644418155,156,157,job74_scenario1_147,in27,147,14,1,
1644418155,160,161,job79_scenario1_154,B14,154,5,1,
1644418155,162,163,job71_scenario1_142,B11,142,10,2,
1644418155,162,163,job76_scenario1_150,cn12,150,20,1,
1644418155,163,164,job80_scenario1_156,B54,156,8,1,
1644418155,166,167,job78_scenario0_152,B14,152,18,1,
1644418156,171,172,job83_scenario3_159,in27,159,4,1,
1644418156,172,173,job81_scenario2_157,B54,157,5,1,
1644418156,174,175,job85_scenario1_161,B11,161,12,1,
1644418156,177,178,job82_scenario1_158,in27,158,14,1,
1644418156,179,180,job88_scenario1_165,B54,165,3,1,
1644418156,184,185,job91_scenario0_168,B54,168,13,2,
1644418156,184,185,job92_scenario3_171,cn12,171,9,1,
1644418156,185,186,job95_scenario3_175,B14,175,6,1,
1644418156,188,189,job96_scenario1_180,B11,180,11,1,
1644418157,193,194,job97_scenario0_182,in27,182,24,2,
1644418157,193,194,job98_scenario0_185,B14,185,18,1,
1644418157,194,195,job100_scenario0_194,cn12,194,55,1,
1644418157,198,199,job99_scenario0_190,B54,190,12,1,
1644418157,200,201,job101_scenario3_195,B11,195,2,1,
1644418157,203,204,job106_scenario1_203,B11,203,12,1,
1644418157,211,212,job104_scenario1_200,B54,200,1,1,
1644418157,212,213,job110_scenario2_207,B14,207,2,1,
1644418157,213,214,job103_scenario0_199,B54,199,12,1,
1644418157,216,217,job108_scenario1_205,B11,205,9,2,
1644418158,216,217,job111_scenario2_208,B14,208,7,1,
1644418158,218,219,job107_scenario0_204,in27,204,25,1,
1644418158,225,226,job109_scenario2_206,B14,206,3,1,
1644418158,226,227,job117_scenario1_219,B54,219,10,2,
1644418158,226,227,job113_scenario0_212,B11,212,19,1,
1644418158,230,231,job116_scenario1_218,B14,218,7,1,
1644418158,238,239,job120_scenario1_226,B54,226,6,2,
1644418158,238,239,job123_scenario2_233,B14,233,3,1,
1644418159,242,243,job119_scenario1_225,B14,225,6,1,
1644418159,245,246,job121_scenario4_227,in27,227,7,2,
1644418159,245,246,job122_scenario0_231,B54,231,11,1,
1644418159,246,247,job126_scenario3_240,B11,240,3,1,
1644418159,249,250,job128_scenario2_246,B14,246,8,1,
1644418159,251,252,job127_scenario2_242,cn12,242,18,2,
1644418159,251,252,job125_scenario1_239,B11,239,11,1,
1644418159,254,255,job129_scenario0_247,in27,247,22,1,
1644418159,258,259,job130_scenario2_248,B14,248,5,2,
1644418159,258,259,job133_scenario2_254,B54,254,4,1,
1644418159,264,265,job131_scenario0_249,B11,249,20,3,
1644418159,264,265,job137_scenario1_264,B14,264,7,2,
1644418159,264,265,job134_scenario1_256,B54,256,7,1,
1644418160,271,272,job140_scenario3_269,cn12,269,13,1,
1644418160,273,274,job138_scenario2_267,B14,267,5,2,
1644418160,273,274,job139_scenario1_268,B54,268,4,1,
1644418160,278,279,job142_scenario0_273,B54,273,13,2,
