RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644418382,89,job32_scenario2_68,notAssignedYet,68,notAssignedYet,long_waiting_time,
1644418382,93,job35_scenario0_72,notAssignedYet,72,notAssignedYet,long_waiting_time,
1644418383,115,job47_scenario0_94,notAssignedYet,94,notAssignedYet,long_waiting_time,
1644418383,122,job51_scenario0_101,notAssignedYet,101,notAssignedYet,long_waiting_time,
1644418385,149,job65_scenario0_128,notAssignedYet,128,notAssignedYet,long_waiting_time,
1644418386,168,job74_scenario1_147,notAssignedYet,147,notAssignedYet,long_waiting_time,
1644418386,173,job78_scenario0_152,notAssignedYet,152,notAssignedYet,long_waiting_time,
1644418387,195,job94_scenario0_174,notAssignedYet,174,notAssignedYet,long_waiting_time,
1644418388,211,job99_scenario0_190,notAssignedYet,190,notAssignedYet,long_waiting_time,
1644418388,215,job100_scenario0_194,notAssignedYet,194,notAssignedYet,long_waiting_time,
1644418388,219,job102_scenario0_198,notAssignedYet,198,notAssignedYet,long_waiting_time,
1644418388,220,job103_scenario0_199,notAssignedYet,199,notAssignedYet,long_waiting_time,
1644418388,223,job105_scenario0_202,notAssignedYet,202,notAssignedYet,long_waiting_time,
1644418389,225,job107_scenario0_204,notAssignedYet,204,notAssignedYet,long_waiting_time,
1644418389,233,job113_scenario0_212,notAssignedYet,212,notAssignedYet,long_waiting_time,
1644418389,234,job114_scenario0_213,notAssignedYet,213,notAssignedYet,long_waiting_time,
1644418394,329,job161_scenario0_308,notAssignedYet,308,notAssignedYet,long_waiting_time,
1644418394,331,job163_scenario0_310,notAssignedYet,310,notAssignedYet,long_waiting_time,
1644418395,341,job169_scenario0_320,notAssignedYet,320,notAssignedYet,long_waiting_time,
1644418395,345,job172_scenario2_324,notAssignedYet,324,notAssignedYet,long_waiting_time,
1644418395,350,job175_scenario0_329,notAssignedYet,329,notAssignedYet,long_waiting_time,
1644418396,369,job189_scenario0_348,notAssignedYet,348,notAssignedYet,long_waiting_time,
1644418396,376,job191_scenario1_355,notAssignedYet,355,notAssignedYet,long_waiting_time,
1644418398,414,job213_scenario0_393,notAssignedYet,393,notAssignedYet,long_waiting_time,
1644418401,488,job250_scenario0_467,notAssignedYet,467,notAssignedYet,long_waiting_time,
1644418402,505,job261_scenario0_484,notAssignedYet,484,notAssignedYet,long_waiting_time,
1644418402,510,job265_scenario0_489,notAssignedYet,489,notAssignedYet,long_waiting_time,
1644418405,598,job307_scenario0_577,notAssignedYet,577,notAssignedYet,long_waiting_time,
1644418407,661,job339_scenario0_640,notAssignedYet,640,notAssignedYet,long_waiting_time,
1644418408,664,job341_scenario0_643,notAssignedYet,643,notAssignedYet,long_waiting_time,
1644418408,674,job347_scenario0_653,notAssignedYet,653,notAssignedYet,long_waiting_time,
1644418408,687,job355_scenario0_666,notAssignedYet,666,notAssignedYet,long_waiting_time,
1644418415,935,job465_scenario0_914,notAssignedYet,914,notAssignedYet,long_waiting_time,
1644418415,937,job466_scenario0_916,notAssignedYet,916,notAssignedYet,long_waiting_time,
1644418415,953,job473_scenario0_932,notAssignedYet,932,notAssignedYet,long_waiting_time,
1644418416,955,job475_scenario0_934,notAssignedYet,934,notAssignedYet,long_waiting_time,
1644418416,988,job490_scenario0_967,notAssignedYet,967,notAssignedYet,long_waiting_time,
1644418418,1053,job516_scenario0_1032,notAssignedYet,1032,notAssignedYet,long_waiting_time,
1644418418,1054,job517_scenario0_1033,notAssignedYet,1033,notAssignedYet,long_waiting_time,
1644418419,1103,job536_scenario0_1082,notAssignedYet,1082,notAssignedYet,long_waiting_time,
1644418420,1120,job545_scenario0_1099,notAssignedYet,1099,notAssignedYet,long_waiting_time,
1644418420,1125,job548_scenario0_1104,notAssignedYet,1104,notAssignedYet,long_waiting_time,
