RecordTimeStamp,SystemTick,AssignmentTick,JobId,WorkerId,JobArrivalTime,JobTime,FreeWorkersCount
1644417518,0,1,job0_scenario1_0,B54,0,5,4,
1644417518,4,5,job1_scenario1_4,B11,4,13,3,
1644417519,9,10,job3_scenario1_9,B54,9,8,3,
1644417519,18,19,job6_scenario1_18,B54,18,6,4,
1644417519,20,21,job8_scenario1_20,cn12,20,21,3,
1644417519,22,23,job9_scenario1_22,B14,22,9,2,
1644417519,24,25,job10_scenario4_24,B11,24,7,1,
1644417520,31,32,job12_scenario1_31,B54,31,5,1,
1644417520,34,35,job15_scenario4_34,B11,34,3,2,
1644417520,35,36,job14_scenario2_33,B14,33,6,1,
1644417520,40,41,job18_scenario3_40,B11,40,6,2,
1644417521,43,44,job19_scenario2_43,B14,43,2,3,
1644417521,47,48,job20_scenario3_47,B11,47,6,4,
1644417521,49,50,job21_scenario1_49,B54,49,5,3,
1644417522,55,56,job23_scenario1_54,B54,54,8,4,
1644417522,59,60,job26_scenario4_59,B11,59,2,3,
1644417523,66,67,job27_scenario0_60,in27,60,26,4,
1644417523,68,69,job30_scenario4_66,B11,66,9,3,
1644417523,69,70,job29_scenario2_65,B14,65,1,2,
1644417524,72,73,job35_scenario0_72,cn12,72,56,2,
1644417525,77,78,job36_scenario1_73,B54,73,5,1,
1644417525,84,85,job38_scenario1_78,B54,78,5,2,
1644417526,88,89,job43_scenario4_88,B11,88,3,1,
1644417527,93,94,job46_scenario2_93,B14,93,5,3,
1644417527,94,95,job47_scenario0_94,B11,94,22,2,
1644417527,99,100,job44_scenario1_89,B54,89,3,2,
1644417528,102,103,job51_scenario0_101,in27,101,27,1,
1644417528,103,104,job53_scenario1_103,B54,103,6,1,
1644417528,107,108,job54_scenario0_104,B14,104,17,0,
1644417530,116,117,job58_scenario3_111,B11,111,5,1,
1644417531,118,119,job60_scenario3_118,B11,118,5,1,
1644417533,128,129,job63_scenario1_124,B54,124,6,2,
1644417533,131,132,job62_scenario0_123,in27,123,27,3,
1644417533,131,132,job65_scenario0_128,cn12,128,53,2,
1644417535,136,137,job64_scenario2_127,B14,127,3,2,
1644417536,142,143,job69_scenario3_139,B11,139,6,2,
1644417536,142,143,job71_scenario1_142,B54,142,4,1,
1644417537,146,147,job73_scenario1_146,B54,146,4,1,
1644417537,148,149,job75_scenario4_148,B11,148,7,2,
1644417537,148,149,job74_scenario1_147,B54,147,8,1,
1644417539,155,156,job76_scenario1_150,B54,150,5,2,
1644417540,157,158,job77_scenario2_151,B14,151,3,2,
1644417541,161,162,job81_scenario2_157,B14,157,3,3,
1644417541,164,165,job78_scenario0_152,in27,152,27,2,
1644417541,164,165,job67_scenario4_135,B11,135,4,1,
1644417542,166,167,job79_scenario1_154,B54,154,6,1,
1644417543,168,169,job84_scenario0_160,B14,160,20,0,
1644417543,171,172,job92_scenario3_171,B11,171,6,0,
1644417544,174,175,job88_scenario1_165,B54,165,3,0,
1644417545,180,181,job83_scenario3_159,B11,159,6,1,
1644417547,186,187,job93_scenario1_172,B54,172,5,1,
1644417548,192,193,job91_scenario0_168,in27,168,22,4,
1644417549,197,198,job100_scenario0_194,cn12,194,55,3,
1644417551,209,210,job111_scenario2_208,B14,208,7,2,
1644417552,210,211,job95_scenario3_175,B11,175,5,1,
1644417552,210,211,job108_scenario1_205,B54,205,8,0,
1644417553,217,218,job113_scenario0_212,in27,212,27,2,
1644417555,227,228,job119_scenario1_225,B54,225,5,2,
1644417556,231,232,job110_scenario2_207,B14,207,2,1,
1644417556,232,233,job118_scenario1_220,B54,220,7,1,
1644417557,233,234,job101_scenario3_195,B11,195,2,1,
1644417557,233,234,job117_scenario1_219,B54,219,10,0,
1644417557,235,236,job109_scenario2_206,B14,206,3,0,
1644417558,237,238,job107_scenario0_204,B11,204,18,0,
1644417560,245,246,job125_scenario1_239,B54,239,4,2,
1644417560,248,249,job129_scenario0_247,B14,247,14,1,
1644417562,256,257,job126_scenario3_240,B11,240,3,3,
1644417563,260,261,job124_scenario1_238,B54,238,6,3,
1644417563,263,264,job127_scenario2_242,B14,242,6,3,
1644417565,269,270,job123_scenario2_233,B14,233,3,4,
1644417565,270,271,job136_scenario0_262,B11,262,25,4,
1644417566,274,275,job135_scenario2_259,B14,259,6,3,
1644417568,284,285,job133_scenario2_254,B14,254,3,3,
1644417568,284,285,job134_scenario1_256,B54,256,7,2,
1644417569,293,294,job139_scenario1_268,B54,268,4,3,
1644417571,301,302,job153_scenario3_298,B11,298,3,4,
1644417572,302,303,job145_scenario1_279,B54,279,4,3,
1644417572,304,305,job148_scenario3_288,B11,288,2,3,
1644417572,306,307,job151_scenario2_293,B14,293,4,3,
1644417573,307,308,job142_scenario0_273,cn12,273,51,3,
1644417573,309,310,job159_scenario3_306,B11,306,3,2,
1644417574,311,312,job157_scenario2_304,B14,304,2,2,
1644417575,314,315,job166_scenario4_314,B11,314,4,3,
1644417575,316,317,job149_scenario1_290,B54,290,7,2,
1644417576,319,320,job165_scenario4_313,B11,313,5,2,
1644417577,325,326,job172_scenario2_324,B14,324,5,3,
1644417577,325,326,job156_scenario4_303,B11,303,4,2,
1644417578,328,329,job155_scenario1_301,B54,301,4,1,
1644417578,330,331,job169_scenario0_320,in27,320,24,1,
1644417579,334,335,job173_scenario3_325,B11,325,3,2,
1644417580,337,338,job179_scenario1_334,B54,334,4,1,
1644417580,339,340,job164_scenario3_312,B11,312,4,1,
1644417581,342,343,job170_scenario2_321,B14,321,5,1,
1644417581,342,343,job168_scenario1_317,B54,317,5,0,
1644417583,350,351,job177_scenario1_332,B54,332,4,2,
1644417584,356,357,job176_scenario1_330,B54,330,7,3,
1644417585,359,360,job180_scenario2_335,B14,335,9,3,
1644417585,359,360,job188_scenario3_347,B11,347,5,2,
1644417586,364,365,job190_scenario1_349,B54,349,6,2,
1644417588,372,373,job201_scenario1_371,B54,371,4,4,
1644417588,373,374,job189_scenario0_348,in27,348,27,3,
1644417588,374,375,job181_scenario3_337,B11,337,7,2,
1644417589,377,378,job182_scenario2_339,B14,339,5,2,
1644417590,379,380,job205_scenario1_377,B54,377,4,1,
1644417590,382,383,job184_scenario0_342,B14,342,20,2,
1644417591,384,385,job192_scenario1_356,B54,356,1,3,
1644417591,385,386,job202_scenario4_372,B11,372,4,2,
1644417591,385,386,job186_scenario0_345,B54,345,12,2,
1644417592,389,390,job195_scenario3_360,B11,360,6,3,
1644417593,392,393,job209_scenario1_386,B54,386,4,3,
1644417593,395,396,job191_scenario1_355,B14,355,7,2,
1644417594,398,399,job200_scenario1_368,B54,368,8,2,
1644417595,399,400,job208_scenario3_383,B11,383,4,1,
1644417597,411,412,job211_scenario0_391,cn12,391,51,4,
1644417597,412,413,job210_scenario4_387,B11,387,4,3,
1644417598,414,415,job214_scenario2_396,B14,396,4,2,
1644417598,416,417,job224_scenario1_413,B54,413,7,1,
1644417598,418,419,job207_scenario4_381,B11,381,3,1,
1644417600,424,425,job215_scenario3_398,B11,398,4,3,
1644417600,425,426,job213_scenario0_393,in27,393,25,2,
1644417600,426,427,job212_scenario1_392,B54,392,3,1,
1644417601,428,429,job228_scenario0_423,B14,423,17,0,
1644417602,431,432,job232_scenario4_428,B11,428,8,1,
1644417603,438,439,job216_scenario1_400,B54,400,4,0,
1644417603,439,440,job234_scenario3_432,B11,432,5,0,
1644417604,444,445,job222_scenario1_409,B54,409,8,1,
1644417606,454,455,job235_scenario2_435,B14,435,10,3,
1644417607,455,456,job233_scenario3_430,B11,430,2,2,
1644417608,460,461,job227_scenario3_421,B11,421,6,2,
1644417609,466,467,job236_scenario2_436,B14,436,2,3,
1644417609,466,467,job248_scenario3_464,B11,464,2,3,
