RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644417517,7,job2_scenario2_7,B14,7,7,Zt_prime=0,
1644417517,11,job4_scenario1_11,B54,11,11,worker_is_unavailable,
1644417518,15,job5_scenario0_15,B54,15,15,worker_is_unavailable,
1644417518,19,job7_scenario1_19,cn12,19,19,Zt_prime=0,
1644417518,20,job8_scenario1_20,B54,20,20,worker_is_unavailable,
1644417518,31,job12_scenario1_31,B54,31,31,Zt_prime=0,
1644417518,35,job14_scenario2_33,B14,33,35,Zt_prime=0,
1644417518,35,job16_scenario1_35,B54,35,35,worker_is_unavailable,
1644417519,52,job22_scenario1_52,B54,52,52,worker_is_unavailable,
1644417519,55,job23_scenario1_54,B54,54,55,worker_is_unavailable,
1644417520,69,job29_scenario2_65,B14,65,69,worker_is_unavailable,
1644417520,69,job33_scenario4_69,B11,69,69,worker_is_unavailable,
1644417521,73,job34_scenario3_70,B11,70,73,worker_is_unavailable,
1644417521,74,job35_scenario0_72,B14,72,74,worker_is_unavailable,
1644417521,74,job37_scenario1_74,B14,74,74,worker_is_unavailable,
1644417521,79,job32_scenario2_68,B14,68,79,worker_is_unavailable,
1644417522,87,job41_scenario1_86,B54,86,87,Zt_prime=0,
1644417522,88,job42_scenario0_87,in27,87,88,worker_is_unavailable,
1644417523,93,job44_scenario1_89,B54,89,93,worker_is_unavailable,
1644417524,100,job49_scenario4_96,B11,96,100,worker_is_unavailable,
1644417525,105,job48_scenario2_95,B14,95,105,worker_is_unavailable,
1644417525,106,job54_scenario0_104,B11,104,106,worker_is_unavailable,
1644417525,106,job53_scenario1_103,B54,103,106,worker_is_unavailable,
1644417525,110,job56_scenario1_108,B54,108,110,worker_is_unavailable,
1644417526,111,job57_scenario2_110,B14,110,111,worker_is_unavailable,
1644417526,111,job55_scenario4_105,B11,105,111,worker_is_unavailable,
1644417526,114,job52_scenario2_102,B14,102,114,worker_is_unavailable,
1644417527,119,job61_scenario0_119,B14,119,119,worker_is_unavailable,
1644417527,121,job58_scenario3_111,B11,111,121,worker_is_unavailable,
1644417527,124,job62_scenario0_123,cn12,123,124,worker_is_unavailable,
1644417528,128,job63_scenario1_124,B54,124,128,Zt_prime=0,
1644417530,142,job69_scenario3_139,B11,139,142,worker_is_unavailable,
1644417530,146,job68_scenario3_138,B11,138,146,worker_is_unavailable,
1644417531,148,job75_scenario4_148,B11,148,148,worker_is_unavailable,
1644417532,153,job66_scenario1_133,B54,133,153,worker_is_unavailable,
1644417536,167,job82_scenario1_158,B54,158,167,worker_is_unavailable,
