RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644417488,164,job62_scenario0_123,notAssignedYet,123,notAssignedYet,long_waiting_time,
1644417488,169,job65_scenario0_128,notAssignedYet,128,notAssignedYet,long_waiting_time,
1644417489,193,job78_scenario0_152,notAssignedYet,152,notAssignedYet,long_waiting_time,
1644417491,208,job90_scenario0_167,notAssignedYet,167,notAssignedYet,long_waiting_time,
1644417491,215,job94_scenario0_174,notAssignedYet,174,notAssignedYet,long_waiting_time,
1644417492,231,job99_scenario0_190,notAssignedYet,190,notAssignedYet,long_waiting_time,
1644417492,235,job100_scenario0_194,notAssignedYet,194,notAssignedYet,long_waiting_time,
1644417493,240,job103_scenario0_199,notAssignedYet,199,notAssignedYet,long_waiting_time,
1644417493,243,job105_scenario0_202,notAssignedYet,202,notAssignedYet,long_waiting_time,
1644417493,254,job114_scenario0_213,notAssignedYet,213,notAssignedYet,long_waiting_time,
1644417494,266,job119_scenario1_225,notAssignedYet,225,notAssignedYet,long_waiting_time,
1644417494,272,job122_scenario0_231,notAssignedYet,231,notAssignedYet,long_waiting_time,
1644417495,292,job132_scenario0_251,notAssignedYet,251,notAssignedYet,long_waiting_time,
1644417497,312,job141_scenario1_271,notAssignedYet,271,notAssignedYet,long_waiting_time,
1644417498,325,job147_scenario0_284,notAssignedYet,284,notAssignedYet,long_waiting_time,
1644417500,361,job169_scenario0_320,notAssignedYet,320,notAssignedYet,long_waiting_time,
1644417500,370,job175_scenario0_329,notAssignedYet,329,notAssignedYet,long_waiting_time,
1644417501,383,job184_scenario0_342,notAssignedYet,342,notAssignedYet,long_waiting_time,
1644417501,389,job189_scenario0_348,notAssignedYet,348,notAssignedYet,long_waiting_time,
1644417501,403,job197_scenario0_362,notAssignedYet,362,notAssignedYet,long_waiting_time,
1644417503,434,job213_scenario0_393,notAssignedYet,393,notAssignedYet,long_waiting_time,
1644417503,447,job220_scenario0_406,notAssignedYet,406,notAssignedYet,long_waiting_time,
1644417506,526,job262_scenario1_485,notAssignedYet,485,notAssignedYet,long_waiting_time,
1644417507,530,job265_scenario0_489,notAssignedYet,489,notAssignedYet,long_waiting_time,
1644417507,550,job275_scenario1_509,notAssignedYet,509,notAssignedYet,long_waiting_time,
1644417510,608,job303_scenario0_567,notAssignedYet,567,notAssignedYet,long_waiting_time,
1644417510,618,job307_scenario0_577,notAssignedYet,577,notAssignedYet,long_waiting_time,
1644417511,645,job323_scenario1_604,notAssignedYet,604,notAssignedYet,long_waiting_time,
1644417513,681,job339_scenario0_640,notAssignedYet,640,notAssignedYet,long_waiting_time,
1644417513,684,job341_scenario0_643,notAssignedYet,643,notAssignedYet,long_waiting_time,
1644417514,694,job347_scenario0_653,notAssignedYet,653,notAssignedYet,long_waiting_time,
1644417515,722,job363_scenario0_681,notAssignedYet,681,notAssignedYet,long_waiting_time,
1644417553,960,job468_scenario0_919,notAssignedYet,919,notAssignedYet,long_waiting_time,
1644417561,992,job483_scenario0_951,notAssignedYet,951,notAssignedYet,long_waiting_time,
1644417565,1008,job490_scenario0_967,notAssignedYet,967,notAssignedYet,long_waiting_time,
1644417586,1100,job528_scenario0_1059,notAssignedYet,1059,notAssignedYet,long_waiting_time,
1644417595,1139,job544_scenario0_1098,notAssignedYet,1098,notAssignedYet,long_waiting_time,
1644417600,1159,job553_scenario1_1118,notAssignedYet,1118,notAssignedYet,long_waiting_time,
1644417616,1231,job580_scenario0_1190,notAssignedYet,1190,notAssignedYet,long_waiting_time,
