RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644417484,135,job47_scenario0_94,notAssignedYet,94,notAssignedYet,long_waiting_time,
1644417485,142,job51_scenario0_101,notAssignedYet,101,notAssignedYet,long_waiting_time,
1644417485,145,job54_scenario0_104,notAssignedYet,104,notAssignedYet,long_waiting_time,
1644417486,164,job62_scenario0_123,notAssignedYet,123,notAssignedYet,long_waiting_time,
1644417487,174,job66_scenario1_133,notAssignedYet,133,notAssignedYet,long_waiting_time,
1644417488,193,job78_scenario0_152,notAssignedYet,152,notAssignedYet,long_waiting_time,
1644417489,208,job90_scenario0_167,notAssignedYet,167,notAssignedYet,long_waiting_time,
1644417489,209,job91_scenario0_168,notAssignedYet,168,notAssignedYet,long_waiting_time,
1644417490,226,job98_scenario0_185,notAssignedYet,185,notAssignedYet,long_waiting_time,
1644417490,235,job100_scenario0_194,notAssignedYet,194,notAssignedYet,long_waiting_time,
1644417491,239,job102_scenario0_198,notAssignedYet,198,notAssignedYet,long_waiting_time,
1644417491,245,job107_scenario0_204,notAssignedYet,204,notAssignedYet,long_waiting_time,
1644417491,254,job114_scenario0_213,notAssignedYet,213,notAssignedYet,long_waiting_time,
1644417492,266,job119_scenario1_225,notAssignedYet,225,notAssignedYet,long_waiting_time,
1644417492,272,job122_scenario0_231,notAssignedYet,231,notAssignedYet,long_waiting_time,
1644417493,303,job136_scenario0_262,notAssignedYet,262,notAssignedYet,long_waiting_time,
1644417494,314,job142_scenario0_273,notAssignedYet,273,notAssignedYet,long_waiting_time,
1644417495,325,job147_scenario0_284,notAssignedYet,284,notAssignedYet,long_waiting_time,
1644417497,349,job161_scenario0_308,notAssignedYet,308,notAssignedYet,long_waiting_time,
1644417497,370,job175_scenario0_329,notAssignedYet,329,notAssignedYet,long_waiting_time,
1644417498,375,job179_scenario1_334,notAssignedYet,334,notAssignedYet,long_waiting_time,
1644417498,386,job186_scenario0_345,notAssignedYet,345,notAssignedYet,long_waiting_time,
1644417498,389,job189_scenario0_348,notAssignedYet,348,notAssignedYet,long_waiting_time,
1644417499,396,job191_scenario1_355,notAssignedYet,355,notAssignedYet,long_waiting_time,
1644417499,403,job197_scenario0_362,notAssignedYet,362,notAssignedYet,long_waiting_time,
1644417500,432,job211_scenario0_391,notAssignedYet,391,notAssignedYet,long_waiting_time,
1644417504,522,job260_scenario0_481,notAssignedYet,481,notAssignedYet,long_waiting_time,
1644417504,525,job261_scenario0_484,notAssignedYet,484,notAssignedYet,long_waiting_time,
1644417504,530,job265_scenario0_489,notAssignedYet,489,notAssignedYet,long_waiting_time,
1644417506,604,job301_scenario2_563,notAssignedYet,563,notAssignedYet,long_waiting_time,
1644417507,618,job307_scenario0_577,notAssignedYet,577,notAssignedYet,long_waiting_time,
1644417507,630,job314_scenario0_589,notAssignedYet,589,notAssignedYet,long_waiting_time,
1644417508,644,job322_scenario0_603,notAssignedYet,603,notAssignedYet,long_waiting_time,
1644417508,650,job326_scenario0_609,notAssignedYet,609,notAssignedYet,long_waiting_time,
1644417510,684,job341_scenario0_643,notAssignedYet,643,notAssignedYet,long_waiting_time,
1644417526,948,job459_scenario0_907,notAssignedYet,907,notAssignedYet,long_waiting_time,
1644417527,955,job465_scenario0_914,notAssignedYet,914,notAssignedYet,long_waiting_time,
1644417530,974,job474_scenario0_933,notAssignedYet,933,notAssignedYet,long_waiting_time,
1644417555,1074,job517_scenario0_1033,notAssignedYet,1033,notAssignedYet,long_waiting_time,
1644417560,1094,job524_scenario0_1053,notAssignedYet,1053,notAssignedYet,long_waiting_time,
1644417561,1097,job526_scenario0_1056,notAssignedYet,1056,notAssignedYet,long_waiting_time,
1644417562,1100,job528_scenario0_1059,notAssignedYet,1059,notAssignedYet,long_waiting_time,
1644417574,1151,job550_scenario1_1110,notAssignedYet,1110,notAssignedYet,long_waiting_time,
