RecordTimeStamp,JobId,WorkerId,JobArrivalTick,JobAssignmentTick,JobFetchTick,JobStartByOperatorTime,JobActiveTime,JobRemainingTime,CleanWorkingTime,JobEndByOperatorTime,WorkerFreeAgainTick
1644417479,job0_scenario1_0,B54,0,-1,1,1,5,0,5,6,7,
1644417479,job1_scenario1_4,B14,4,-1,5,5,8,0,8,13,14,
1644417479,job2_scenario2_7,B54,7,-1,8,8,7,0,7,15,16,
1644417479,job3_scenario1_9,B11,9,-1,10,10,11,0,11,21,22,
1644417480,job4_scenario1_11,in27,11,-1,12,12,13,0,13,25,26,
1644417480,job5_scenario0_15,B54,15,-1,16,16,12,0,12,28,29,
1644417480,job6_scenario1_18,B14,18,-1,19,19,9,0,9,28,29,
1644417480,job8_scenario1_20,B11,20,-1,22,22,8,0,8,30,31,
1644417480,job10_scenario4_24,in27,24,-1,26,26,5,0,5,31,32,
1644417480,job9_scenario1_22,B14,22,-1,29,29,9,0,9,38,39,
1644417480,job7_scenario1_19,cn12,19,-1,20,20,20,0,20,40,41,
1644417480,job11_scenario0_26,B54,26,-1,29,29,12,0,12,41,42,
1644417480,job12_scenario1_31,B11,31,-1,32,32,9,0,9,41,42,
1644417480,job14_scenario2_33,B14,33,-1,39,39,6,0,6,45,46,
1644417480,job13_scenario1_32,in27,32,-1,33,33,14,0,14,47,48,
1644417480,job18_scenario3_40,B14,40,-1,46,46,2,0,2,48,49,
1644417480,job17_scenario2_37,B54,37,-1,42,42,7,0,7,49,50,
1644417480,job16_scenario1_35,B11,35,-1,42,42,8,0,8,50,51,
1644417480,job20_scenario3_47,B14,47,-1,49,49,3,0,3,52,53,
1644417480,job15_scenario4_34,cn12,34,-1,41,41,14,0,14,55,56,
1644417480,job21_scenario1_49,B54,49,-1,50,50,5,0,5,55,56,
1644417481,job22_scenario1_52,B14,52,-1,53,53,7,0,7,60,61,
1644417481,job19_scenario2_43,in27,43,-1,48,48,13,0,13,61,62,
1644417481,job24_scenario1_55,B54,55,-1,56,56,6,0,6,62,63,
1644417481,job23_scenario1_54,B11,54,-1,55,55,10,0,10,65,66,
1644417481,job26_scenario4_59,B14,59,-1,61,61,5,0,5,66,67,
