RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644417486,160,job61_scenario0_119,notAssignedYet,119,notAssignedYet,long_waiting_time,
1644417486,164,job62_scenario0_123,notAssignedYet,123,notAssignedYet,long_waiting_time,
1644417488,208,job90_scenario0_167,notAssignedYet,167,notAssignedYet,long_waiting_time,
1644417489,226,job98_scenario0_185,notAssignedYet,185,notAssignedYet,long_waiting_time,
1644417490,235,job100_scenario0_194,notAssignedYet,194,notAssignedYet,long_waiting_time,
1644417490,239,job102_scenario0_198,notAssignedYet,198,notAssignedYet,long_waiting_time,
1644417490,240,job103_scenario0_199,notAssignedYet,199,notAssignedYet,long_waiting_time,
1644417490,243,job105_scenario0_202,notAssignedYet,202,notAssignedYet,long_waiting_time,
1644417491,245,job107_scenario0_204,notAssignedYet,204,notAssignedYet,long_waiting_time,
1644417491,254,job114_scenario0_213,notAssignedYet,213,notAssignedYet,long_waiting_time,
1644417492,288,job129_scenario0_247,notAssignedYet,247,notAssignedYet,long_waiting_time,
1644417493,303,job136_scenario0_262,notAssignedYet,262,notAssignedYet,long_waiting_time,
1644417496,361,job169_scenario0_320,notAssignedYet,320,notAssignedYet,long_waiting_time,
1644417497,370,job175_scenario0_329,notAssignedYet,329,notAssignedYet,long_waiting_time,
1644417497,383,job184_scenario0_342,notAssignedYet,342,notAssignedYet,long_waiting_time,
1644417497,386,job186_scenario0_345,notAssignedYet,345,notAssignedYet,long_waiting_time,
1644417498,389,job189_scenario0_348,notAssignedYet,348,notAssignedYet,long_waiting_time,
1644417498,403,job197_scenario0_362,notAssignedYet,362,notAssignedYet,long_waiting_time,
1644417501,464,job228_scenario0_423,notAssignedYet,423,notAssignedYet,long_waiting_time,
1644417502,507,job249_scenario0_466,notAssignedYet,466,notAssignedYet,long_waiting_time,
1644417503,525,job261_scenario0_484,notAssignedYet,484,notAssignedYet,long_waiting_time,
1644417505,608,job303_scenario0_567,notAssignedYet,567,notAssignedYet,long_waiting_time,
1644417506,618,job307_scenario0_577,notAssignedYet,577,notAssignedYet,long_waiting_time,
1644417507,664,job333_scenario0_623,notAssignedYet,623,notAssignedYet,long_waiting_time,
1644417508,684,job341_scenario0_643,notAssignedYet,643,notAssignedYet,long_waiting_time,
1644417508,694,job347_scenario0_653,notAssignedYet,653,notAssignedYet,long_waiting_time,
1644417520,988,job481_scenario0_947,notAssignedYet,947,notAssignedYet,long_waiting_time,
1644417521,992,job483_scenario0_951,notAssignedYet,951,notAssignedYet,long_waiting_time,
