RecordTimeStamp,SystemTick,AssignmentTick,JobId,WorkerId,JobArrivalTime,JobTime,FreeWorkersCount
1644417478,0,1,job0_scenario1_0,B54,0,5,5,
1644417478,4,5,job1_scenario1_4,B14,4,8,4,
1644417479,7,8,job2_scenario2_7,B54,7,7,4,
1644417479,9,10,job3_scenario1_9,B11,9,11,3,
1644417479,11,12,job4_scenario1_11,in27,11,13,2,
1644417479,15,16,job5_scenario0_15,B54,15,12,3,
1644417479,18,19,job6_scenario1_18,B14,18,9,2,
1644417479,19,20,job7_scenario1_19,cn12,19,20,1,
1644417479,21,22,job8_scenario1_20,B11,20,8,1,
1644417479,25,26,job10_scenario4_24,in27,24,5,1,
1644417479,28,29,job9_scenario1_22,B14,22,9,2,
1644417479,28,29,job11_scenario0_26,B54,26,12,1,
1644417480,31,32,job12_scenario1_31,B11,31,9,2,
1644417480,32,33,job13_scenario1_32,in27,32,14,1,
1644417480,38,39,job14_scenario2_33,B14,33,6,1,
1644417480,40,41,job18_scenario3_40,cn12,40,10,1,
1644417480,41,42,job15_scenario4_34,B11,34,3,2,
1644417480,41,42,job17_scenario2_37,B54,37,7,1,
1644417480,45,46,job19_scenario2_43,B14,43,2,2,
1644417480,45,46,job16_scenario1_35,B11,35,8,1,
1644417480,47,48,job20_scenario3_47,in27,47,4,1,
1644417480,49,50,job21_scenario1_49,B14,49,8,2,
1644417480,52,53,job22_scenario1_52,B54,52,4,3,
1644417480,54,55,job23_scenario1_54,B11,54,10,3,
1644417480,55,56,job24_scenario1_55,cn12,55,19,2,
1644417480,56,57,job25_scenario1_56,in27,56,10,1,
1644417480,59,60,job26_scenario4_59,B14,59,5,2,
1644417480,60,61,job27_scenario0_60,B54,60,14,1,
1644417481,65,66,job29_scenario2_65,B14,65,1,2,
1644417481,65,66,job28_scenario1_61,B11,61,12,1,
1644417481,67,68,job30_scenario4_66,in27,66,5,2,
1644417481,67,68,job31_scenario0_67,B14,67,19,1,
1644417481,73,74,job34_scenario3_70,in27,70,3,1,
1644417481,75,76,job33_scenario4_69,B54,69,6,2,
1644417481,75,76,job37_scenario1_74,cn12,74,21,1,
1644417481,77,78,job36_scenario1_73,in27,73,13,1,
1644417481,78,79,job38_scenario1_78,B11,78,9,1,
1644417482,82,83,job40_scenario3_82,B54,82,6,1,
1644417482,87,88,job41_scenario1_86,B14,86,7,1,
1644417482,88,89,job43_scenario4_88,B11,88,3,1,
1644417482,89,90,job44_scenario1_89,B54,89,3,1,
1644417482,91,92,job32_scenario2_68,in27,68,11,1,
1644417482,92,93,job45_scenario1_91,B11,91,8,1,
1644417482,93,94,job46_scenario2_93,B54,93,6,1,
1644417482,95,96,job48_scenario2_95,B14,95,5,1,
1644417482,97,98,job49_scenario4_96,cn12,96,8,1,
1644417483,100,101,job42_scenario0_87,B54,87,11,1,
1644417483,101,102,job50_scenario1_99,B11,99,9,2,
1644417483,101,102,job47_scenario0_94,B14,94,15,1,
1644417483,103,104,job52_scenario2_102,in27,102,14,1,
1644417483,106,107,job55_scenario4_105,cn12,105,8,1,
1644417483,111,112,job58_scenario3_111,B11,111,5,1,
1644417483,112,113,job53_scenario1_103,B54,103,6,1,
1644417483,115,116,job57_scenario2_110,cn12,110,18,1,
1644417484,117,118,job56_scenario1_108,B11,108,6,2,
1644417484,117,118,job39_scenario0_80,B14,80,17,1,
1644417484,118,119,job60_scenario3_118,in27,118,7,1,
1644417484,119,120,job54_scenario0_104,B54,104,15,1,
1644417484,124,125,job63_scenario1_124,B11,124,11,1,
1644417484,126,127,job51_scenario0_101,in27,101,27,1,
1644417484,134,135,job64_scenario2_127,cn12,127,18,1,
1644417484,135,136,job67_scenario4_135,B14,135,3,2,
1644417484,135,136,job66_scenario1_133,B54,133,5,1,
1644417484,136,137,job62_scenario0_123,B11,123,21,1,
1644417484,139,140,job68_scenario3_138,B14,138,5,1,
1644417484,141,142,job70_scenario1_141,B54,141,3,1,
1644417485,145,146,job71_scenario1_142,B54,142,4,2,
1644417485,145,146,job72_scenario3_144,B14,144,9,1,
1644417485,150,151,job75_scenario4_148,B54,148,6,1,
1644417485,153,154,job69_scenario3_139,cn12,139,8,1,
1644417485,154,155,job73_scenario1_146,in27,146,14,1,
1644417485,155,156,job77_scenario2_151,B14,151,3,1,
1644417485,157,158,job81_scenario2_157,B54,157,5,1,
1644417485,158,159,job82_scenario1_158,B11,158,8,1,
1644417486,159,160,job83_scenario3_159,B14,159,4,1,
1644417486,162,163,job76_scenario1_150,cn12,150,20,1,
1644417486,163,164,job87_scenario1_163,B54,163,5,1,
1644417486,164,165,job86_scenario1_162,B14,162,6,1,
1644417486,167,168,job89_scenario3_166,B11,166,1,1,
1644417486,169,170,job85_scenario1_161,B54,161,6,3,
1644417486,169,170,job80_scenario1_156,B11,156,11,2,
1644417486,169,170,job79_scenario1_154,in27,154,14,1,
1644417486,171,172,job92_scenario3_171,B14,171,4,1,
1644417486,176,177,job95_scenario3_175,B54,175,6,2,
1644417486,176,177,job93_scenario1_172,B14,172,8,1,
1644417487,181,182,job88_scenario1_165,B11,165,9,1,
1644417487,183,184,job96_scenario1_180,B54,180,4,2,
1644417487,183,184,job74_scenario1_147,cn12,147,17,1,
1644417487,184,185,job97_scenario0_182,in27,182,24,1,
1644417487,185,186,job84_scenario0_160,B14,160,20,1,
1644417487,188,189,job91_scenario0_168,B54,168,13,1,
1644417487,191,192,job90_scenario0_167,B11,167,21,1,
1644417487,201,202,job101_scenario3_195,cn12,195,12,1,
1644417487,202,203,job104_scenario1_200,B54,200,1,1,
1644417488,204,205,job106_scenario1_203,B54,203,5,1,
1644417488,206,207,job109_scenario2_206,B14,206,3,1,
1644417488,209,210,job108_scenario1_205,in27,205,8,1,
1644417488,210,211,job110_scenario2_207,B54,207,8,2,
1644417488,210,211,job103_scenario0_199,B14,199,16,1,
1644417488,213,214,job111_scenario2_208,B11,208,10,1,
1644417488,214,215,job112_scenario2_211,cn12,211,17,1,
1644417488,218,219,job116_scenario1_218,in27,218,11,1,
1644417489,219,220,job115_scenario1_217,B54,217,2,1,
1644417489,222,223,job118_scenario1_220,B54,220,7,1,
1644417489,224,225,job117_scenario1_219,B11,219,8,1,
1644417489,227,228,job120_scenario1_226,B14,226,8,1,
1644417489,230,231,job121_scenario4_227,B54,227,3,2,
1644417489,230,231,job119_scenario1_225,in27,225,11,1,
1644417489,232,233,job105_scenario0_202,cn12,202,52,1,
1644417489,233,234,job123_scenario2_233,B11,233,7,1,
1644417489,234,235,job107_scenario0_204,B54,204,15,1,
1644417489,236,237,job122_scenario0_231,B14,231,14,1,
1644417489,241,242,job126_scenario3_240,B11,240,3,1,
1644417489,242,243,job127_scenario2_242,in27,242,13,1,
1644417490,245,246,job125_scenario1_239,B11,239,11,1,
1644417490,250,251,job124_scenario1_238,B54,238,6,1,
1644417490,251,252,job130_scenario2_248,B14,248,5,1,
1644417490,256,257,job134_scenario1_256,in27,256,11,1,
1644417490,257,258,job133_scenario2_254,B14,254,3,3,
1644417490,257,258,job128_scenario2_246,B11,246,10,2,
1644417490,257,258,job129_scenario0_247,B54,247,14,1,
1644417490,261,262,job135_scenario2_259,B14,259,6,1,
1644417491,268,269,job138_scenario2_267,B14,267,5,3,
1644417491,268,269,job137_scenario1_264,in27,264,12,2,
1644417491,268,269,job139_scenario1_268,B11,268,12,1,
1644417491,272,273,job141_scenario1_271,B54,271,4,1,
1644417491,274,275,job140_scenario3_269,B14,269,4,1,
1644417491,277,278,job143_scenario1_274,B54,274,5,1,
1644417491,279,280,job144_scenario2_278,B14,278,3,1,
1644417491,281,282,job146_scenario4_280,B11,280,4,2,
1644417491,281,282,job145_scenario1_279,in27,279,11,1,
