RecordTimeStamp,WorkerId,isWorkerCausedPause,IsWorkerBusyNow,WorkerAssignedJobId,WorkerOfflineTime,LastOnlineStatusUpdateTick,LastOnlineIndicatorsCount,LastOnlineStatusJobId,CurrentSystemTick
1644418682,in27,0,0,,0,0,0,,0,
1644418682,B14,0,0,,0,0,0,,0,
1644418682,B11,0,0,,0,0,0,,0,
1644418682,cn12,0,0,,0,0,0,,0,
1644418682,B54,0,0,,0,0,0,,0,
1644418682,in27,0,0,,1,0,0,,1,
1644418682,B14,0,0,,1,0,0,,1,
1644418682,B11,0,0,,1,0,0,,1,
1644418682,cn12,0,0,,1,0,0,,1,
1644418682,B54,0,0,,1,0,0,,1,
1644418682,in27,0,0,,2,0,0,,2,
1644418682,B14,0,0,,2,0,0,,2,
1644418682,B11,0,0,,2,0,0,,2,
1644418682,cn12,0,0,,2,0,0,,2,
1644418682,B54,0,0,,2,0,0,,2,
1644418682,in27,0,0,,3,0,0,,3,
1644418682,B14,0,0,,3,0,0,,3,
1644418682,B11,0,0,,3,0,0,,3,
1644418682,cn12,0,0,,3,0,0,,3,
1644418682,B54,0,0,,3,0,0,,3,
1644418682,in27,0,0,,4,0,0,,4,
1644418682,B14,0,0,,4,0,0,,4,
1644418682,B11,0,0,,4,0,0,,4,
1644418682,cn12,0,0,,4,0,0,,4,
1644418682,B54,0,0,,4,0,0,,4,
1644418682,in27,0,0,,5,0,0,,5,
1644418682,B14,0,0,,5,0,0,,5,
1644418682,B11,0,0,,5,0,0,,5,
1644418682,cn12,0,0,,5,0,0,,5,
1644418682,B54,0,1,job1_scenario1_4,5,0,0,,5,
1644418683,in27,0,0,,6,0,0,,6,
1644418683,B14,0,0,,6,0,0,,6,
1644418683,B11,0,0,,6,0,0,,6,
1644418683,cn12,0,0,,6,0,0,,6,
1644418683,B54,0,1,job1_scenario1_4,6,0,0,,6,
1644418683,in27,0,0,,7,0,0,,7,
1644418683,B14,0,0,,7,0,0,,7,
1644418683,B11,0,0,,7,0,0,,7,
1644418683,cn12,0,0,,7,0,0,,7,
1644418683,B54,0,1,job1_scenario1_4,7,0,0,,7,
1644418683,in27,0,0,,8,0,0,,8,
1644418683,B14,0,1,job2_scenario2_7,8,0,0,,8,
1644418683,B11,0,0,,8,0,0,,8,
1644418683,cn12,0,0,,8,0,0,,8,
1644418683,B54,0,1,job1_scenario1_4,8,0,0,,8,
1644418683,in27,0,0,,9,0,0,,9,
1644418683,B14,0,1,job2_scenario2_7,9,0,0,,9,
1644418683,B11,0,0,,9,0,0,,9,
1644418683,cn12,0,0,,9,0,0,,9,
1644418683,B54,0,1,job1_scenario1_4,9,0,0,,9,
1644418683,in27,0,0,,10,0,0,,10,
1644418683,B14,0,1,job2_scenario2_7,10,0,0,,10,
1644418683,B11,0,0,,10,0,0,,10,
1644418683,cn12,0,0,,10,0,0,,10,
1644418683,B54,0,1,job1_scenario1_4,10,0,0,,10,
1644418683,in27,0,0,,11,0,0,,11,
1644418683,B14,0,1,job2_scenario2_7,11,0,0,,11,
1644418683,B11,0,0,,11,0,0,,11,
1644418683,cn12,0,0,,11,0,0,,11,
1644418683,B54,0,0,,11,0,0,,11,
1644418683,in27,0,0,,12,0,0,,12,
1644418683,B14,0,1,job2_scenario2_7,12,0,0,,12,
1644418683,B11,0,0,,12,0,0,,12,
1644418683,cn12,0,0,,12,0,0,,12,
1644418683,B54,0,1,job4_scenario1_11,12,0,0,,12,
1644418683,in27,0,0,,13,0,0,,13,
1644418683,B14,0,0,,13,0,0,,13,
1644418683,B11,0,0,,13,0,0,,13,
1644418683,cn12,0,0,,13,0,0,,13,
1644418683,B54,0,1,job4_scenario1_11,13,0,0,,13,
1644418683,in27,0,0,,14,0,0,,14,
1644418683,B14,0,0,,14,0,0,,14,
1644418683,B11,0,0,,14,0,0,,14,
1644418683,cn12,0,0,,14,0,0,,14,
1644418683,B54,0,1,job4_scenario1_11,14,0,0,,14,
1644418683,in27,0,0,,15,0,0,,15,
1644418683,B14,0,0,,15,0,0,,15,
1644418683,B11,0,0,,15,0,0,,15,
1644418683,cn12,0,0,,15,0,0,,15,
1644418683,B54,0,1,job4_scenario1_11,15,0,0,,15,
1644418683,in27,0,0,,16,0,0,,16,
1644418683,B14,0,0,,16,0,0,,16,
1644418683,B11,0,0,,16,0,0,,16,
1644418683,cn12,0,0,,16,0,0,,16,
1644418683,B54,0,1,job4_scenario1_11,16,0,0,,16,
1644418683,in27,0,0,,17,0,0,,17,
1644418683,B14,0,0,,17,0,0,,17,
1644418683,B11,0,0,,17,0,0,,17,
1644418683,cn12,0,0,,17,0,0,,17,
1644418683,B54,0,1,job4_scenario1_11,17,0,0,,17,
1644418683,in27,0,0,,18,0,0,,18,
1644418683,B14,0,0,,18,0,0,,18,
1644418683,B11,0,0,,18,0,0,,18,
1644418683,cn12,0,0,,18,0,0,,18,
1644418683,B54,0,0,,18,0,0,,18,
1644418683,in27,0,0,,19,0,0,,19,
1644418683,B14,0,0,,19,0,0,,19,
1644418683,B11,0,0,,19,0,0,,19,
1644418683,cn12,0,0,,19,0,0,,19,
1644418683,B54,0,1,job6_scenario1_18,19,0,0,,19,
1644418683,in27,0,0,,20,0,0,,20,
1644418683,B14,0,0,,20,0,0,,20,
1644418683,B11,0,0,,20,0,0,,20,
1644418683,cn12,0,0,,20,0,0,,20,
1644418683,B54,0,1,job6_scenario1_18,20,0,0,,20,
1644418683,in27,0,0,,21,0,0,,21,
1644418683,B14,0,0,,21,0,0,,21,
1644418683,B11,0,0,,21,0,0,,21,
1644418683,cn12,0,0,,21,0,0,,21,
1644418683,B54,0,1,job6_scenario1_18,21,0,0,,21,
1644418683,in27,0,0,,22,0,0,,22,
1644418683,B14,0,0,,22,0,0,,22,
1644418683,B11,0,0,,22,0,0,,22,
1644418683,cn12,0,0,,22,0,0,,22,
1644418683,B54,0,1,job6_scenario1_18,22,0,0,,22,
1644418683,in27,0,0,,23,0,0,,23,
1644418683,B14,0,0,,23,0,0,,23,
1644418683,B11,0,0,,23,0,0,,23,
1644418683,cn12,0,0,,23,0,0,,23,
1644418683,B54,0,1,job6_scenario1_18,23,0,0,,23,
1644418683,in27,0,0,,24,0,0,,24,
1644418683,B14,0,0,,24,0,0,,24,
1644418683,B11,0,0,,24,0,0,,24,
1644418683,cn12,0,0,,24,0,0,,24,
1644418683,B54,0,1,job6_scenario1_18,24,0,0,,24,
1644418683,in27,0,0,,25,0,0,,25,
1644418683,B14,0,0,,25,0,0,,25,
1644418683,B11,0,1,job10_scenario4_24,25,0,0,,25,
1644418683,cn12,0,0,,25,0,0,,25,
1644418683,B54,0,0,,25,0,0,,25,
1644418683,in27,0,0,,26,0,0,,26,
1644418683,B14,0,0,,26,0,0,,26,
1644418683,B11,0,1,job10_scenario4_24,26,0,0,,26,
1644418683,cn12,0,0,,26,0,0,,26,
1644418683,B54,0,0,,26,0,0,,26,
1644418683,in27,0,0,,27,0,0,,27,
1644418683,B14,0,0,,27,0,0,,27,
1644418683,B11,0,1,job10_scenario4_24,27,0,0,,27,
1644418683,cn12,0,0,,27,0,0,,27,
1644418683,B54,0,0,,27,0,0,,27,
1644418683,in27,0,0,,28,0,0,,28,
1644418683,B14,0,0,,28,0,0,,28,
1644418683,B11,0,1,job10_scenario4_24,28,0,0,,28,
1644418683,cn12,0,0,,28,0,0,,28,
1644418683,B54,0,0,,28,0,0,,28,
1644418683,in27,0,0,,29,0,0,,29,
1644418683,B14,0,0,,29,0,0,,29,
1644418683,B11,0,1,job10_scenario4_24,29,0,0,,29,
1644418683,cn12,0,0,,29,0,0,,29,
1644418683,B54,0,0,,29,0,0,,29,
1644418683,in27,0,0,,30,0,0,,30,
1644418683,B14,0,0,,30,0,0,,30,
1644418683,B11,0,1,job10_scenario4_24,30,0,0,,30,
1644418683,cn12,0,0,,30,0,0,,30,
1644418683,B54,0,0,,30,0,0,,30,
1644418683,in27,0,0,,31,0,0,,31,
1644418683,B14,0,0,,31,0,0,,31,
1644418683,B11,0,1,job10_scenario4_24,31,0,0,,31,
1644418683,cn12,0,0,,31,0,0,,31,
1644418683,B54,0,0,,31,0,0,,31,
1644418683,in27,0,0,,32,0,0,,32,
1644418683,B14,0,1,job12_scenario1_31,32,0,0,,32,
1644418683,B11,0,0,,32,0,0,,32,
1644418683,cn12,0,0,,32,0,0,,32,
1644418683,B54,0,0,,32,0,0,,32,
1644418683,in27,0,0,,33,0,0,,33,
1644418683,B14,0,1,job12_scenario1_31,33,0,0,,33,
1644418683,B11,0,0,,33,0,0,,33,
1644418683,cn12,0,0,,33,0,0,,33,
1644418683,B54,0,1,job13_scenario1_32,33,0,0,,33,
1644418683,in27,0,0,,34,0,0,,34,
1644418683,B14,0,1,job12_scenario1_31,34,0,0,,34,
1644418683,B11,0,0,,34,0,0,,34,
1644418683,cn12,0,0,,34,0,0,,34,
1644418683,B54,0,1,job13_scenario1_32,34,0,0,,34,
1644418683,in27,1,0,,35,0,0,,35,
1644418683,B14,1,0,,35,0,0,,35,
1644418683,B11,1,1,job15_scenario4_34,35,0,0,,35,
1644418683,cn12,1,0,,35,0,0,,35,
1644418683,B54,1,1,job13_scenario1_32,35,0,0,,35,
1644418683,in27,1,0,,36,0,0,,36,
1644418683,B14,1,0,,36,0,0,,36,
1644418683,B11,1,1,job15_scenario4_34,36,0,0,,36,
1644418683,cn12,1,0,,36,0,0,,36,
1644418683,B54,1,1,job13_scenario1_32,36,0,0,,36,
1644418683,in27,1,0,,37,0,0,,37,
1644418683,B14,1,0,,37,0,0,,37,
1644418683,B11,1,1,job15_scenario4_34,37,0,0,,37,
1644418683,cn12,1,0,,37,0,0,,37,
1644418683,B54,1,1,job13_scenario1_32,37,0,0,,37,
1644418683,in27,1,0,,38,0,0,,38,
1644418683,B14,1,0,,38,0,0,,38,
1644418683,B11,1,0,,38,0,0,,38,
1644418683,cn12,1,0,,38,0,0,,38,
1644418683,B54,1,1,job13_scenario1_32,38,0,0,,38,
1644418683,in27,1,0,,39,0,0,,39,
1644418683,B14,1,0,,39,0,0,,39,
1644418683,B11,1,0,,39,0,0,,39,
1644418683,cn12,1,0,,39,0,0,,39,
1644418683,B54,1,0,,39,0,0,,39,
1644418683,in27,1,0,,40,0,0,,40,
1644418683,B14,1,0,,40,0,0,,40,
1644418683,B11,1,0,,40,0,0,,40,
1644418683,cn12,1,0,,40,0,0,,40,
1644418683,B54,1,0,,40,0,0,,40,
1644418683,in27,1,1,job18_scenario3_40,41,0,0,,41,
1644418683,B14,1,0,,41,0,0,,41,
1644418683,B11,1,0,,41,0,0,,41,
1644418683,cn12,1,0,,41,0,0,,41,
1644418683,B54,1,0,,41,0,0,,41,
1644418683,in27,1,1,job18_scenario3_40,42,0,0,,42,
1644418683,B14,1,0,,42,0,0,,42,
1644418683,B11,1,0,,42,0,0,,42,
1644418683,cn12,1,0,,42,0,0,,42,
1644418683,B54,1,0,,42,0,0,,42,
1644418683,in27,1,1,job18_scenario3_40,43,0,0,,43,
1644418683,B14,1,0,,43,0,0,,43,
1644418683,B11,1,0,,43,0,0,,43,
1644418683,cn12,1,0,,43,0,0,,43,
1644418683,B54,1,0,,43,0,0,,43,
1644418683,in27,1,1,job18_scenario3_40,44,0,0,,44,
1644418683,B14,1,1,job19_scenario2_43,44,0,0,,44,
1644418683,B11,1,0,,44,0,0,,44,
1644418683,cn12,1,0,,44,0,0,,44,
1644418683,B54,1,0,,44,0,0,,44,
1644418683,in27,1,0,,45,0,0,,45,
1644418683,B14,1,1,job19_scenario2_43,45,0,0,,45,
1644418683,B11,1,0,,45,0,0,,45,
1644418683,cn12,1,0,,45,0,0,,45,
1644418684,B54,1,0,,45,0,0,,45,
1644418684,in27,1,0,,46,0,0,,46,
1644418684,B14,1,0,,46,0,0,,46,
1644418684,B11,1,0,,46,0,0,,46,
1644418684,cn12,1,0,,46,0,0,,46,
1644418684,B54,1,0,,46,0,0,,46,
1644418684,in27,1,0,,47,0,0,,47,
1644418684,B14,1,0,,47,0,0,,47,
1644418684,B11,1,0,,47,0,0,,47,
1644418684,cn12,1,0,,47,0,0,,47,
1644418684,B54,1,0,,47,0,0,,47,
1644418684,in27,1,0,,48,0,0,,48,
1644418684,B14,1,0,,48,0,0,,48,
1644418684,B11,1,0,,48,0,0,,48,
1644418684,cn12,1,0,,48,0,0,,48,
1644418684,B54,1,0,,48,0,0,,48,
1644418684,in27,1,0,,49,0,0,,49,
1644418684,B14,1,0,,49,0,0,,49,
1644418684,B11,1,0,,49,0,0,,49,
1644418684,cn12,1,0,,49,0,0,,49,
1644418684,B54,1,0,,49,0,0,,49,
1644418684,in27,1,0,,50,0,0,,50,
1644418684,B14,1,0,,50,0,0,,50,
1644418684,B11,1,0,,50,0,0,,50,
1644418684,cn12,1,0,,50,0,0,,50,
1644418684,B54,1,0,,50,0,0,,50,
1644418684,in27,1,0,,51,0,0,,51,
1644418684,B14,1,0,,51,0,0,,51,
1644418684,B11,1,0,,51,0,0,,51,
1644418684,cn12,1,0,,51,0,0,,51,
1644418684,B54,1,0,,51,0,0,,51,
1644418684,in27,1,0,,52,0,0,,52,
1644418684,B14,1,0,,52,0,0,,52,
1644418684,B11,1,0,,52,0,0,,52,
1644418684,cn12,1,0,,52,0,0,,52,
1644418684,B54,1,0,,52,0,0,,52,
1644418684,in27,1,0,,53,0,0,,53,
1644418684,B14,1,0,,53,0,0,,53,
1644418684,B11,1,0,,53,0,0,,53,
1644418684,cn12,1,0,,53,0,0,,53,
1644418684,B54,1,0,,53,0,0,,53,
1644418684,in27,1,0,,54,0,0,,54,
1644418684,B14,1,0,,54,0,0,,54,
1644418684,B11,1,0,,54,0,0,,54,
1644418684,cn12,1,0,,54,0,0,,54,
1644418684,B54,1,1,job22_scenario1_52,54,0,0,,54,
1644418684,in27,1,0,,55,0,0,,55,
1644418684,B14,1,0,,55,0,0,,55,
1644418684,B11,1,0,,55,0,0,,55,
1644418684,cn12,1,0,,55,0,0,,55,
1644418684,B54,1,1,job22_scenario1_52,55,0,0,,55,
1644418684,in27,1,0,,56,0,0,,56,
1644418684,B14,1,0,,56,0,0,,56,
1644418684,B11,1,0,,56,0,0,,56,
1644418684,cn12,1,0,,56,0,0,,56,
1644418684,B54,1,1,job22_scenario1_52,56,0,0,,56,
1644418684,in27,1,0,,57,0,0,,57,
1644418684,B14,1,0,,57,0,0,,57,
1644418684,B11,1,0,,57,0,0,,57,
